순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점
2017,엄마,https://movie.naver.com/movie/bi/mi/basic.nhn?code=214665,https://ssl.pstatic.net/imgmovie/mdi/mit110/2146/214665_P17_140143.jpg,2022,['아이리스 심'],"['산드라 오', '피벨 스튜어트']",3.97
2032,미러,https://movie.naver.com/movie/bi/mi/basic.nhn?code=200808,https://ssl.pstatic.net/imgmovie/mdi/mit110/2008/200808_P01_141532.jpg,2020,['크리스티나 윤'],,0.00
2040,응징자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16920,https://ssl.pstatic.net/imgmovie/mdi/mit110/0169/A6920-00.jpg,1989,['마크 골드블라트'],"['돌프 룬드그렌', '루이스 고셋 주니어']",8.21
2044,보이후드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118348,https://ssl.pstatic.net/imgmovie/mdi/mit110/1183/118348_P10_134405.jpg,2014,['리처드 링클레이터'],"['엘라 콜트레인', '에단 호크', '패트리샤 아퀘트', '로렐라이 링크레이터']",8.76
2095,유전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172420,https://ssl.pstatic.net/imgmovie/mdi/mit110/1724/172420_P26_102251.jpg,2017,['아리 에스터'],"['토니 콜렛', '가브리엘 번', '알렉스 울프', '밀리 샤피로']",7.25
2099,더 로드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=203181,https://ssl.pstatic.net/imgmovie/mdi/mit110/2031/203181_P01_101544.jpg,2019,['줄리아 지아포네시'],,0.00
2106,업사이드 다운,https://movie.naver.com/movie/bi/mi/basic.nhn?code=78219,,2002,['기옘 모랄레스'],"['바이올레타 르루에카', '안드레스 헤레라']",0.00
2119,조이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=210480,https://ssl.pstatic.net/imgmovie/mdi/mit110/2104/210480_P01_141813.jpg,2021,['알렉산드라 브로드스키'],,0.00
2142,비밀애,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107750,https://ssl.pstatic.net/imgmovie/mdi/mit110/1077/107750_P00_140354.jpg,2013,['노구치 테루오'],['야마모토 타로'],0.00
2153,가디언,https://movie.naver.com/movie/bi/mi/basic.nhn?code=209274,https://ssl.pstatic.net/imgmovie/mdi/mit110/2092/209274_P01_111535.jpg,2020,['허우 구오 타오'],,0.00
2163,빅,https://movie.naver.com/movie/bi/mi/basic.nhn?code=211707,,2021,['다니엘레 피니'],,0.00
2169,니코,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51775,https://ssl.pstatic.net/imgmovie/mdi/mit110/0517/E1775-01.jpg,2008,"['마이클 해트너', '캐리 주스넌']","['한누-펙카 뵤르크만', '부오코 호바타', '올리 얀투넨']",8.01
2171,더 자이언트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100994,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100994_P07_152556.jpg,2012,['프라파스 콜사라논'],,7.94
2174,데스 레이스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47407,https://ssl.pstatic.net/imgmovie/mdi/mit110/0474/D7407-00.jpg,2008,['폴 앤더슨'],"['제이슨 스타뎀', '타이레스 깁슨']",8.58
2180,아메리칸 허슬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98917,https://ssl.pstatic.net/imgmovie/mdi/mit110/0989/98917_P16_111218.jpg,2013,['데이비드 O. 러셀'],"['제레미 레너', '에이미 아담스', '브래들리 쿠퍼', '크리스찬 베일', '제니퍼 로렌스']",7.53
2193,퀸카로 살아남는 법,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38582,https://ssl.pstatic.net/imgmovie/mdi/mit110/0385/C8582-00.jpg,2004,['마크 워터스'],['린제이 로한'],8.22
2208,스테이트 오브 플레이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45287,https://ssl.pstatic.net/imgmovie/mdi/mit110/0452/45287_P01_090902.jpg,2003,['데이빗 예이츠'],"['데이비드 모리시', '존 심']",8.36
2221,투 브라더스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178621,https://ssl.pstatic.net/imgmovie/mdi/mit110/1786/178621_P01_142400.jpg,2018,['프란시스코 만소'],,0.00
2225,기프트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172831,https://ssl.pstatic.net/imgmovie/mdi/mit110/1728/172831_P01_110720.jpg,2018,['로빈 맥케나'],,0.00
2252,굿바이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144463,https://ssl.pstatic.net/imgmovie/mdi/mit110/1444/144463_P01_114805.jpg,2015,"['요르단 페트코프', '에디 슈왈츠']",,0.00
2260,크롤,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183803,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183803_P14_153255.jpg,2019,['알렉산드르 아야'],"['카야 스코델라리오', '배리 페퍼']",6.35
2264,플로렌스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185860,https://ssl.pstatic.net/imgmovie/mdi/mit110/1858/185860_P01_170427.jpg,2019,['폴린 큐노네로'],,0.00
2279,50/50,https://movie.naver.com/movie/bi/mi/basic.nhn?code=79382,,2010,['도미니카 드루고켁카'],,0.00
2283,파이터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=198306,https://ssl.pstatic.net/imgmovie/mdi/mit110/1983/198306_P18_180811.jpg,2020,['윤재호'],"['임성미', '백서빈', '오광록']",6.91
2316,오늘,https://movie.naver.com/movie/bi/mi/basic.nhn?code=208293,https://ssl.pstatic.net/imgmovie/mdi/mit110/2082/208293_P01_144309.jpg,2020,['노연제'],,0.00
2336,매치 포인트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=25596,,1995,['리 H. 카친'],"['빈센트 반 패튼', '래 돈 총', '마틴 쉰']",9.39
2339,슈퍼히어로,https://movie.naver.com/movie/bi/mi/basic.nhn?code=206193,https://ssl.pstatic.net/imgmovie/mdi/mit110/2061/206193_P02_150117.jpg,2021,['김민하'],['정우영'],0.00
2371,애인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=133057,https://ssl.pstatic.net/imgmovie/mdi/mit110/1330/133057_P01_161001.JPG,2015,['이전'],"['문주연', '최상준', '공수진']",4.58
2416,내가 숨쉬는 공기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66601,https://ssl.pstatic.net/imgmovie/mdi/mit110/0666/F6601-00.jpg,2007,['이지호'],"['포레스트 휘태커', '케빈 베이컨', '브렌든 프레이저', '앤디 가르시아', '사라 미셸 겔러', '줄리 델피']",7.07
2429,스쿨 오브 락,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37486,https://ssl.pstatic.net/imgmovie/mdi/mit110/0374/37486_P45_171751.jpg,2003,['리처드 링클레이터'],['잭 블랙'],9.21
2437,로스트 시티,https://movie.naver.com/movie/bi/mi/basic.nhn?code=212098,https://ssl.pstatic.net/imgmovie/mdi/mit110/2120/212098_P15_142254.jpg,2022,"['아론 니', '애덤 니']","['산드라 블록', '채닝 테이텀', '다니엘 래드클리프']",6.12
2444,아담스 패밀리 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18866,https://ssl.pstatic.net/imgmovie/mdi/mit110/0188/A8866-00.jpg,1993,['배리 소넨펠드'],"['안젤리카 휴스턴', '라울 줄리아', '크리스토퍼 로이드', '조안 쿠삭', '크리스티나 리치', '캐롤 케인', '지미 워크먼', '데이빗 크럼홀츠']",8.73
2450,로빈슨 가족,https://movie.naver.com/movie/bi/mi/basic.nhn?code=32110,https://ssl.pstatic.net/imgmovie/mdi/mit110/0321/C2110-01.jpg,1940,['에드워드 러드윅'],"['프레디 바소로미우', '에드나 베스트']",8.50
2456,바디,https://movie.naver.com/movie/bi/mi/basic.nhn?code=200110,https://ssl.pstatic.net/imgmovie/mdi/mit110/2001/200110_P01_160351.jpg,2020,['일로이 도민게즈 세렌'],,0.00
2459,금발이 너무해 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36698,https://ssl.pstatic.net/imgmovie/mdi/mit110/0366/C6698-00.jpg,2003,['찰스 허먼 움펠드'],['리즈 위더스푼'],6.35
2469,미운 오리 새끼의 모험,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65953,https://ssl.pstatic.net/imgmovie/mdi/mit110/0659/65953_P24_180533.jpg,2006,"['마이클 해트너', '카르스텐 킬레리치']","['저스틴 그렉', '모건 C. 존스']",8.28
2504,신부들의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156124,https://ssl.pstatic.net/imgmovie/mdi/mit110/1561/156124_P01_181801.jpg,2017,"['다비데 바레티', '로렌조 콘테']","['클라우디오 산타마리아', '에르네스토 마히스']",0.00
2512,블러드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213039,https://ssl.pstatic.net/imgmovie/mdi/mit110/2130/213039_P01_095838.jpg,2022,['브래들리 러스트 그레이'],,0.00
