,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
54,63,어벤져스,조스 웨던,월트디즈니스튜디오스코리아,2012-04-26,장편,미국,967,59557853478,7074867,"19,280,107,897","2,147,619",액션,12세관람가,일반영화,2012,4,봄,194890587,0,"['로버트 다우니 주니어', '스칼릿 조핸슨', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '제레미 레너', '사무엘 L. 잭슨', '톰 히들스턴']",8.8
55,64,내부자들,우민호,쇼박스,2015-11-19,장편,한국,1075,56596582057,7071763,"16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화,2015,11,가을,217299523,0,"['이병헌', '조승우', '백윤식']",9.01
56,65,인천상륙작전,이재한,씨제이이엔엠,2016-07-27,장편,한국,1049,55101410303,7049643,"11,459,996,563","1,427,944",전쟁,12세관람가,일반영화,2016,7,여름,217026182,0,"['이정재', '이범수', '리암 니슨', '진세연']",8.04
57,66,공조2: 인터내셔날,이석훈,씨제이이엔엠,2022-09-07,장편,한국,2389,70884583586,6979319,"15,028,120,901","1,444,987",액션,15세관람가,일반영화,2022,9,가을,112805094,1,"['현빈', '유해진', '윤아', '다니엘 헤니', '진선규']",8.32
58,68,은밀하게 위대하게,장철수,쇼박스,2013-06-05,장편,한국,1341,48663939413,6953800,"12,415,574,413","1,691,014",액션,15세관람가,일반영화,2013,6,여름,213351030,0,"['김수현', '박기웅', '이현우', '손현주']",7.12
59,69,곡성,나홍진,이십세기폭스코리아,2016-05-12,장편,한국,1485,55853108382,6878264,"15,445,041,342","1,829,923",미스터리,15세관람가,일반영화,2016,5,봄,217026182,0,"['곽도원', '황정민', '쿠니무라 준', '천우희', '김환희']",7.62
60,70,범죄도시,강윤성,플러스엠 엔터테인먼트,2017-10-03,장편,한국,1315,56077813249,6851297,"14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화,2017,10,가을,219876227,0,"['마동석', '윤계상']",9.15
61,72,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,씨제이이엔엠,2008-07-17,장편,한국,825,43768628939,6686912,"13,860,913,000","2,012,173",서부극(웨스턴),15세관람가,일반영화,2008,7,여름,147428639,0,"['송강호', '이병헌', '정우성']",7.74
62,73,늑대소년,조성희,씨제이이엔엠,2012-10-31,장편,한국,706,46593107500,6654837,"12,336,313,500","1,677,173",멜로/로맨스,15세관람가,일반영화,2012,10,가을,194890587,0,"['송중기', '박보영']",8.66
63,75,군함도,류승완,씨제이이엔엠,2017-07-26,장편,한국,2027,50510565168,6592151,"11,091,878,868","1,398,649",액션,15세관람가,일반영화,2017,7,여름,219876227,0,"['황정민', '소지섭', '송중기', '이정현', '김수안']",5.3
64,76,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스롯데엔터테인먼트,2018-07-25,장편,미국,1957,55888375112,6584915,"14,891,043,562","1,686,255",액션,15세관람가,일반영화,2018,7,여름,216385269,0,"['톰 크루즈', '레베카 퍼거슨', '헨리 카빌', '사이먼 페그']",9.12
65,77,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아,2012-07-19,장편,미국,1210,47644838000,6396528,"16,258,149,500","2,057,529",액션,15세관람가,일반영화,2012,7,여름,194890587,0,"['크리스찬 베일', '조셉 고든 레빗', '게리 올드만', '앤 해서웨이', '톰 하디', '마리옹 꼬띠아르', '마이클 케인', '모건 프리먼']",9.03
66,78,아저씨,이정범,씨제이이엔엠,2010-08-04,장편,한국,478,47870792359,6282774,"14,820,865,000","1,863,328",액션,청소년관람불가,일반영화,2010,8,여름,147759214,0,"['원빈', '김새론']",9.25
67,79,사도,이준익,쇼박스,2015-09-16,장편,한국,1210,48842902501,6246849,"12,987,928,301","1,606,486",사극,12세관람가,일반영화,2015,9,가을,217299523,0,"['송강호', '유아인', '문근영']",8.3
68,80,전우치,최동훈,씨제이이엔엠,2009-12-23,장편,한국,606,44605437017,6136928,"12,917,834,500","1,684,123",액션,12세관람가,일반영화,2009,12,겨울,155398654,0,"['강동원', '김윤석', '임수정', '유해진']",8.22
69,81,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데엔터테인먼트,2015-07-30,장편,미국,1202,48547353607,6126488,"13,751,315,607","1,669,524",액션,15세관람가,일반영화,2015,7,여름,217299523,0,"['톰 크루즈', '제레미 레너', '레베카 퍼거슨', '사이먼 페그', '알렉 볼드윈']",8.75
70,82,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아,2015-02-11,장편,미국,706,50333635795,6125154,"16,707,645,195","1,968,882",액션,청소년관람불가,일반영화,2015,2,겨울,217299523,0,"['콜린 퍼스', '태런 에저튼', '사무엘 L. 잭슨']",8.82
71,84,연평해전,김학순,넥스트엔터테인먼트월드,2015-06-24,장편,한국,1013,45560620330,6043458,"9,906,059,630","1,265,879",드라마,12세관람가,일반영화,2015,6,여름,217299523,0,"['김무열', '진구', '이현우']",9.02
72,86,인셉션,크리스토퍼 놀란,디스테이션,2010-07-21,장편,미국,528,44106546302,5926948,"15,810,485,000","2,026,998",드라마,12세관람가,일반영화,2010,7,여름,147759214,0,"['레오나르도 디카프리오', '와타나베 켄', '조셉 고든 레빗', '마리옹 꼬띠아르', '엘리엇 페이지', '톰 하디']",9.24
73,87,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아,2012-12-19,장편,미국,696,43044999000,5911890,"16,482,217,500","2,190,090",드라마,12세관람가,일반영화,2012,12,겨울,194890587,0,"['휴 잭맨', '앤 해서웨이', '러셀 크로우', '아만다 사이프리드', '헬레나 본햄 카터', '사샤 바론 코헨']",8.39
74,88,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니스튜디오스코리아,2022-05-04,장편,미국,2691,62648728870,5884587,"18,021,250,750","1,610,656",액션,12세관람가,일반영화,2022,5,봄,112805094,1,"['베네딕트 컴버배치', '엘리자베스 올슨']",7.21
75,89,캡틴 마블,라이언 플렉,월트디즈니스튜디오스코리아,2019-03-06,장편,미국,2100,51491272223,5801069,"15,433,909,683","1,650,932",액션,12세관람가,일반영화,2019,3,봄,226678777,0,"['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨', '주드 로']",6.75
76,91,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아,2018-06-06,장편,미국,1972,49770711037,5661128,"12,526,470,537","1,342,621",액션,12세관람가,일반영화,2018,6,여름,216385269,0,"['크리스 프랫', '브라이스 달라스 하워드']",8.0
77,92,청년경찰,김주환,롯데엔터테인먼트,2017-08-09,장편,한국,1102,44241099316,5636259,"9,885,607,016","1,207,318",액션,15세관람가,일반영화,2017,8,여름,219876227,0,"['박서준', '강하늘']",8.27
78,94,숨바꼭질,허정,넥스트엔터테인먼트월드,2013-08-14,장편,한국,779,39593038500,5602543,"10,079,982,000","1,356,936",스릴러,15세관람가,일반영화,2013,8,여름,213351030,0,"['손현주', '문정희', '전미선']",6.74
81,95,덕혜옹주,허진호,롯데엔터테인먼트,2016-08-03,장편,한국,964,44344141109,5593551,"10,625,578,869","1,304,324",사극,12세관람가,일반영화,2016,8,여름,217026182,0,"['손예진', '박해일']",8.35
82,96,더 테러 라이브,김병우,롯데엔터테인먼트,2013-07-31,장편,한국,743,39866712881,5583596,"11,349,884,881","1,525,130",범죄,15세관람가,일반영화,2013,7,여름,213351030,0,"['하정우', '이경영', '전혜진']",8.3
83,97,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아,2015-06-11,장편,미국,1290,47800698826,5546792,"13,625,824,326","1,502,391",액션,12세관람가,일반영화,2015,6,여름,217299523,0,"['크리스 프랫', '브라이스 달라스 하워드', '빈센트 도노프리오', '타이 심킨스', '닉 로빈슨']",7.89
84,98,의형제,장훈,쇼박스,2010-02-04,장편,한국,572,40800867602,5507106,"12,204,373,500","1,563,042",드라마,15세관람가,일반영화,2010,2,겨울,147759214,0,"['송강호', '강동원']",8.87
85,99,감시자들,김병서,넥스트엔터테인먼트월드,2013-07-03,장편,한국,949,39298005179,5496547,"11,031,549,179","1,477,594",범죄,15세관람가,일반영화,2013,7,여름,213351030,0,"['설경구', '정우성', '한효주']",7.76
86,100,2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화,2009-11-12,장편,미국,789,39415166660,5462953,"11,671,854,500","1,528,658",SF,12세관람가,일반영화,2009,11,가을,155398654,0,"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']",7.6
87,101,앤트맨과 와스프,페이튼 리드,월트디즈니스튜디오스코리아,2018-07-04,장편,미국,1775,47465443185,5447826,"13,821,594,585","1,503,229",액션,12세관람가,일반영화,2018,7,여름,216385269,0,"['폴 러드', '에반젤린 릴리', '마이클 더글라스', '미셸 파이퍼', '로렌스 피시번', '마이클 페나', '해나 존-케이먼']",8.62
88,102,닥터 스트레인지,스콧 데릭슨,월트디즈니스튜디오스코리아,2016-10-26,장편,미국,1503,47482530396,5446379,"15,365,072,146","1,657,823",액션,12세관람가,일반영화,2016,10,가을,217026182,0,"['베네딕트 컴버배치', '틸다 스윈튼', '치웨텔 에지오포', '레이첼 맥아담스', '매즈 미켈슨']",8.72
89,103,검은 사제들,장재현,씨제이이엔엠,2015-11-05,장편,한국,1088,42395347092,5440945,"11,618,059,792","1,428,491",미스터리,15세관람가,일반영화,2015,11,가을,217299523,0,"['김윤석', '강동원']",8.33
90,104,안시성,김광식,넥스트엔터테인먼트월드,2018-09-19,장편,한국,1540,46335334026,5440186,"10,028,662,426","1,146,191",사극,12세관람가,일반영화,2018,9,가을,216385269,0,"['조인성', '남주혁', '박성웅']",7.99
91,105,블랙 팬서,라이언 쿠글러,월트디즈니스튜디오스코리아,2018-02-14,장편,미국,1620,45883143457,5398994,"13,105,688,057","1,468,761",액션,12세관람가,일반영화,2018,2,겨울,216385269,0,['채드윅 보스만'],7.51
92,107,완득이,이한,씨제이이엔엠,2011-10-20,장편,한국,500,38530503500,5310510,"11,657,798,500","1,525,277",드라마,12세관람가,일반영화,2011,10,가을,159724465,0,"['김윤석', '유아인']",8.8
93,108,트랜스포머: 사라진 시대,마이클 베이,씨제이이엔엠,2014-06-25,장편,미국,1602,44012272845,5295801,"11,664,376,045","1,323,527",액션,12세관람가,일반영화,2014,6,여름,215068958,0,"['마크 월버그', '니콜라 펠츠', '잭 레이너', '스탠리 투치', '리빙빙']",6.58
94,109,완벽한 타인,이재규,롯데컬처웍스롯데엔터테인먼트,2018-10-31,장편,한국,1313,44356752474,5294119,"11,870,044,374","1,373,292",드라마,15세관람가,일반영화,2018,10,가을,216385269,0,"['유해진', '조진웅', '이서진', '염정아', '김지수', '송하윤', '윤경호']",8.61
