영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
10억,조민호,(주)싸이더스,2009-08-06,장편,한국,252,3142668973,438833,"919,393,500","120,650",스릴러,15세관람가,일반영화
호스티지,플로렝 에밀리오 시리,쇼이스트(주),2005-03-18,장편,미국,0,0,438516,0,"135,962",스릴러,15세관람가,일반영화
워리어스 웨이,이승무,에스케이텔레콤(주),2010-12-01,장편,미국,441,3134328730,437101,"883,586,000","117,792",액션,15세관람가,일반영화
야연,펑샤오강,롯데쇼핑㈜롯데엔터테인먼트,2006-09-21,장편,중국,0,0,436903,0,"147,878",사극,15세관람가,일반영화
감쪽같은 그녀,허인무,플러스엠 엔터테인먼트,2019-12-04,장편,한국,761,3377895790,436257,"658,294,480","83,166",드라마,전체관람가,일반영화
아기와 나,김진영,(주)프라임엔터테인먼트,2008-08-14,장편,한국,217,2667055000,435551,"539,965,500","84,298",드라마,12세관람가,일반영화
시즌 오브 더 위치: 마녀 호송단,도미닉 세나,(주)넥스트엔터테인먼트월드(NEW),2011-01-13,장편,미국,218,3277434500,435201,"936,385,500","118,501",어드벤처,15세관람가,일반영화
누가 그녀와 잤을까?,김유성,(주)씨제이이엔엠,2006-11-16,장편,한국,0,0,434877,0,"95,478",코미디,15세관람가,일반영화
원라인,양경모,(주)넥스트엔터테인먼트월드(NEW),2017-03-29,장편,한국,613,3310122433,433825,"807,184,333","101,624",범죄,15세관람가,일반영화
갈갈이 패밀리와 드라큐라,남기남,영화사청어람(주),2003-08-01,장편,한국,0,0,432999,0,"74,564",코미디,전체관람가,일반영화
쏘우 3,대런 린 보우즈만,롯데쇼핑㈜롯데엔터테인먼트,2006-11-30,장편,미국,0,0,432876,0,"131,360",공포(호러),청소년관람불가,일반영화
신비아파트 극장판 차원도깨비와 7개의 세계,변영규,(주)씨제이이엔엠,2022-12-14,장편,한국,665,4126175171,431894,"577,146,904","58,410",애니메이션,전체관람가,일반영화
이웃사촌,이환경,(주)리틀빅픽쳐스,2020-11-25,장편,한국,1363,3709121750,431559,"776,669,000","91,435",드라마,12세관람가,일반영화
마법에 걸린 사랑,케빈 리마,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-01-10,장편,미국,247,2747631000,431376,"1,215,109,000","181,961",멜로/로맨스,전체관람가,일반영화
"협녀, 칼의 기억",박흥식,롯데쇼핑㈜롯데엔터테인먼트,2015-08-13,장편,한국,572,3360045489,431310,"999,537,689","123,013",사극,15세관람가,일반영화
그린 북,피터 패럴리,CGV아트하우스,2019-01-09,장편,미국,398,3603268560,429733,"1,945,643,390","229,903",드라마,12세관람가,독립/예술영화
터닝메카드W: 블랙미러의 부활,김석원,(주)키다리이엔티,2017-01-18,장편,한국,570,3213263000,429569,"676,764,500","86,626",애니메이션,전체관람가,독립/예술영화
잔혹한 출근,김태윤,(주)씨제이이엔엠,2006-11-02,장편,한국,0,0,429546,0,"97,148",코미디,15세관람가,일반영화
창수,이덕희,(주)마인스 엔터테인먼트,2013-11-28,장편,한국,415,3146542000,429141,"740,934,000","96,526",드라마,청소년관람불가,일반영화
랭고,고어 버빈스키,(주)씨제이이엔엠,2011-03-03,장편,미국,314,3039396000,428896,"1,022,909,000","135,829",애니메이션,전체관람가,일반영화
오피스,홍원찬,(주)리틀빅픽쳐스,2015-09-03,장편,한국,425,3354086230,428429,"801,709,530","97,876",스릴러,15세관람가,일반영화
세상의 중심에서 사랑을 외치다,유키사다 이사오,(주)동아수출공사,2004-10-08,장편,일본,0,0,428202,0,"182,607",멜로/로맨스,12세관람가,일반영화
모비딕,박인제,(주)쇼박스,2011-06-09,장편,한국,377,3246572000,428139,"1,086,129,500","135,442",스릴러,15세관람가,일반영화
장난스런 키스,프랭키 첸,오드,2019-03-27,장편,기타,532,3501463050,428009,"955,732,990","112,053",멜로/로맨스,12세관람가,독립/예술영화
스머프: 비밀의 숲,캘리 애스버리,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28,장편,미국,607,3122661000,427764,"633,690,100","83,429",애니메이션,전체관람가,일반영화
