,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나
3503,3532,태양 아래,비탈리 만스키,THE 픽쳐스,2016-04-27,장편,기타,120,206495400,33008,"122,464,500","21,160",다큐멘터리,전체관람가,독립/예술영화,2016,4,봄,217026182,0
3504,3533,I AM,최진성,씨제이이엔엠,2012-06-21,장편,한국,137,245580000,32988,"138,838,000","17,865",다큐멘터리,전체관람가,일반영화,2012,6,여름,194890587,0
3505,3534,19-Nineteen,장용우,씨제이이엔엠,2009-11-12,장편,한국,69,212293874,32986,"63,256,500","9,559",드라마,12세관람가,일반영화,2009,11,가을,155398654,0
3507,3536,개들의 섬,웨스 앤더슨,이십세기폭스코리아,2018-06-21,장편,미국,121,284739300,32789,"191,546,000","21,688",코미디,12세관람가,일반영화,2018,6,여름,216385269,0
3508,3537,괴기맨숀,조바른,콘텐츠판다,2021-06-30,장편,한국,131,330369600,32752,"102,253,800","10,142",공포(호러),15세관람가,일반영화,2021,6,여름,60531087,1
3509,3538,빅 위시,기타,박수엔터테인먼트,2019-10-30,장편,기타,336,251990300,32684,"42,956,220","5,227",판타지,전체관람가,일반영화,2019,10,가을,226678777,0
3510,3539,킬 유어 달링,존 크로키다스,영화사 진진,2014-10-16,장편,미국,93,255344020,32668,"157,205,820","19,526",드라마,청소년관람불가,독립/예술영화,2014,10,가을,215068958,0
3512,3541,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,기타,와이드 릴리즈,2023-02-23,장편,영국,284,290132400,32590,"50,484,500","5,513",애니메이션,전체관람가,독립/예술영화,2023,2,겨울,112805094,0
3513,3542,썸머 필름을 타고!,마츠모토 소우시,싸이더스,2022-07-20,장편,일본,65,307797026,32532,"213,600,106","22,290",기타,전체관람가,독립/예술영화,2022,7,여름,112805094,1
3514,3543,꼬마 잠수함 올리 2,밥 두셋,예지림엔터테인먼트,2014-12-04,장편,미국,186,203435700,32453,"23,974,500","3,201",애니메이션,전체관람가,일반영화,2014,12,겨울,215068958,0
3515,3544,거미줄에 걸린 소녀,페드 알바레즈,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-11-28,장편,미국,313,255329200,32418,"95,966,450","11,886",액션,15세관람가,일반영화,2018,11,가을,216385269,0
3516,3545,인어공주 : 새로운 모험의 시작,아담 추,예지림엔터테인먼트,2016-11-03,장편,중국,262,243970300,32350,"38,997,300","4,628",애니메이션,전체관람가,독립/예술영화,2016,11,가을,217026182,0
3518,3547,대결,신동엽,스톰픽쳐스코리아,2016-09-22,장편,한국,366,251176500,32278,"73,160,100","9,098",액션,15세관람가,일반영화,2016,9,가을,217026182,0
3519,3548,뮤턴트: 다크 에이지,사이먼 헌터,넥스트엔터테인먼트월드,2009-01-08,장편,미국,101,219920268,32267,"67,641,000","9,343",액션,청소년관람불가,일반영화,2009,1,겨울,155398654,0
3522,3551,팔로우,데이빗 로버트 밋첼,영화사오원,2015-04-02,장편,미국,197,267202743,32187,"84,573,443","9,961",공포(호러),청소년관람불가,독립/예술영화,2015,4,봄,217299523,0
3523,3552,클라우즈 오브 실스마리아,올리비에 아사야스,나이너스엔터테인먼트,2014-12-18,장편,프랑스,53,254585599,32126,"197,407,399","24,311",드라마,15세관람가,독립/예술영화,2014,12,겨울,215068958,0
3525,3554,극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,팝엔터테인먼트,2017-08-24,장편,미국,307,230410600,32021,"44,667,800","5,612",애니메이션,전체관람가,일반영화,2017,8,여름,219876227,0
3526,3555,두 교황,페르난도 메이렐레스,판씨네마,2019-12-11,장편,미국,66,245615780,31960,"172,283,800","20,817",드라마,12세관람가,독립/예술영화,2019,12,겨울,226678777,0
3527,3556,너를 만난 여름,장적사,오드,2019-10-16,장편,중국,174,262940000,31888,"100,555,600","11,619",드라마,12세관람가,독립/예술영화,2019,10,가을,226678777,0
3529,3558,극장판 프리파라 모두 모여라! 프리즘☆투어즈,히시다 마사카즈,동우에이앤이,2016-10-13,장편,한국,157,263405900,31843,"71,055,000","8,187",애니메이션,전체관람가,독립/예술영화,2016,10,가을,217026182,0
3530,3559,극장판 유희왕 더 다크 사이드 오브 디멘션즈,쿠와바라 사토시,넥스트엔터테인먼트월드,2016-06-09,장편,일본,210,253214200,31805,"82,762,300","9,804",애니메이션,전체관람가,일반영화,2016,6,여름,217026182,0
3531,3560,마이 블랭키,프란시스 닐슨,마인스 엔터테인먼트,2014-06-04,장편,기타,111,219661100,31798,"32,984,500","4,461",애니메이션,전체관람가,독립/예술영화,2014,6,여름,215068958,0
3532,3561,오픈 더 도어,올가 고로데츠카야,팝엔터테인먼트,2020-04-08,장편,기타,184,286702100,31760,"96,227,400","10,487",공포(호러),15세관람가,일반영화,2020,4,봄,59523967,1
3533,3562,썬키스 패밀리,김지혜,플러스엠 엔터테인먼트,2019-03-27,장편,한국,417,245549900,31742,"84,021,800","10,426",가족,15세관람가,일반영화,2019,3,봄,226678777,0
3534,3563,꼭두각시,권영락,인벤트스톤,2013-06-20,장편,한국,134,227941500,31713,"37,575,000","4,982",공포(호러),청소년관람불가,일반영화,2013,6,여름,213351030,0
3536,3565,그랜드파더,이서,인벤트스톤,2016-08-31,장편,한국,288,233692400,31640,"55,962,800","7,516",액션,청소년관람불가,독립/예술영화,2016,8,여름,217026182,0
3537,3566,서스페리아,루카 구아다니노,홈초이스,2019-05-16,장편,기타,257,288130965,31618,"158,309,265","16,799",공포(호러),청소년관람불가,독립/예술영화,2019,5,봄,226678777,0
3538,3567,고백,서은영,리틀빅픽쳐스,2021-02-24,장편,한국,255,226801600,31616,"64,472,700","9,636",드라마,15세관람가,독립/예술영화,2021,2,겨울,60531087,1
3540,3569,노회찬6411,민환기,리틀빅픽쳐스,2021-10-14,장편,한국,154,272160000,31560,"126,224,650","15,492",다큐멘터리,12세관람가,독립/예술영화,2021,10,가을,60531087,1
3541,3570,뱅가드,당계례,디스테이션,2020-12-30,장편,중국,265,265933700,31548,"64,605,900","7,759",액션,12세관람가,독립/예술영화,2020,12,겨울,59523967,1
3542,3571,날나리 종부전,임원국,롯데엔터테인먼트,2008-05-22,장편,한국,162,181261000,31522,"25,840,500","4,087",코미디,12세관람가,일반영화,2008,5,봄,147428639,0
3543,3572,학교 가는 길,김정인,영화사 진진,2021-05-05,장편,한국,90,239464980,31467,"115,004,480","14,401",다큐멘터리,12세관람가,독립/예술영화,2021,5,봄,60531087,1
3544,3573,꼬마 니콜라의 여름방학,로랑 티라르,나이너스엔터테인먼트,2014-08-21,장편,프랑스,133,218859600,31368,"84,970,800","11,793",코미디,전체관람가,독립/예술영화,2014,8,여름,215068958,0
3548,3577,나는 부정한다,믹 잭슨,티캐스트,2017-04-26,장편,영국,104,250925125,31172,"173,714,325","20,751",드라마,12세관람가,독립/예술영화,2017,4,봄,219876227,0
3549,3579,더 브레이브,에단 코엔,씨제이이엔엠,2011-02-24,장편,미국,51,240423500,31152,"174,312,500","22,354",드라마,15세관람가,일반영화,2011,2,겨울,159724465,0
3550,3580,초콜렛 도넛,트래비스 파인,CGV아트하우스,2014-10-02,장편,미국,53,246408200,31101,"134,348,400","16,354",드라마,15세관람가,독립/예술영화,2014,10,가을,215068958,0
3551,3581,할로윈:살인마의 탄생,롭 좀비,성원아이컴,2009-05-14,장편,미국,116,214069351,31068,"71,985,500","10,002",공포(호러),청소년관람불가,일반영화,2009,5,봄,155398654,0
3553,3583,옹박: 더 레전드,토니 자,케이디미디어,2009-05-14,장편,기타,172,200763553,31042,"39,654,000","5,908",액션,15세관람가,일반영화,2009,5,봄,155398654,0
3554,3584,러브액츄얼리: 크리스마스 에디션,리차드 커티스,팝엔터테인먼트,2013-12-18,장편,미국,82,236604147,31032,"183,585,647","23,753",멜로/로맨스,청소년관람불가,독립/예술영화,2013,12,겨울,213351030,0
3555,3585,목숨,이창재,필라멘트픽쳐스,2014-12-04,장편,한국,97,235872600,31022,"99,672,400","12,412",다큐멘터리,12세관람가,독립/예술영화,2014,12,겨울,215068958,0
3557,3587,몬스타엑스 : 더 드리밍,오윤동,씨제이포디플렉스 ,2021-12-08,장편,한국,98,492739500,30912,"208,852,500","13,136",다큐멘터리,전체관람가,일반영화,2021,12,겨울,60531087,1
3558,3588,막달라 마리아: 부활의 증인,가스 데이비스,유니버설픽쳐스인터내셔널 코리아,2018-03-28,장편,영국,111,214792200,30833,"99,004,200","14,257",드라마,12세관람가,일반영화,2018,3,봄,216385269,0
3559,3589,단지 세상의 끝,자비에 돌란,엣나인필름,2017-01-18,장편,기타,124,242177173,30793,"174,481,073","21,079",드라마,15세관람가,독립/예술영화,2017,1,겨울,219876227,0
3560,3590,네가 떨어뜨린 푸른 하늘,사이토 유키,메가박스중앙,2023-02-08,장편,일본,449,300531316,30715,"59,012,511","6,113",멜로/로맨스,12세관람가,일반영화,2023,2,겨울,112805094,0
3561,3591,"좋아해, 너를",이마이즈미 리키야,디오시네마,2017-09-14,장편,일본,101,265102800,30714,"133,168,800","14,983",드라마,12세관람가,독립/예술영화,2017,9,가을,219876227,0
3562,3592,앵그리스트 맨,필 알덴 로빈슨,브릿지웍스 엔터테인먼트,2014-10-30,장편,미국,181,229523200,30656,"92,953,100","11,982",드라마,15세관람가,독립/예술영화,2014,10,가을,215068958,0
3567,3597,신밧드와 마법 양탄자,카스텐 킬러리치,박수엔터테인먼트,2019-02-13,장편,기타,258,204586840,30534,"30,278,800","4,135",애니메이션,전체관람가,일반영화,2019,2,겨울,226678777,0
3568,3598,쿠보와 전설의 악기,트래비스 나이트,유니버설픽쳐스인터내셔널 코리아,2016-10-26,장편,미국,100,208824862,30525,"50,556,862","6,969",애니메이션,전체관람가,일반영화,2016,10,가을,217026182,0
3569,3599,아야와 마녀,미야자키 고로,리틀빅픽쳐스,2021-06-10,장편,일본,362,249833620,30519,"69,295,080","8,647",애니메이션,전체관람가,일반영화,2021,6,여름,60531087,1
3570,3600,스노우타임,장 프랑소아 풀리오,영화사 빅,2016-12-15,장편,기타,259,217620400,30467,"50,692,600","6,359",애니메이션,전체관람가,독립/예술영화,2016,12,겨울,217026182,0
3571,3601,바르다가 사랑한 얼굴들,아녜스 바르다,영화사 진진,2018-06-14,장편,프랑스,53,245996534,30392,"185,080,134","21,833",다큐멘터리,전체관람가,독립/예술영화,2018,6,여름,216385269,0
3573,3603,벨 아미,닉 오머로드,에스비에스콘텐츠허브,2012-08-30,장편,영국,103,213966000,30373,"85,646,000","11,530",드라마,청소년관람불가,일반영화,2012,8,여름,194890587,0
3574,3604,반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,디스테이션,2017-01-25,장편,기타,56,370268000,30349,"180,104,400","14,774",판타지,12세관람가,일반영화,2017,1,겨울,219876227,0
3575,3605,더 메뉴,마크 미로드,월트디즈니스튜디오스코리아,2022-12-07,장편,미국,177,314722700,30326,"151,328,300","14,169",스릴러,15세관람가,일반영화,2022,12,겨울,112805094,1
3576,3606,마인드스케이프,호르헤 도라도,오퍼스픽쳐스,2014-10-23,장편,기타,199,220476900,30257,"86,052,200","11,231",스릴러,15세관람가,일반영화,2014,10,가을,215068958,0
3577,3607,클리포드 더 빅 레드 독,월트 벡커,롯데컬처웍스롯데엔터테인먼트,2022-01-12,장편,미국,356,267143090,30248,"74,362,200","8,481",어드벤처,전체관람가,일반영화,2022,1,겨울,112805094,1
3578,3608,드라이브 앵그리 3D,패트릭 루지어,롯데엔터테인먼트,2011-08-25,장편,미국,160,252405500,30221,"80,068,000","8,769",액션,청소년관람불가,일반영화,2011,8,여름,159724465,0
3579,3609,지구: 놀라운 하루,범립흔,리틀빅픽쳐스,2018-02-22,장편,영국,231,229998100,30200,"78,611,500","9,765",다큐멘터리,전체관람가,독립/예술영화,2018,2,겨울,216385269,0
3581,3611,"나의 사랑, 그리스",크리스토퍼 파파칼리아티스,팝엔터테인먼트,2017-04-20,장편,기타,123,241875000,30181,"151,997,100","18,236",드라마,15세관람가,독립/예술영화,2017,4,봄,219876227,0
3582,3612,지골로 인 뉴욕,존 터투로,나이너스엔터테인먼트,2014-09-25,장편,미국,234,226048755,30140,"115,151,955","14,862",멜로/로맨스,청소년관람불가,독립/예술영화,2014,9,가을,215068958,0
3584,3614,극장판 나루토 질풍전: 로드 투 닌자,하야토 다테,씨너스엔터테인먼트,2013-02-21,장편,일본,72,200250500,30117,"67,219,000","9,572",애니메이션,전체관람가,일반영화,2013,2,겨울,213351030,0
3585,3615,더 길티,구스타브 몰러,팝엔터테인먼트,2019-03-27,장편,기타,108,251886700,30110,"111,680,800","12,872",스릴러,12세관람가,독립/예술영화,2019,3,봄,226678777,0
3586,3616,나루토 질풍전 극장판-불의 의지를 잇는 자,사토 마사히코,에이원엔터테인먼트,2009-10-22,장편,일본,67,190809329,30053,"52,869,000","7,863",애니메이션,전체관람가,일반영화,2009,10,가을,155398654,0
3587,3617,체실 비치에서,도미닉 쿡,그린나래미디어,2018-09-20,장편,영국,54,256267223,29992,"158,788,723","18,180",드라마,15세관람가,독립/예술영화,2018,9,가을,216385269,0
3588,3618,행복배달부 팻아저씨,마이크 디사,영화사 빅,2014-10-09,장편,영국,162,210268100,29906,"57,193,700","7,906",애니메이션,전체관람가,독립/예술영화,2014,10,가을,215068958,0
3589,3619,테일 오브 테일즈,마테오 가로네,오드,2016-11-24,장편,기타,102,234331200,29891,"155,458,000","19,500",판타지,청소년관람불가,독립/예술영화,2016,11,가을,217026182,0
3591,3621,톰보이,셀린 시아마,영화특별시에스엠씨,2020-05-14,장편,프랑스,361,268477620,29879,"162,943,780","17,293",드라마,12세관람가,독립/예술영화,2020,5,봄,59523967,1
3592,3622,그레이 맨,안소니 루소,씨제이 씨지브이,2022-07-13,장편,미국,220,277286160,29844,"120,944,100","13,275",액션,15세관람가,일반영화,2022,7,여름,112805094,1
3593,3623,33,패트리시아 리건,나이너스엔터테인먼트,2016-04-07,장편,미국,320,228351400,29728,"68,233,700","8,707",드라마,12세관람가,일반영화,2016,4,봄,217026182,0
3594,3624,루터,에릭 틸,THE 픽쳐스,2017-10-18,장편,독일,94,205455300,29710,"98,473,100","14,270",드라마,12세관람가,독립/예술영화,2017,10,가을,219876227,0
3595,3625,소명 2-모겐족의 월드컵,신현원,에스피엠,2010-04-01,장편,한국,62,200488795,29694,"84,376,000","12,183",다큐멘터리,전체관람가,독립/예술영화,2010,4,봄,147759214,0
3596,3626,내 인생의 마지막 변화구,로버트 로렌즈,워너브러더스 코리아,2012-11-29,장편,미국,130,208654500,29648,"110,680,000","14,967",드라마,12세관람가,일반영화,2012,11,가을,194890587,0
3597,3627,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,기타, 컨텐츠썬,2021-04-28,장편,영국,183,242917500,29610,"52,755,100","6,177",애니메이션,전체관람가,일반영화,2021,4,봄,60531087,1
3598,3628,루비 스팍스,발레리 페리스,팝엔터테인먼트,2018-05-10,장편,미국,149,260261400,29552,"113,687,700","12,577",코미디,15세관람가,독립/예술영화,2018,5,봄,216385269,0
3599,3629,"하이, 젝시",스콧 무어,홈초이스,2020-02-19,장편,미국,205,227794500,29492,"92,332,000","12,136",코미디,15세관람가,일반영화,2020,2,겨울,59523967,1
3600,3630,춘희막이,박혁지,플러스엠 엔터테인먼트,2015-09-30,장편,한국,268,205281965,29473,"94,836,265","13,247",다큐멘터리,12세관람가,독립/예술영화,2015,9,가을,217299523,0
3601,3631,북클럽,빌 홀더먼,영화사 진진,2019-06-20,장편,미국,73,217597690,29453,"140,742,210","18,448",코미디,15세관람가,독립/예술영화,2019,6,여름,226678777,0
3602,3632,너브,아리엘 슐만,박수엔터테인먼트,2017-01-11,장편,미국,151,239275800,29441,"67,132,300","8,103",어드벤처,15세관람가,일반영화,2017,1,겨울,219876227,0
3603,3633,극장판 윌벤져스 : 수상한 캠핑 대소동,류정우,대교 미디어콘텐츠사업본부,2022-06-23,장편,한국,110,293037800,29432,"67,209,100","6,426",애니메이션,전체관람가,독립/예술영화,2022,6,여름,112805094,1
3605,3635,몬태나,스콧 쿠퍼,판씨네마,2018-04-19,장편,미국,276,231968300,29354,"92,654,700","11,794",드라마,15세관람가,독립/예술영화,2018,4,봄,216385269,0
3607,3637,벨과 세바스찬,니콜라 바니에,그린나래미디어,2014-03-20,장편,프랑스,202,210117000,29308,"90,507,800","12,281",어드벤처,전체관람가,독립/예술영화,2014,3,봄,215068958,0
3608,3638,역모-반란의 시대,김홍선,스톰픽쳐스코리아,2017-11-23,장편,한국,355,212967300,29294,"65,901,800","8,430",사극,15세관람가,일반영화,2017,11,가을,219876227,0
3609,3639,아이돌 마스터 무비 : 빛의 저편으로!,니시고리 아츠시,머스트씨무비릴리징컴퍼니,2015-11-19,장편,일본,55,212428000,29287,"113,066,000","15,357",애니메이션,전체관람가,독립/예술영화,2015,11,가을,217299523,0
3610,3640,에브리데이,마이클 수지,그린나래미디어,2018-10-11,장편,미국,128,260023700,29283,"82,296,200","9,027",멜로/로맨스,12세관람가,독립/예술영화,2018,10,가을,216385269,0
3612,3642,왕이 될 아이,조 코니쉬,이십세기폭스코리아,2019-01-16,장편,미국,264,229649450,29236,"79,851,200","9,844",어드벤처,전체관람가,일반영화,2019,1,겨울,226678777,0
3613,3643,비상,박정훈,성원아이컴,2009-12-03,장편,한국,160,223314380,29223,"66,587,500","8,327",액션,청소년관람불가,일반영화,2009,12,겨울,155398654,0
3614,3644,양자경의 더 모든 날 모든 순간,다니엘 쉐이너트,워터홀컴퍼니,2022-11-23,장편,미국,63,311073359,29221,"203,910,484","19,192",액션,15세관람가,독립/예술영화,2022,11,가을,112805094,1
3615,3645,리빙보이 인 뉴욕,마크 웹, 더쿱,2017-11-09,장편,미국,158,239323800,29217,"119,275,800","14,234",멜로/로맨스,15세관람가,독립/예술영화,2017,11,가을,219876227,0
3617,3647,꼬마잠수함 올리,헤 질리,예지림엔터테인먼트,2014-10-16,장편,중국,232,196511300,29114,"41,250,000","5,479",애니메이션,전체관람가,독립/예술영화,2014,10,가을,215068958,0
3619,3649,"다시, 봄",정용주,스마일이엔티,2019-04-17,장편,한국,360,233916700,29048,"97,696,430","11,519",드라마,12세관람가,독립/예술영화,2019,4,봄,226678777,0
3621,3651,미스비헤이비어,필립파 로소프,판씨네마,2020-05-27,장편,영국,378,234421860,28884,"106,700,360","12,991",드라마,15세관람가,독립/예술영화,2020,5,봄,59523967,1
3622,3652,데스노트: 더 뉴 월드,사토 신스케,디스테이션,2017-03-29,장편,일본,309,220886363,28723,"80,445,063","10,121",범죄,15세관람가,일반영화,2017,3,봄,219876227,0
3623,3653,그집,기타,제이앤씨미디어그룹,2020-05-27,장편,기타,392,238258460,28707,"53,073,520","6,562",공포(호러),15세관람가,독립/예술영화,2020,5,봄,59523967,1
3624,3654,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,기타,와이드 릴리즈,2022-02-17,장편,영국,236,239098800,28703,"46,829,700","5,421",애니메이션,전체관람가,일반영화,2022,2,겨울,112805094,1
3625,3655,무협,진가신,넥스트엔터테인먼트월드,2011-11-17,장편,기타,137,206464500,28698,"62,195,000","8,053",액션,15세관람가,일반영화,2011,11,가을,159724465,0
3626,3656,캐리tv 러브콘서트 더 무비,석진욱,롯데컬처웍스롯데엔터테인먼트,2019-08-07,장편,한국,155,225815700,28679,"63,379,600","7,848",공연,전체관람가,일반영화,2019,8,여름,226678777,0
3627,3657,대통령의 7시간,이상호,씨네포트,2019-11-14,장편,한국,84,241374840,28636,"96,296,320","10,881",다큐멘터리,12세관람가,독립/예술영화,2019,11,가을,226678777,0
3628,3658,슈퍼 스파이: 수상한 임무,하비에르 페서,스톰픽쳐스코리아,2015-10-15,장편,기타,173,207059400,28626,"50,831,200","6,557",애니메이션,전체관람가,독립/예술영화,2015,10,가을,217299523,0
3631,3661,분노,이상일,플러스엠 엔터테인먼트,2017-03-30,장편,일본,99,230315537,28567,"158,224,837","19,256",스릴러,청소년관람불가,독립/예술영화,2017,3,봄,219876227,0
3632,3662,굿모닝 맨하탄,가우리 신드,인벤트스톤,2014-02-06,장편,기타,99,205346000,28548,"115,502,000","15,500",코미디,전체관람가,독립/예술영화,2014,2,겨울,215068958,0
3633,3663,그린 나이트,데이빗 로워리,팝엔터테인먼트,2021-08-05,장편,미국,235,265499680,28534,"161,859,300","17,228",어드벤처,15세관람가,독립/예술영화,2021,8,여름,60531087,1
3634,3664,플레이모빌: 더 무비,리노 디살보,올스타엔터테인먼트,2019-09-11,장편,기타,295,222928260,28520,"64,395,520","7,648",애니메이션,전체관람가,독립/예술영화,2019,9,가을,226678777,0
3635,3665,머드,제프 니콜스,프레인글로벌,2013-11-28,장편,미국,113,206252500,28507,"150,206,000","20,109",드라마,15세관람가,독립/예술영화,2013,11,가을,213351030,0
3636,3666,크리미널 스쿼드,크리스찬 구드가스트,이수C&E,2018-04-19,장편,미국,361,236627200,28477,"71,926,200","8,659",범죄,15세관람가,일반영화,2018,4,봄,216385269,0
3638,3668,"어디갔어, 버나뎃",리차드 링클레이터,디스테이션,2020-10-08,장편,미국,253,236253000,28378,"102,548,000","12,154",코미디,12세관람가,독립/예술영화,2020,10,가을,59523967,1
3639,3669,극장판 암살교실 : 365일의 시간,키시 세이지,박수엔터테인먼트,2017-03-23,장편,일본,98,210398500,28364,"52,956,500","6,792",애니메이션,12세관람가,일반영화,2017,3,봄,219876227,0
3640,3670,카페 6,오자운,라이크콘텐츠,2016-11-16,장편,기타,126,196383500,28353,"70,198,000","9,889",멜로/로맨스,12세관람가,독립/예술영화,2016,11,가을,217026182,0
3641,3671,파울볼,김보경,오퍼스픽쳐스,2015-04-02,장편,한국,231,212849500,28324,"74,007,100","9,590",다큐멘터리,전체관람가,독립/예술영화,2015,4,봄,217299523,0
3643,3673,누구나 아는 비밀,아쉬가르 파라디,오드,2019-08-01,장편,기타,52,219393320,28258,"162,618,570","20,231",드라마,15세관람가,독립/예술영화,2019,8,여름,226678777,0
3646,3676,걸즈 앤 판처 극장판,미즈시마 츠토무,머스트씨무비릴리징컴퍼니,2016-08-25,장편,일본,57,251874100,28121,"157,278,600","17,251",애니메이션,12세관람가,일반영화,2016,8,여름,217026182,0
3647,3677,투 프렌즈,빅터 아즈에프,박수엔터테인먼트,2018-11-29,장편,기타,273,199496700,28082,"24,109,600","3,069",애니메이션,전체관람가,일반영화,2018,11,가을,216385269,0
3648,3678,박물관이 진짜 살아있다,마틴 코틱,팝엔터테인먼트,2018-11-08,장편,기타,252,204365150,28064,"35,475,000","4,326",애니메이션,전체관람가,독립/예술영화,2018,11,가을,216385269,0
3650,3680,무림여대생,곽재용,베어엔터테인먼트,2008-06-26,장편,한국,205,176547500,28019,"52,145,000","7,746",멜로/로맨스,15세관람가,일반영화,2008,6,여름,147428639,0
3651,3681,마리안느와 마가렛,윤세영,팝엔터테인먼트,2017-04-20,장편,한국,64,195549400,28016,"33,199,700","4,431",다큐멘터리,전체관람가,독립/예술영화,2017,4,봄,219876227,0
3652,3682,찬실이는 복도 많지,김초희,찬란,2020-03-05,장편,한국,241,240495330,27974,"152,524,530","16,942",드라마,전체관람가,독립/예술영화,2020,3,봄,59523967,1
3653,3683,문호 스트레이독스 [데드 애플],이가라시 타쿠야,애니플러스,2018-04-05,장편,일본,79,213810500,27944,"79,492,000","9,885",애니메이션,12세관람가,독립/예술영화,2018,4,봄,216385269,0
3654,3684,건즈 아킴보,제이슨 레이 하우덴,와이드 릴리즈,2020-04-15,장편,영국,181,244731000,27928,"90,323,000","10,314",액션,청소년관람불가,독립/예술영화,2020,4,봄,59523967,1
3655,3685,그루지 3,토비 윌킨스,케이디미디어,2009-08-27,장편,미국,57,214232793,27904,"67,584,000","8,551",공포(호러),15세관람가,일반영화,2009,8,여름,155398654,0
3656,3686,나를 미치게 하는 여자,주드 아패토우,유니버설픽쳐스인터내셔널 코리아,2015-12-10,장편,미국,161,208570700,27858,"107,755,100","14,876",코미디,청소년관람불가,일반영화,2015,12,겨울,217299523,0
3657,3687,키드냅,루이스 프리에토,제이앤씨미디어그룹,2017-11-22,장편,미국,167,214871800,27854,"74,933,600","9,489",액션,15세관람가,독립/예술영화,2017,11,가을,219876227,0
3658,3688,스페이스 비트윈 어스,피터 첼섬,키다리이엔티,2017-03-16,장편,미국,370,213149361,27847,"78,591,861","9,973",어드벤처,12세관람가,독립/예술영화,2017,3,봄,219876227,0
3659,3689,걸 온 더 트레인,테이트 테일러,씨제이이엔엠,2017-03-09,장편,미국,331,215124500,27840,"72,744,600","9,040",드라마,청소년관람불가,일반영화,2017,3,봄,219876227,0
3663,3693,데인저러스 메소드,데이빗 크로넨버그,KT&G 상상마당 영화사업팀 컴퍼니에스에스,2012-05-10,장편,영국,97,209419509,27642,"129,062,009","16,296",멜로/로맨스,청소년관람불가,독립/예술영화,2012,5,봄,194890587,0
3664,3694,파리의 인어,마티아스 마르지유,빅웨이브시네마,2020-07-23,장편,프랑스,204,232298500,27623,"89,261,500","10,557",멜로/로맨스,12세관람가,독립/예술영화,2020,7,여름,59523967,1
3665,3695,페인 앤 글로리,페드로 알모도바르,제이앤씨미디어그룹,2020-02-05,장편,기타,198,208760620,27569,"117,106,480","14,549",드라마,청소년관람불가,독립/예술영화,2020,2,겨울,59523967,1
3667,3697,더 시크릿,벵상 뻬레,프라임엔터테인먼트,2008-01-01,장편,프랑스,93,183438000,27492,"68,181,500","9,772",미스터리,15세관람가,일반영화,2008,1,겨울,147428639,0
3668,3698,코비: 블루 엘리펀트의 전설,타위랍 스리우티윙스,영화사 빅,2013-12-05,장편,기타,104,165671000,27463,"44,541,500","6,782",애니메이션,전체관람가,일반영화,2013,12,겨울,213351030,0
3669,3699,반지의 제왕 : 두개의 탑 (확장판),피터 잭슨,디스테이션,2017-01-18,장편,기타,58,350183800,27440,"171,901,300","13,453",판타지,12세관람가,일반영화,2017,1,겨울,219876227,0
3670,3700,위아 유어 프렌즈,맥스 조셉,씨네그루다우기술,2015-11-12,장편,미국,220,215918400,27412,"81,737,000","9,961",드라마,청소년관람불가,일반영화,2015,11,가을,217299523,0
3672,3702,토마스와 친구들: 용감한 기관차와 괴물소동,롭 실베스트리,와이드 릴리즈,2016-10-13,장편,영국,291,192443400,27345,"37,991,900","4,715",애니메이션,전체관람가,독립/예술영화,2016,10,가을,217026182,0
3673,3703,퍼펙트 케어,J 블레이크슨,TCO더콘텐츠온,2021-02-19,장편,미국,308,227902740,27337,"114,807,430","13,910",범죄,15세관람가,일반영화,2021,2,겨울,60531087,1
3674,3704,타발루가와 얼음공주,스벤 운터발트 주니어,예지림엔터테인먼트,2020-01-08,장편,독일,304,190654000,27330,"33,625,100","4,221",애니메이션,전체관람가,독립/예술영화,2020,1,겨울,59523967,1
3676,3706,라자루스,데이빗 겔브,조이앤시네마,2015-07-02,장편,미국,89,214955800,27279,"73,616,200","8,924",공포(호러),15세관람가,일반영화,2015,7,여름,217299523,0
3677,3707,몬스터 헌트,라맨 허,와우픽쳐스,2015-11-12,장편,중국,184,200197000,27257,"61,489,300","7,853",판타지,12세관람가,독립/예술영화,2015,11,가을,217299523,0
3678,3708,로스트 인 파리,도미니크 아벨,그린나래미디어,2017-05-18,장편,프랑스,85,215575038,27203,"152,668,838","18,578",멜로/로맨스,12세관람가,독립/예술영화,2017,5,봄,219876227,0
3679,3709,지니어스,마이클 그랜다지,라이크콘텐츠,2017-04-13,장편,영국,172,209372437,27167,"124,198,137","15,610",드라마,12세관람가,독립/예술영화,2017,4,봄,219876227,0
3680,3710,피쉬 프렌즈: 알록이의 신기한 모험,부르한 군,박수엔터테인먼트,2018-08-30,장편,기타,320,185274100,27128,"19,353,700","2,440",애니메이션,전체관람가,일반영화,2018,8,여름,216385269,0
