,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나
2707,2732,더 이퀄라이저,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아,2015-01-28,장편,미국,255,639464500,82779,"220,031,900","28,526",액션,청소년관람불가,일반영화,2015,1,겨울,217299523,0
2708,2733,라르고 윈치,제롬 샬레,프라임엔터테인먼트,2009-08-20,장편,프랑스,163,628575878,82610,"298,778,000","37,592",어드벤처,청소년관람불가,일반영화,2009,8,여름,155398654,0
2709,2734,씬 시티: 다크히어로의 부활,로버트 로드리게즈,플러스엠 엔터테인먼트,2014-09-11,장편,미국,345,650282748,82571,"295,313,748","36,080",액션,청소년관람불가,일반영화,2014,9,가을,215068958,0
2710,2735,어니스트 씨프,마크 윌리엄스,올스타엔터테인먼트,2021-02-03,장편,미국,554,724854260,82388,"211,342,010","24,809",액션,15세관람가,일반영화,2021,2,겨울,60531087,1
2711,2736,도라에몽: 스탠바이미 2,야기 류이치,스마일이엔티,2021-05-19,장편,일본,631,712260330,82311,"135,454,900","15,316",애니메이션,전체관람가,일반영화,2021,5,봄,60531087,1
2712,2737,파도가 지나간 자리,데릭 시엔프랜스,CGV아트하우스,2017-03-08,장편,미국,276,634595200,82177,"263,656,600","33,216",드라마,15세관람가,독립/예술영화,2017,3,봄,219876227,0
2713,2738,다이노X 탐험대,이동희,이수C&E,2016-05-04,장편,한국,348,634339900,82148,"122,013,400","15,164",애니메이션,전체관람가,독립/예술영화,2016,5,봄,217026182,0
2714,2739,스펜서,파블로 라라인,영화특별시에스엠씨,2022-03-16,장편,영국,730,771154130,82031,"397,441,260","41,496",드라마,12세관람가,독립/예술영화,2022,3,봄,112805094,1
2716,2741,출국,노규엽,기타,2018-11-14,장편,한국,274,639521850,81722,"244,385,200","32,001",드라마,15세관람가,독립/예술영화,2018,11,가을,216385269,0
2717,2742,젠틀맨,가이 리치,영화사 빅,2020-02-26,장편,미국,586,665658710,81482,"299,813,360","36,075",범죄,청소년관람불가,일반영화,2020,2,겨울,59523967,1
2719,2744,아따맘마 - 극장판,야스미 테츠오,에이원엔터테인먼트,2011-02-17,장편,일본,90,533355500,81352,"110,413,000","15,687",애니메이션,전체관람가,일반영화,2011,2,겨울,159724465,0
2720,2745,꼬마참새 리차드: 아프리카 원정대,레자 메마리,키다리이엔티,2017-06-15,장편,독일,319,599076600,81136,"110,244,400","13,844",애니메이션,전체관람가,독립/예술영화,2017,6,여름,219876227,0
2721,2746,터널 3D,박규택,박수엔터테인먼트,2014-08-20,장편,한국,264,620874000,80989,"141,924,500","17,219",공포(호러),15세관람가,일반영화,2014,8,여름,215068958,0
2722,2747,원 챈스,데이빗 프랭클,라이크콘텐츠,2014-03-13,장편,영국,329,593174100,80977,"227,216,900","29,412",코미디,12세관람가,독립/예술영화,2014,3,봄,215068958,0
2725,2750,최악의 하루,김종관,CGV아트하우스,2016-08-25,장편,한국,199,639959190,80754,"351,625,290","43,550",멜로/로맨스,15세관람가,독립/예술영화,2016,8,여름,217026182,0
2726,2751,지금은맞고그때는틀리다,홍상수,콘텐츠판다,2015-09-24,장편,한국,59,664112100,80614,"463,272,700","54,576",드라마,청소년관람불가,독립/예술영화,2015,9,가을,217299523,0
2727,2752,엑스페리먼트,폴 쉐어링,새인컴퍼니,2010-08-11,장편,미국,110,583702363,80367,"185,043,000","24,383",드라마,15세관람가,독립/예술영화,2010,8,여름,147759214,0
2730,2755,프렌즈 위드 베네핏,윌 글럭,한국소니픽쳐스릴리징브에나비스타영화,2011-10-27,장편,미국,210,591765000,80197,"312,231,500","41,457",코미디,청소년관람불가,일반영화,2011,10,가을,159724465,0
2733,2758,에어로너츠,톰 하퍼,홈초이스,2020-06-10,장편,영국,534,691188500,79877,"284,464,760","32,538",드라마,12세관람가,독립/예술영화,2020,6,여름,59523967,1
2734,2759,로스트 인 더스트,데이빗 맥킨지,플러스엠 엔터테인먼트,2016-11-03,장편,미국,354,621368822,79812,"265,854,522","33,568",범죄,15세관람가,일반영화,2016,11,가을,217026182,0
2735,2760,오 마이 그랜파,댄 마저,판씨네마,2016-03-17,장편,미국,396,632806532,79701,"222,196,232","27,230",코미디,청소년관람불가,일반영화,2016,3,봄,217026182,0
2737,2762,꿀벌 하치의 대모험,아미노 테츠로,박수엔터테인먼트,2011-01-13,장편,일본,141,525369500,79625,"135,325,500","18,895",애니메이션,전체관람가,일반영화,2011,1,겨울,159724465,0
2738,2763,미쓰 루시힐,조나스 엘머,쇼박스,2009-04-09,장편,미국,138,535856585,79471,"266,454,000","37,787",코미디,12세관람가,일반영화,2009,4,봄,155398654,0
2739,2764,드래곤 스펠: 마법 꽃의 비밀,마누크 데포얀,코리아스크린,2017-08-15,장편,독일,164,582071200,79446,"113,863,100","15,015",애니메이션,전체관람가,독립/예술영화,2017,8,여름,219876227,0
2740,2765,소리꾼,조정래,리틀빅픽쳐스,2020-07-01,장편,한국,573,642120680,79215,"183,695,800","22,306",사극,12세관람가,일반영화,2020,7,여름,59523967,1
2741,2766,페이스 오브 러브,아리 포신,영화사 빅,2014-04-16,장편,미국,222,585768905,79179,"281,603,905","36,996",드라마,15세관람가,독립/예술영화,2014,4,봄,215068958,0
2742,2767,인민을 위해 복무하라,장철수,제이앤씨미디어그룹,2022-02-23,장편,한국,598,709334190,79105,"223,558,850","26,380",멜로/로맨스,청소년관람불가,일반영화,2022,2,겨울,112805094,1
2743,2768,분신사바 2,안병기,팝엔터테인먼트,2014-07-16,장편,중국,238,574836300,79017,"107,231,000","13,907",공포(호러),15세관람가,독립/예술영화,2014,7,여름,215068958,0
2745,2770,너와 100번째 사랑,츠키카와 쇼,디스테이션,2017-05-25,장편,일본,140,620733200,78930,"193,154,900","23,328",드라마,12세관람가,독립/예술영화,2017,5,봄,219876227,0
2746,2771,극장판 미니특공대: 공룡왕 디노,이영준,리틀빅픽쳐스,2020-02-06,장편,한국,485,613273720,78929,"84,585,600","10,052",애니메이션,전체관람가,일반영화,2020,2,겨울,59523967,1
2747,2772,바다 탐험대 옥토넛 : 탐험선 대작전,기타,와이드 릴리즈,2022-08-11,장편,영국,241,744749950,78910,"153,159,850","15,760",애니메이션,전체관람가,독립/예술영화,2022,8,여름,112805094,1
2748,2773,코다,션 헤이더,판씨네마,2021-08-31,장편,프랑스,308,707930599,78583,"366,887,290","40,312",드라마,12세관람가,독립/예술영화,2021,8,여름,60531087,1
2749,2774,토토의 움직이는 숲,에스벤 토프트 야콥슨,미디어데이,2013-06-20,장편,기타,191,502754000,78571,"84,224,500","11,937",애니메이션,전체관람가,독립/예술영화,2013,6,여름,213351030,0
2750,2775,메디엄,피터 콘웰,에스케이텔레콤,2009-07-29,장편,미국,156,570842804,78494,"234,047,500","30,149",공포(호러),15세관람가,일반영화,2009,7,여름,155398654,0
2751,2776,오즈: 신기한 마법가루,블라디미르 토로프킨,스마일이엔티,2017-07-20,장편,기타,343,565456600,78440,"136,995,800","18,133",애니메이션,전체관람가,독립/예술영화,2017,7,여름,219876227,0
2752,2777,세인트 빈센트,데오도르 멜피,영화사 빅,2015-03-05,장편,미국,308,604885528,78336,"225,289,928","28,351",코미디,12세관람가,독립/예술영화,2015,3,봄,217299523,0
2753,2778,룸,레니 에이브러햄슨,팝엔터테인먼트,2016-03-03,장편,기타,333,621606700,78253,"270,557,400","33,076",드라마,15세관람가,독립/예술영화,2016,3,봄,217026182,0
2756,2781,모데카이,데이빗 코엡,나이너스엔터테인먼트,2015-02-18,장편,미국,290,624513020,78070,"297,995,120","36,209",액션,15세관람가,일반영화,2015,2,겨울,217299523,0
2757,2782,엑스 마키나,알렉스 가랜드,유니버설픽쳐스인터내셔널 코리아,2015-01-21,장편,미국,207,629716963,78049,"316,342,463","38,747",SF,청소년관람불가,일반영화,2015,1,겨울,217299523,0
2758,2783,호텔 아르테미스,드류 피어스,판씨네마,2018-07-18,장편,미국,465,646127100,77794,"188,005,400","21,929",액션,15세관람가,일반영화,2018,7,여름,216385269,0
2759,2784,극장판 콩순이: 장난감나라 대모험,이선명,넥스트엔터테인먼트월드,2021-05-05,장편,한국,690,679380620,77786,"117,253,710","13,171",애니메이션,전체관람가,독립/예술영화,2021,5,봄,60531087,1
2760,2785,쓰리 썸머 나잇,김상진,리틀빅픽쳐스,2015-07-15,장편,한국,297,616132846,77621,"185,973,246","22,302",코미디,청소년관람불가,일반영화,2015,7,여름,217299523,0
2761,2786,알이씨(Rec),파코 플라자,유니버설픽쳐스인터내셔널 코리아,2008-07-10,장편,기타,97,524571500,77533,"200,292,000","27,830",공포(호러),청소년관람불가,일반영화,2008,7,여름,147428639,0
2762,2787,드라이브 마이 카,하마구치 류스케,트리플픽쳐스,2021-12-23,장편,일본,69,716149880,77359,"500,702,860","52,857",드라마,15세관람가,독립/예술영화,2021,12,겨울,60531087,1
2763,2788,아더 우먼,닉 카사베츠,이십세기폭스코리아,2014-11-13,장편,미국,331,580257218,77341,"235,786,718","30,406",코미디,15세관람가,일반영화,2014,11,가을,215068958,0
2764,2789,매직 인 더 문라이트,우디 앨런,인벤트스톤,2014-08-20,장편,미국,194,607414281,77308,"372,669,681","45,981",코미디,12세관람가,독립/예술영화,2014,8,여름,215068958,0
2766,2791,100 피트,에릭 레드,싸이더스,2008-07-24,장편,미국,133,505925500,76985,"152,378,000","21,447",공포(호러),15세관람가,일반영화,2008,7,여름,147428639,0
2767,2792,참을 수 없는,권칠인,시너지하우스 ,2010-10-21,장편,한국,220,575770952,76965,"193,434,000","25,171",멜로/로맨스,청소년관람불가,독립/예술영화,2010,10,가을,147759214,0
2769,2794,타임 패러독스,마이클 스피어리그,조이앤시네마,2015-01-07,장편,기타,232,602296908,76803,"220,836,608","27,156",SF,15세관람가,독립/예술영화,2015,1,겨울,217299523,0
2770,2795,"어쩌다, 결혼",박수진,CGV아트하우스,2019-02-27,장편,한국,529,586584249,76746,"183,109,419","22,596",멜로/로맨스,12세관람가,독립/예술영화,2019,2,겨울,226678777,0
2773,2798,러덜리스,윌리엄 H. 머시,그린나래미디어,2015-07-09,장편,미국,117,602152720,76343,"328,229,620","40,262",코미디,12세관람가,독립/예술영화,2015,7,여름,217299523,0
2774,2799,엽기적인 그녀 2,조근식,리틀빅픽쳐스,2016-05-12,장편,한국,387,588233900,76321,"143,965,300","18,030",멜로/로맨스,15세관람가,일반영화,2016,5,봄,217026182,0
2775,2800,맨 인 더 다크 2,로도 사야구에즈,소니픽쳐스엔터테인먼트코리아극장배급지점,2021-09-01,장편,미국,248,765928300,76265,"192,661,600","19,599",공포(호러),청소년관람불가,일반영화,2021,9,가을,60531087,1
2777,2802,하이큐!! 끝과 시작,미츠나카 스스무,팝엔터테인먼트,2016-11-16,장편,일본,130,544846000,75704,"158,050,000","20,943",애니메이션,12세관람가,일반영화,2016,11,가을,217026182,0
2778,2803,나의 로맨틱 가이드,도널드 페트리,성원아이컴,2009-08-27,장편,미국,130,535685529,75668,"248,762,000","34,039",코미디,15세관람가,일반영화,2009,8,여름,155398654,0
2779,2804,오두막,스튜어트 하젤딘,판씨네마,2017-04-20,장편,미국,396,581005200,75657,"301,447,100","38,001",드라마,12세관람가,독립/예술영화,2017,4,봄,219876227,0
2782,2807,피치 퍼펙트: 언프리티 걸즈,엘리자베스 뱅크스,유니버설픽쳐스인터내셔널 코리아,2015-05-28,장편,미국,297,591516497,75598,"240,698,797","29,268",코미디,15세관람가,일반영화,2015,5,봄,217299523,0
2783,2808,블룸 형제 사기단,라이언 존슨,시너지하우스 ,2009-06-18,장편,미국,144,502498186,75462,"223,745,000","32,297",코미디,12세관람가,일반영화,2009,6,여름,155398654,0
2784,2809,조조-황제의 반란,조림산,롯데엔터테인먼트,2012-10-18,장편,중국,227,535668500,75297,"161,061,000","21,771",사극,15세관람가,일반영화,2012,10,가을,194890587,0
2786,2811,브릭 맨션: 통제불능 범죄구역,카밀 들라마레,씨네그루다우기술,2014-08-27,장편,프랑스,287,543025047,74912,"161,570,947","21,613",액션,15세관람가,일반영화,2014,8,여름,215068958,0
2788,2813,회초리,박광우,롯데엔터테인먼트,2011-05-19,장편,한국,142,479093000,74765,"178,532,000","28,322",드라마,12세관람가,일반영화,2011,5,봄,159724465,0
2789,2814,드림업,토드 그라프,케이디미디어,2009-09-03,장편,미국,212,519832169,74416,"185,516,500","25,244",드라마,12세관람가,일반영화,2009,9,가을,155398654,0
2790,2815,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,유야마 쿠니히코,포켓몬코리아,2014-08-13,장편,일본,123,531113700,74346,"130,486,400","17,887",애니메이션,전체관람가,일반영화,2014,8,여름,215068958,0
2791,2816,외톨이,박재식,성원아이컴,2008-09-18,장편,한국,199,474493500,74282,"113,783,000","16,817",공포(호러),15세관람가,일반영화,2008,9,가을,147428639,0
