,영화명,감독,배급사,개봉일,출연
20,트랜스포머 3,마이클 베이,씨제이이엔엠,2011-06-29,"['샤이아 라보프', '로지 헌팅턴 휘틀리', '조쉬 더하멜', '휴고 위빙', '패트릭 뎀시', '레너드 니모이', '타이레스 깁슨', '존 말코비치', '켄 정', '프란시스 맥도맨드', '존 터투로']"
21,히말라야,이석훈,씨제이이엔엠,2015-12-16,"['황정민', '정우']"
22,미션임파서블:고스트프로토콜,브래드 버드,씨제이이엔엠,2011-12-15,"['톰 크루즈', '제레미 레너']"
23,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2021-12-15,"['톰 홀랜드', '젠데이아 콜먼', '베네딕트 컴버배치', '존 파브로', '제이콥 배덜런', '마리사 토메이', '알프리드 몰리나']"
24,트랜스포머: 패자의 역습,마이클 베이,씨제이이엔엠,2009-06-24,"['샤이아 라보프', '메간 폭스', '휴고 위빙', '조쉬 더하멜', '존 터투로']"
25,밀정,김지운,워너브러더스 코리아,2016-09-07,"['송강호', '공유']"
26,최종병기 활,김한민,롯데엔터테인먼트,2011-08-10,"['박해일', '류승룡', '김무열', '문채원']"
27,써니,강형철,씨제이이엔엠,2011-05-04,"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']"
28,한산: 용의 출현,김한민,롯데컬처웍스롯데엔터테인먼트,2022-07-27,"['박해일', '변요한', '안성기', '손현주', '김성규', '김성균', '김향기', '택연', '공명', '박지환', '조재윤']"
29,스파이더맨: 홈 커밍,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2017-07-05,"['톰 홀랜드', '마이클 키튼']"
30,1987,장준환,씨제이이엔엠,2017-12-27,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']"
31,베를린,류승완,씨제이이엔엠,2013-01-30,"['하정우', '한석규', '류승범', '전지현', '이경영']"
32,마스터,조의석,씨제이이엔엠,2016-12-21,"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']"
33,터널,김성훈,쇼박스,2016-08-10,"['하정우', '배두나', '오달수']"
34,어벤져스,조스 웨던,월트디즈니스튜디오스코리아,2012-04-26,"['로버트 다우니 주니어', '스칼릿 조핸슨', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '제레미 레너', '사무엘 L. 잭슨', '톰 히들스턴']"
35,내부자들,우민호,쇼박스,2015-11-19,"['이병헌', '조승우', '백윤식']"
36,인천상륙작전,이재한,씨제이이엔엠,2016-07-27,"['이정재', '이범수', '리암 니슨', '진세연']"
37,공조2: 인터내셔날,이석훈,씨제이이엔엠,2022-09-07,"['현빈', '유해진', '윤아', '다니엘 헤니', '진선규']"
38,은밀하게 위대하게,장철수,쇼박스,2013-06-05,"['김수현', '박기웅', '이현우', '손현주']"
39,곡성,나홍진,이십세기폭스코리아,2016-05-12,"['곽도원', '황정민', '쿠니무라 준', '천우희', '김환희']"
40,범죄도시,강윤성,플러스엠 엔터테인먼트,2017-10-03,"['마동석', '윤계상']"
41,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,씨제이이엔엠,2008-07-17,"['송강호', '이병헌', '정우성']"
42,늑대소년,조성희,씨제이이엔엠,2012-10-31,"['송중기', '박보영']"
43,군함도,류승완,씨제이이엔엠,2017-07-26,"['황정민', '소지섭', '송중기', '이정현', '김수안']"
44,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스롯데엔터테인먼트,2018-07-25,"['톰 크루즈', '레베카 퍼거슨', '헨리 카빌', '사이먼 페그']"
45,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아,2012-07-19,"['크리스찬 베일', '조셉 고든 레빗', '게리 올드만', '앤 해서웨이', '톰 하디', '마리옹 꼬띠아르', '마이클 케인', '모건 프리먼']"
46,아저씨,이정범,씨제이이엔엠,2010-08-04,"['원빈', '김새론']"
47,사도,이준익,쇼박스,2015-09-16,"['송강호', '유아인', '문근영']"
48,전우치,최동훈,씨제이이엔엠,2009-12-23,"['강동원', '김윤석', '임수정', '유해진']"
49,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데엔터테인먼트,2015-07-30,"['톰 크루즈', '제레미 레너', '레베카 퍼거슨', '사이먼 페그', '알렉 볼드윈']"
50,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아,2015-02-11,"['콜린 퍼스', '태런 에저튼', '사무엘 L. 잭슨']"
51,연평해전,김학순,넥스트엔터테인먼트월드,2015-06-24,"['김무열', '진구', '이현우']"
52,인셉션,크리스토퍼 놀란,디스테이션,2010-07-21,"['레오나르도 디카프리오', '와타나베 켄', '조셉 고든 레빗', '마리옹 꼬띠아르', '엘리엇 페이지', '톰 하디']"
53,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아,2012-12-19,"['휴 잭맨', '앤 해서웨이', '러셀 크로우', '아만다 사이프리드', '헬레나 본햄 카터', '사샤 바론 코헨']"
54,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니스튜디오스코리아,2022-05-04,"['베네딕트 컴버배치', '엘리자베스 올슨']"
