순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
4530,엔딩노트,마미 스나다,,(주)영화사 진진,(주)영화사 진진,2012-11-29,개봉영화,장편,일본,13,87708500,12491,67874000,9194,드라마,전체관람가,독립/예술영화
4531,더 보이스,마르잔 사트라피,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2018-08-29,개봉영화,장편,미국,64,71256000,12487,19242000,2295,코미디,청소년관람불가,독립/예술영화
4532,커피와 담배,짐 자무시,,"(주)영화사 안다미로,(주)스폰지이엔티","(주)영화사 안다미로,(주)스폰지이엔티",2006-07-27,개봉영화,장편,미국,0,0,12476,0,10955,드라마,"12세이상관람가,12세관람가",독립/예술영화
4533,미스터 라잇,파코 카베자스,,(주)누리픽쳐스,(주)누리픽쳐스,2016-06-16,개봉영화,장편,미국,92,92430800,12465,26196500,3338,액션,청소년관람불가,일반영화
4534,코파카바나,마르끄 피투시,,(주)티캐스트,(주)티캐스트,2011-05-26,개봉영화,장편,프랑스,7,98381000,12462,89059000,11058,드라마,15세이상관람가,독립/예술영화
4535,동쪽의 에덴 극장판 ① 더 킹오브 에덴,카미야마 켄지,"아스믹에이스엔터테인먼트,프로덕션 I.G.",애니박스 엔터테인먼트,애니박스 엔터테인먼트,2010-01-28,개봉영화,장편,일본,53,84550985,12460,35097500,4985,애니메이션,전체관람가,일반영화
4536,세인트 아가타,대런 린 보우즈만,,(주)스톰픽쳐스코리아,(주)디스테이션,2020-03-19,개봉영화,장편,미국,390,109460080,12450,32200220,3603,공포(호러),청소년관람불가,독립/예술영화
4537,혼자 사는 사람들,홍성은,한국영화아카데미,,주식회사 더쿱,2021-05-19,개봉영화,장편,한국,159,110800560,12447,63579970,6980,드라마,12세이상관람가,독립/예술영화
4538,샤넬과 스트라빈스키,얀 쿠넹,,유니코리아문예투자(주),주식회사 마운틴픽쳐스,2011-08-25,개봉영화,장편,프랑스,20,96159500,12439,77300000,9787,드라마,청소년관람불가,독립/예술영화
4539,아직 끝나지 않았다,자비에 르그랑,,판씨네마(주),판씨네마(주),2018-06-21,개봉영화,장편,프랑스,70,101744100,12433,65575700,7651,드라마,15세이상관람가,독립/예술영화
