,순번,영화명,감독,배급사,개봉일,출연
37,67,럭키,이계벽,쇼박스,2016-10-13,"['김수현', '박기웅', '이현우', '손현주']"
38,68,은밀하게 위대하게,장철수,쇼박스,2013-06-05,"['곽도원', '황정민', '쿠니무라 준', '천우희', '김환희']"
39,69,곡성,나홍진,이십세기폭스코리아,2016-05-12,"['마동석', '윤계상']"
40,70,범죄도시,강윤성,플러스엠 엔터테인먼트,2017-10-03,"['조승우', '김혜수', '백윤식', '유해진']"
41,72,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,(주)씨제이이엔엠,2008-07-17,"['송중기', '박보영']"
42,73,늑대소년,조성희,씨제이이엔엠,2012-10-31,"['주진모', '김아중']"
43,75,군함도,류승완,씨제이이엔엠,2017-07-26,"['톰 크루즈', '레베카 퍼거슨', '헨리 카빌', '사이먼 페그']"
44,76,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스롯데엔터테인먼트,2018-07-25,"['크리스찬 베일', '조셉 고든 레빗', '게리 올드만', '앤 해서웨이', '톰 하디', '마리옹 꼬띠아르', '마이클 케인', '모건 프리먼']"
45,77,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아,2012-07-19,"['원빈', '김새론']"
46,78,아저씨,이정범,(주)씨제이이엔엠,2010-08-04,"['송강호', '유아인', '문근영']"
47,79,사도,이준익,쇼박스,2015-09-16,"['강동원', '김윤석', '임수정', '유해진']"
48,80,전우치,최동훈,(주)씨제이이엔엠,2009-12-23,"['톰 크루즈', '제레미 레너', '레베카 퍼거슨', '사이먼 페그', '알렉 볼드윈']"
49,81,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데엔터테인먼트,2015-07-30,"['콜린 퍼스', '태런 에저튼', '사무엘 L. 잭슨']"
50,82,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아,2015-02-11,"['정준호', '김상중', '정웅인', '정운택']"
51,84,연평해전,김학순,,2015-06-24,"['일라이저 우드', '숀 애스틴', '앤디 서키스', '이안 맥켈런', '리브 타일러', '비고 모텐슨', '올랜도 블룸', '존 라이스 데이비스', '빌리 보이드', '도미닉 모나한', '버나드 힐', '미란다 오토']"
52,86,인셉션,크리스토퍼 놀란,디스테이션,2010-07-21,"['휴 잭맨', '앤 해서웨이', '러셀 크로우', '아만다 사이프리드', '헬레나 본햄 카터', '사샤 바론 코헨']"
53,87,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아,2012-12-19,"['베네딕트 컴버배치', '엘리자베스 올슨']"
54,88,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니스튜디오스코리아,2022-05-04,"['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨', '주드 로']"
55,89,캡틴 마블,라이언 플렉,월트디즈니스튜디오스코리아,2019-03-06,['톰 크루즈']
56,91,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아,2018-06-06,"['박서준', '강하늘']"
57,92,청년경찰,김주환,롯데엔터테인먼트,2017-08-09,"['신현준', '김원희', '김수미']"
58,94,숨바꼭질,허정,,2013-08-14,"['손예진', '박해일']"
59,95,덕혜옹주,허진호,롯데엔터테인먼트,2016-08-03,"['하정우', '이경영', '전혜진']"
60,96,더 테러 라이브,김병우,롯데엔터테인먼트,2013-07-31,"['크리스 프랫', '브라이스 달라스 하워드', '빈센트 도노프리오', '타이 심킨스', '닉 로빈슨']"
61,97,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아,2015-06-11,"['송강호', '강동원']"
62,98,의형제,장훈,쇼박스,2010-02-04,"['설경구', '정우성', '한효주']"
63,99,감시자들,김병서,,2013-07-03,"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']"
64,100,2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화,2009-11-12,"['폴 러드', '에반젤린 릴리', '마이클 더글라스', '미셸 파이퍼', '로렌스 피시번', '마이클 페나', '해나 존-케이먼']"
65,101,앤트맨과 와스프,페이튼 리드,월트디즈니스튜디오스코리아,2018-07-04,"['베네딕트 컴버배치', '틸다 스윈튼', '치웨텔 에지오포', '레이첼 맥아담스', '매즈 미켈슨']"
66,102,닥터 스트레인지,스콧 데릭슨,월트디즈니스튜디오스코리아,2016-10-26,"['김윤석', '강동원']"
67,103,검은 사제들,장재현,씨제이이엔엠,2015-11-05,"['조인성', '남주혁', '박성웅']"
68,104,안시성,김광식,,2018-09-19,['채드윅 보스만']
69,106,더 킹,한재림,,2017-01-18,"['김윤석', '유아인']"
70,107,완득이,이한,씨제이이엔엠,2011-10-20,"['마크 월버그', '니콜라 펠츠', '잭 레이너', '스탠리 투치', '리빙빙']"
71,108,트랜스포머: 사라진 시대,마이클 베이,씨제이이엔엠,2014-06-25,"['유해진', '조진웅', '이서진', '염정아', '김지수', '송하윤', '윤경호']"
72,109,완벽한 타인,이재규,롯데컬처웍스롯데엔터테인먼트,2018-10-31,['호아킨 피닉스']
73,111,조커,토드 필립스,워너브러더스 코리아,2019-10-02,"['일라이저 우드', '이안 맥켈런', '비고 모텐슨']"
74,112,월드 워 Z,마크 포스터,롯데엔터테인먼트,2013-06-20,"['설경구', '손예진', '김상경']"
75,114,타워,김지훈,씨제이이엔엠,2012-12-25,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']"
76,116,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,"['조진웅', '류준열', '김주혁', '김성령', '박해준']"
77,117,추격자,나홍진,쇼박스,2008-02-14,"['잭 블랙', '더스틴 호프만', '성룡', '안젤리나 졸리', '세스 로건', '루시 리우', '데이빗 크로스', '제임스 홍', '양자경', '장 끌로드 반담', '빅터 가버', '게리 올드만', '데니스 헤이스버트']"
78,118,독전,이해영,,2018-05-22,"['앰버 허드', '제이슨 모모아', '윌렘 대포', '패트릭 윌슨', '니콜 키드먼', '돌프 룬드그렌']"
79,119,쿵푸팬더 2,여인영,씨제이이엔엠,2011-05-26,"['황정민', '이성민', '조진웅', '주지훈']"
80,120,아쿠아맨,제임스 완,워너브러더스 코리아,2018-12-19,"['에이미 포엘러', '필리스 스미스', '민디 캘링', '빌 헤이더', '루이스 블랙', '케이틀린 디아스', '카일 맥라클란', '다이안 레인']"
81,121,공작,윤종빈,씨제이이엔엠,2018-08-08,"['조니 뎁', '올랜도 블룸', '키이라 나이틀리', '스텔란 스카스가드', '빌 나이', '주윤발', '제프리 러쉬']"
82,122,인사이드 아웃,피트 닥터,월트디즈니스튜디오스코리아,2015-07-09,"['태런 에저튼', '줄리안 무어', '콜린 퍼스']"
83,124,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아,2017-09-27,"['차태현', '오지호', '민효린', '성동일', '신정근', '고창석']"
84,127,바람과 함께 사라지다,김주호,,2012-08-08,"['앤드류 가필드', '엠마 스톤', '리스 이판', '마틴 쉰', '샐리 필드']"
85,128,마션,리들리 스콧,월트디즈니스튜디오스코리아,2015-10-08,"['조병만', '강계열']"
86,129,토르: 라그나로크,타이카 와이티티,월트디즈니스튜디오스코리아,2017-10-25,"['김명민', '오달수', '한지민']"
87,130,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화,2012-06-28,"['유해진', '류준열', '조우진']"
88,131,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27,"['하정우', '강동원']"
89,132,조선명탐정 : 각시투구꽃의 비밀,김석윤,쇼박스,2011-01-27,"['이병헌', '이성민', '곽도원', '이희준', '김소진']"
90,133,봉오동 전투,원신연,쇼박스,2019-08-07,"['도날드 글로버', '세스 로건', '치웨텔 에지오포', '제임스 얼 존스', '빌리 아이크너', '알프리 우다드', '비욘세']"
91,134,군도: 민란의 시대,윤종빈,쇼박스,2014-07-23,"['최민식', '하정우']"
92,135,남산의 부장들,우민호,쇼박스,2020-01-22,"['지니퍼 굿윈', '제이슨 베이트먼', '샤키라', '알란 터딕', '이드리스 엘바', 'J.K. 시몬스']"
93,136,라이온 킹,존 파브로,월트디즈니스튜디오스코리아,2019-07-17,"['톰 크루즈', '에밀리 블런트', '빌 팩스톤']"
94,138,주토피아,리치 무어,월트디즈니스튜디오스코리아,2016-02-17,"['잭 블랙', '더스틴 호프만', '성룡', '루시 리우', '안젤리나 졸리', '이안 맥쉐인', '데이빗 크로스', '세스 로건']"
95,139,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아,2014-06-04,"['에디 레드메인', '캐서린 워터스턴', '콜린 파렐', '앨리슨 수돌']"
96,140,신세계,박훈정,,2013-02-21,"['공유', '정유미']"
97,141,쿵푸 팬더,마크 오스본,(주)씨제이이엔엠,2008-06-05,"['조니 뎁', '올랜도 블룸', '키이라 나이틀리']"
98,142,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아,2016-11-16,['벤 스틸러']
99,143,도가니,황동혁,씨제이이엔엠,2011-09-22,"['임수정', '이선균', '류승룡']"
100,146,내 아내의 모든 것,민규동,,2012-05-17,"['크리스찬 베일', '샘 워싱턴', '안톤 옐친', '문 블러드굿']"
101,147,나쁜 녀석들: 더 무비,손용호,씨제이이엔엠,2019-09-11,"['메릴 스트립', '피어스 브로스넌', '콜린 퍼스', '스텔란 스카스가드', '아만다 사이프리드']"
102,148,판도라,박정우,,2016-12-07,"['김명민', '문정희', '김동완', '이하늬']"
103,149,터미네이터 : 미래전쟁의 시작,맥지,롯데엔터테인먼트,2009-05-21,"['로버트 다우니 주니어', '기네스 팰트로', '돈 치들', '스칼릿 조핸슨', '미키 루크']"
104,150,맘마미아!,필리다 로이드,유니버설픽쳐스인터내셔널 코리아,2008-09-03,"['정우성', '곽도원']"
105,151,연가시,박정우,씨제이이엔엠,2012-07-05,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']"
106,152,아이언맨 2,존 파브로,(주)씨제이이엔엠,2010-04-29,"['황정민', '이정재', '박정민', '박소이']"
107,153,강철비,양우석,,2017-12-14,"['이정재', '정우성', '전혜진', '허성태', '고윤정', '김종수', '정만식']"
108,154,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아,2011-07-13,"['로버트 다우니 주니어', '테렌스 하워드', '제프 브리지스', '기네스 팰트로']"
109,155,다만 악에서 구하소서,홍원찬,씨제이이엔엠,2020-08-05,"['제니퍼 로렌스', '휴 잭맨', '제임스 맥어보이', '마이클 패스벤더']"
110,156,헌트,이정재,플러스엠 엔터테인먼트,2022-08-10,"['설경구', '정재영']"
111,157,아이언맨,존 파브로,(주)씨제이이엔엠,2008-04-30,"['김민희', '김태리', '하정우', '조진웅']"
112,158,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아,2014-05-22,"['나오미 왓츠', '잭 블랙', '애드리언 브로디']"
113,159,강철중: 공공의 적 1-1,강우석,(주)씨제이이엔엠,2008-06-19,"['엠마 스톤', '앤드류 가필드']"
114,160,아가씨,박찬욱,씨제이이엔엠,2016-06-01,"['해리슨 포드', '케이트 블란쳇', '카렌 알렌', '샤이아 라보프', '레이 윈스턴']"
115,162,어메이징 스파이더맨 2,마크 웹,월트디즈니스튜디오스코리아,2014-04-23,"['엄태웅', '한가인', '이제훈', '수지']"
116,163,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,(주)씨제이이엔엠,2008-05-22,"['장동건', '이정재', '이미연', '김갑수']"
117,164,용의자,원신연,쇼박스,2013-12-24,"['브렌든 프레이저', '이연걸', '마리아 벨로', '존 한나', '양자경', '루크 포드', '이사벨라 롱']"
118,165,건축학개론,이용주,롯데엔터테인먼트,2012-03-22,"['김하늘', '강지환']"
119,167,미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아,2008-07-30,"['임창정', '하지원']"
120,168,7급 공무원,신태라,롯데엔터테인먼트,2009-04-22,"['황정민', '엄정화']"
121,169,다크 나이트,크리스토퍼 놀란, 해리슨앤컴퍼니,2008-08-06,"['문소리', '김정은', '엄태웅', '김지영', '조은지', '차민지']"
122,171,댄싱퀸,이석훈,씨제이이엔엠,2012-01-18,"['앤디 서키스', '게리 올드만', '제이슨 클락', '주디 그리어', '케리 러셀']"
123,172,우리 생애 최고의 순간,임순례,싸이더스,2008-01-10,"['T.O.P', '신세경', '곽도원', '이하늬']"
124,173,꾼,장창원,쇼박스,2017-11-22,"['다니엘 래드클리프', '루퍼트 그린트', '엠마 왓슨']"
125,174,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아,2014-07-10,"['잭 블랙', '안젤리나 졸리', '성룡', '세스 로건', '루시 리우', '데이빗 크로스', '제임스 홍', '케이트 허드슨', '브라이언 크랜스톤', '더스틴 호프만', 'J.K. 시몬스']"
126,175,타짜-신의 손,강형철,롯데엔터테인먼트,2014-09-03,"['스칼릿 조핸슨', '크리스 에반스', '사무엘 L. 잭슨']"
127,177,쿵푸팬더3,알레산드로 칼로니,씨제이이엔엠,2016-01-28,"['박신양', '김정태', '엄지원', '정혜영']"
128,178,캡틴 아메리카: 윈터 솔져,안소니 루소,월트디즈니스튜디오스코리아,2014-03-26,"['톰 하디', '미셸 윌리엄스']"
129,180,박수건달,조진규,쇼박스,2013-01-09,"['김명민', '오달수', '이연희']"
130,181,베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-10-03,"['브래드 피트', '에릭 바나', '올랜도 블룸', '다이앤 크루거', '브라이언 콕스', '숀 빈', '브렌단 글리슨', '세프론 버로우스']"
131,183,조선명탐정 : 사라진 놉의 딸,김석윤,쇼박스,2015-02-11,"['톰 하디', '샤를리즈 테론', '니콜라스 홀트']"
132,185,역린,이재규,롯데엔터테인먼트,2014-04-30,"['강동원', '이정현']"
133,186,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아,2015-05-14,"['라이언 레이놀즈', '조슈 브롤린', '재지 비츠', '모레나 바카린']"
134,187,남한산성,황동혁,씨제이이엔엠,2017-10-03,"['조인성', '주진모', '송지효']"
135,188,반도,연상호,,2020-07-15,"['김윤석', '주지훈']"
136,189,데드풀 2,데이빗 레이치,이십세기폭스코리아,2018-05-16,"['김혜수', '유아인', '허준호', '조우진', '뱅상 카셀']"
137,190,쌍화점,유하,쇼박스,2008-12-30,"['정재영', '한은정', '허준호']"
138,191,암수살인,김태균,쇼박스,2018-10-03,"['톰 크루즈', '소피아 부텔라', '애나벨 월리스']"
139,192,국가부도의 날,최국희,씨제이이엔엠,2018-11-28,"['정유미', '공유']"
140,193,신기전,김유진,(주)씨제이이엔엠,2008-09-04,"['드웨인 존슨', '제이슨 스타뎀', '이드리스 엘바', '바네사 커비']"
141,194,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아,2017-06-06,"['빈 디젤', '드웨인 존슨', '샤를리즈 테론', '제이슨 스타뎀']"
142,195,82년생 김지영,김도영,롯데컬처웍스롯데엔터테인먼트,2019-10-23,"['이영애', '최민식']"
143,197,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아,2017-04-12,"['카미키 류노스케', '카미시라이시 모네']"
144,199,더 퍼스트 슬램덩크,이노우에 다케히코,,2023-01-04,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']"
145,200,너의 이름은.,신카이 마코토,플러스엠 엔터테인먼트,2017-01-04,"['로버트 드 니로', '앤 해서웨이']"
146,202,모가디슈,류승완,롯데컬처웍스롯데엔터테인먼트,2021-07-28,"['강하나', '최리', '손숙', '황화순', '정무성', '서미지', '류신', '임성철', '오지혜', '정인기', '김민수', '이승현']"
147,203,인턴,낸시 마이어스,워너브러더스 코리아,2015-09-24,"['휴 잭맨', '에반젤린 릴리', '다코타 고요']"
148,204,라라랜드,데이미언 셔젤,판씨네마,2016-12-07,"['정우성', '이범수', '안성기', '김인권', '이시영']"
149,205,귀향,조정래,와우픽쳐스,2016-02-24,"['브래드 피트', '안젤리나 졸리']"
150,206,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화,2011-10-12,"['벤자민 브랫', '가엘 가르시아 베르날', '안소니 곤잘레스 ']"
151,207,신의 한 수,조범구,쇼박스,2014-07-03,"['키아누 리브스', '로렌스 피시번', '캐리 앤 모스', '휴고 위빙', '제이다 핀켓 스미스', '글로리아 포스터', '해롤드 페리뉴', '모니카 벨루치', '해리 레닉스', '램버트 윌슨', '랜달 덕 김']"
152,210,코코,리 언크리치,월트디즈니스튜디오스코리아,2018-01-11,"['안성기', '박원상', '나영희', '김지호']"
153,214,부러진 화살,정지영,,2012-01-18,"['설경구', '문소리', '다니엘 헤니']"
154,215,끝까지 간다,김성훈,쇼박스,2014-05-29,"['이병헌', '윤여정', '박정민']"
155,217,비긴 어게인,존 카니,판씨네마,2014-08-13,"['톰 행크스', '애니 파츠', '토니 헤일', '팀 알렌']"
156,218,스파이,이승준,씨제이이엔엠,2013-09-05,"['류준열', '유지태', '조우진']"
157,219,그것만이 내 세상,최성현,씨제이이엔엠,2018-01-17,"['차승원', '권상우', 'T.O.P', '김승우']"
158,220,이끼,강우석,(주)씨제이이엔엠,2010-07-14,['브루스 윌리스']
159,221,토이 스토리 4,조시 쿨리,월트디즈니스튜디오스코리아,2019-06-20,"['윌 스미스', '토미 리 존스', '조슈 브롤린']"
160,222,돈,박누리,쇼박스,2019-03-20,"['도널 글리슨', '레이첼 맥아담스']"
161,223,포화속으로,이재한,롯데엔터테인먼트,2010-06-16,"['마동석', '김무열', '김성규']"
162,225,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화,2012-05-24,"['류준열', '유해진']"
163,226,어바웃 타임,리차드 커티스,유니버설픽쳐스인터내셔널 코리아,2013-12-05,"['스티브 카렐', '트레이 파커', '크리스틴 위그']"
164,227,악인전,이원태,에이스메이커무비웍스,2019-05-15,['라이언 레이놀즈']
165,229,올빼미,안태진,,2022-11-23,"['마이크 마이어스', '에디 머피', '카메론 디아즈', '줄리 앤드류스', '안토니오 반데라스', '존 클리즈', '루퍼트 에버릿', '제니퍼 손더스']"
166,230,슈퍼배드 3,카일 발다,유니버설픽쳐스인터내셔널 코리아,2017-07-26,"['나문희', '이제훈']"
167,231,데드풀,팀 밀러,월트디즈니스튜디오스코리아,2016-02-17,"['해리슨 포드', '마크 해밀', '캐리 피셔', '도널 글리슨', '그웬돌린 크리스티', '사이먼 페그', '오스카 아이삭', '막스 폰 시도우', '존 보예가', '데이지 리들리', '아담 드라이버']"
168,232,시동,최정열,,2019-12-18,"['최민식', '유지태', '강혜정']"
169,234,아이 캔 스피크,김현석,롯데엔터테인먼트,2017-09-21,"['빈 디젤', '폴 워커', '드웨인 존슨', '제이슨 스타뎀', '미셸 로드리게즈']"
170,235,스타워즈: 깨어난 포스,J.J. 에이브럼스,월트디즈니스튜디오스코리아,2015-12-17,"['아놀드 슈왈제네거', '에밀리아 클라크', '제이 코트니', '제이슨 클락', 'J.K. 시몬스']"
171,237,영웅,윤제균,씨제이이엔엠,2022-12-21,['톰 크루즈']
172,238,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아,2015-04-01,"['김다미', '조민수', '박희순', '최우식']"
173,239,터미네이터 제니시스,앨런 테일러,롯데엔터테인먼트,2015-07-02,"['김래원', '문근영']"
174,240,그래비티,알폰소 쿠아론,스튜디오디에이치엘,2013-10-17,"['이정재', '이범수']"
175,242,마녀,박훈정,워너브러더스 코리아,2018-06-27,"['권상우', '성동일', '이광수']"
176,246,탐정: 리턴즈,이언희,씨제이이엔엠,2018-06-13,"['조니 뎁', '제프리 러쉬', '페넬로페 크루즈']"
177,250,캐리비안의 해적: 낯선 조류,롭 마샬,한국소니픽쳐스릴리징브에나비스타영화,2011-05-19,"['설경구', '차승원', '송윤아']"
178,251,퀵,조범구,씨제이이엔엠,2011-07-20,"['제시 아이젠버그', '마크 러팔로', '우디 해럴슨', '데이브 프랭코', '리지 캐플란']"
179,252,감기,김성수,아이러브시네마,2013-08-14,"['이정진', '이문식']"
180,255,나우 유 씨 미 2,존 추,롯데엔터테인먼트,2016-07-13,"['전도연', '황정민', '나문희']"
181,257,하모니,강대규,(주)씨제이이엔엠,2010-01-28,"['안젤리나 졸리', '마동석', '리차드 매든', '쿠마일 난지아니', '셀마 헤이엑', '젬마 찬', '로런 리들로프', '브라이언 타이리 헨리', '배리 케오간', '리아 맥휴']"
182,258,거북이 달린다,이연우,쇼박스,2009-06-11,"['김우빈', '준호', '강하늘']"
183,260,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,월트디즈니스튜디오스코리아,2017-05-24,"['김강우', '임원희', '이하나']"
184,261,이터널스,클로이 자오,월트디즈니스튜디오스코리아,2021-11-03,"['김주혁', '류승범', '조여정']"
185,262,스물,이병헌,,2015-03-25,"['사무엘 L. 잭슨', '홀리 헌터', '크레이그 T. 넬슨', '사라 보웰', '헉 밀너']"
186,263,토르: 다크 월드,앨런 테일러,월트디즈니스튜디오스코리아,2013-10-30,"['바이쇼 치에코', '기무라 타쿠야']"
187,265,방자전,김대우,(주)씨제이이엔엠,2010-06-02,"['데니스 퀘이드', '제이크 질렌할', '이안 홈', '에미 로섬', '셀라 워드', '대쉬 미혹', '케네스 웰쉬']"
188,266,인크레더블 2,브래드 버드,월트디즈니스튜디오스코리아,2018-07-18,"['이병헌', '브루스 윌리스', '존 말코비치', '캐서린 제타 존스', '헬렌 미렌', '메리 루이스 파커', '안소니 홉킨스']"
189,268,마더,봉준호,(주)씨제이이엔엠,2009-05-28,"['손예진', '이민기']"
190,270,레드: 더 레전드,딘 패리소트,롯데엔터테인먼트,2013-07-18,"['조정석', '도경수', '박신혜']"
191,271,해리 포터와 혼혈 왕자,데이빗 예이츠,워너브러더스 코리아,2009-07-15,"['유오성', '주진모', '김우빈']"
192,272,오싹한 연애,황인호,씨제이이엔엠,2011-12-01,"['진구', '한혜진', '임슬옹']"
193,273,드래곤 길들이기 2,딘 데블로이스,씨제이이엔엠,2014-07-23,"['최원균', '이삼순', '최노인의 소']"
