,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
33,2623,일사각오,고문안,파이오니아21,2016-03-17,장편,한국,51,682581500,94767,"234,140,700","32,943",드라마,12세관람가,일반영화,2016,3,봄,217026182,0,"['이지형', '설지윤', '최원']",9.27
34,2624,사일런스,마틴 스코세이지,키다리이엔티,2017-02-28,장편,미국,342,700818300,94750,"298,799,600","38,435",드라마,15세관람가,독립/예술영화,2017,2,겨울,219876227,0,"['키에넌 시프카', '스탠리 투치']",5.39
38,2625,초한지 - 천하대전,이인항,KT&G 상상마당 영화사업팀 컴퍼니에스에스,2012-01-11,장편,중국,167,710375000,94652,"209,634,000","26,810",액션,12세관람가,일반영화,2012,1,겨울,194890587,0,"['여명', '유역비', '풍소봉', '장한위', '황추생', '진소춘', '안지걸']",7.74
39,2626,인비저블 게스트,오리올 파울로,더블앤조이픽쳐스,2017-09-21,장편,기타,232,758162200,94281,"367,271,800","44,659",범죄,15세관람가,독립/예술영화,2017,9,가을,219876227,0,"['마리오 카사스', '안나 와게너', '바바라 레니', '호세 코로나도']",8.97
40,2627,"나, 다니엘 블레이크",켄 로치,영화사 진진,2016-12-08,장편,영국,63,711080800,94266,"467,427,800","60,048",드라마,12세관람가,독립/예술영화,2016,12,겨울,217026182,0,"['헤일리 스콰이어', '데이브 존스']",9.31
41,2628,나의 산티아고,줄리아 폰 하인츠,영화사 진진,2016-07-14,장편,독일,88,721244232,94243,"404,870,932","51,590",코미디,12세관람가,독립/예술영화,2016,7,여름,217026182,0,"['데비드 스트리에소브', '마르티나 게덱', '카롤리네 슈허']",8.13
42,2630,마야2,노엘 클리어리,영화사 빅,2018-02-01,장편,독일,429,670314200,94179,"120,929,400","15,990",애니메이션,전체관람가,독립/예술영화,2018,2,겨울,216385269,0,"['김서영', '김명준', '김소희', '임채헌', '윤세웅']",9.34
43,2631,커다랗고 커다랗고 커다란 배,요르겐 레르담,예지림엔터테인먼트,2018-05-03,장편,기타,350,737815900,94151,"118,028,000","14,674",애니메이션,전체관람가,독립/예술영화,2018,5,봄,216385269,0,"['이소은', '이제인', '윤세웅', '이규창']",9.0
44,2632,아이 엠 마더,피에르 모렐,삼백상회,2019-04-11,장편,미국,213,774580700,94119,"264,289,600","32,731",액션,15세관람가,일반영화,2019,4,봄,226678777,0,['제니퍼 가너'],7.55
45,2633,여고괴담 여섯번째 이야기 : 모교,이미영,케이티알파,2021-06-17,장편,한국,603,858750700,94030,"191,369,780","21,442",미스터리,15세관람가,일반영화,2021,6,여름,60531087,1,"['김서형', '김현수', '최리', '김형서', '장원형']",4.29
46,2635,베일리 어게인,라세 할스트롬,홈초이스,2018-11-22,장편,미국,189,796864900,93691,"314,266,200","35,522",어드벤처,전체관람가,독립/예술영화,2018,11,가을,216385269,0,"['조시 게드', '데니스 퀘이드', 'K.J. 아파', '브라이스 게이사르', '브릿 로버트슨']",9.54
47,2636,귀문,심덕근,씨제이 씨지브이,2021-08-25,장편,한국,692,799806070,93656,"199,442,700","25,068",미스터리,15세관람가,일반영화,2021,8,여름,60531087,1,"['김강우', '김소혜', '이정형', '홍진기', '엄채영']",4.17
48,2638,프리스트,스콧 찰스 스튜어트,한국소니픽쳐스릴리징브에나비스타영화,2011-06-09,장편,미국,228,839493000,93336,"318,540,500","32,203",액션,15세관람가,일반영화,2011,6,여름,159724465,0,"['폴 베타니', '매기 큐']",6.35
49,2639,러브 앳,위고 젤랭,크리픽쳐스,2019-11-27,장편,프랑스,153,746898500,93311,"318,032,500","39,138",멜로/로맨스,12세관람가,일반영화,2019,11,가을,226678777,0,"['프랑수아 시빌', '조세핀 자피']",9.18
