,순번,영화명,감독,배급사,개봉일
124,169,다크 나이트,크리스토퍼 놀란,해리슨앤컴퍼니,2008-08-06
125,171,댄싱퀸,이석훈,씨제이이엔엠,2012-01-18
126,172,우리 생애 최고의 순간,임순례,싸이더스,2008-01-10
127,173,꾼,장창원,쇼박스,2017-11-22
128,174,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아,2014-07-10
129,175,타짜-신의 손,강형철,롯데엔터테인먼트,2014-09-03
130,177,쿵푸팬더3,알레산드로 칼로니,씨제이이엔엠,2016-01-28
131,178,캡틴 아메리카: 윈터 솔져,안소니 루소,월트디즈니스튜디오스코리아,2014-03-26
132,180,박수건달,조진규,쇼박스,2013-01-09
133,181,베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-10-03
134,183,조선명탐정 : 사라진 놉의 딸,김석윤,쇼박스,2015-02-11
135,185,역린,이재규,롯데엔터테인먼트,2014-04-30
136,186,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아,2015-05-14
137,187,남한산성,황동혁,씨제이이엔엠,2017-10-03
138,188,반도,연상호,넥스트엔터테인먼트월드,2020-07-15
139,189,데드풀 2,데이빗 레이치,이십세기폭스코리아,2018-05-16
140,190,쌍화점,유하,쇼박스,2008-12-30
141,191,암수살인,김태균,쇼박스,2018-10-03
142,192,국가부도의 날,최국희,씨제이이엔엠,2018-11-28
143,193,신기전,김유진,(주)씨제이이엔엠,2008-09-04
144,194,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아,2017-06-06
145,195,82년생 김지영,김도영,롯데컬처웍스롯데엔터테인먼트,2019-10-23
146,196,분노의 질주: 홉스&쇼,데이빗 레이치,유니버설픽쳐스인터내셔널 코리아,2019-08-14
147,197,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아,2017-04-12
148,199,더 퍼스트 슬램덩크,이노우에 다케히코,넥스트엔터테인먼트월드,2023-01-04
149,200,너의 이름은.,신카이 마코토,플러스엠 엔터테인먼트,2017-01-04
150,202,모가디슈,류승완,롯데컬처웍스롯데엔터테인먼트,2021-07-28
151,203,인턴,낸시 마이어스,워너브러더스 코리아,2015-09-24
152,204,라라랜드,데이미언 셔젤,판씨네마,2016-12-07
153,205,귀향,조정래,와우픽쳐스,2016-02-24
154,206,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화,2011-10-12
155,207,신의 한 수,조범구,쇼박스,2014-07-03
156,210,코코,리 언크리치,월트디즈니스튜디오스코리아,2018-01-11
157,214,부러진 화살,정지영,넥스트엔터테인먼트월드,2012-01-18
158,215,끝까지 간다,김성훈,쇼박스,2014-05-29
159,217,비긴 어게인,존 카니,판씨네마,2014-08-13
160,218,스파이,이승준,씨제이이엔엠,2013-09-05
161,219,그것만이 내 세상,최성현,씨제이이엔엠,2018-01-17
162,220,이끼,강우석,(주)씨제이이엔엠,2010-07-14
163,221,토이 스토리 4,조시 쿨리,월트디즈니스튜디오스코리아,2019-06-20
164,222,돈,박누리,쇼박스,2019-03-20
165,223,포화속으로,이재한,롯데엔터테인먼트,2010-06-16
166,225,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화,2012-05-24
