영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아,2011-07-13,장편,미국,757,34507819000,4400298,"11,183,806,000","1,361,311",판타지,전체관람가,일반영화
다만 악에서 구하소서,홍원찬,씨제이이엔엠,2020-08-05,장편,한국,1998,38554527990,4352669,"8,906,277,620","984,042",범죄,15세관람가,일반영화
헌트,이정재,플러스엠 엔터테인먼트,2022-08-10,장편,한국,1625,44573032153,4350029,"10,985,286,495","1,052,205",액션,15세관람가,일반영화
아이언맨,존 파브로,(주)씨제이이엔엠,2008-04-30,장편,미국,592,27802744668,4316003,"9,029,366,168","1,329,214",SF,12세관람가,일반영화
엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아,2014-05-22,장편,미국,1056,34654558766,4313871,"11,315,080,666","1,345,720",액션,12세관람가,일반영화
강철중: 공공의 적 1-1,강우석,(주)씨제이이엔엠,2008-06-19,장편,한국,659,28465757767,4300670,"9,048,970,100","1,298,197",드라마,15세관람가,일반영화
아가씨,박찬욱,씨제이이엔엠,2016-06-01,장편,한국,1171,35114332791,4277071,"10,881,501,871","1,283,972",스릴러,청소년관람불가,일반영화
어메이징 스파이더맨 2,마크 웹,월트디즈니스튜디오스코리아,2014-04-23,장편,미국,1312,34869056800,4168350,"10,562,832,700","1,187,974",액션,12세관람가,일반영화
인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,(주)씨제이이엔엠,2008-05-22,장편,미국,660,26693951667,4136101,"8,495,873,167","1,245,028",액션,12세관람가,일반영화
용의자,원신연,쇼박스,2013-12-24,장편,한국,807,30037161000,4131248,"7,563,772,000","997,760",액션,15세관람가,일반영화
건축학개론,이용주,롯데엔터테인먼트,2012-03-22,장편,한국,593,30219800500,4110645,"11,003,948,000","1,431,173",멜로/로맨스,12세관람가,일반영화
