순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
7696,혜옥이,박정환,와이즈 앤 와이드 픽쳐스,,트리플픽쳐스,2022-12-08,개봉영화,장편,한국,23,"8,892,099",995,드라마,12세이상관람가,독립/예술영화
7697,케이지 다이브,제럴드 라시오나토,,주식회사 풍경소리,드림팩트엔터테인먼트,2017-09-21,개봉영화,장편,호주,22,"8,268,000",994,드라마,15세이상관람가,독립/예술영화
7698,공각기동대 어라이즈 보더: 2 고스트 위스퍼스,키세 카즈치카,,에이원엔터테인먼트,에이원엔터테인먼트,2013-12-12,개봉영화,장편,일본,20,"7,424,500",993,애니메이션,12세이상관람가,일반영화
7699,배틀트립 투 그리스,알렉산더 코페르,,(주)영화사오원,영화사오원,2018-04-26,개봉영화,장편,프랑스,5,"7,002,000",993,코미디,12세이상관람가,독립/예술영화
7700,"섹스, 거짓말 그리고 비디오 테이프",봉만대,"(주)스넵쏘울,영화사뜰(주)",,스넵쏘울,2012-07-12,개봉영화,장편,한국,9,"6,723,500",993,코미디,청소년관람불가,독립/예술영화
7701,토스카,루크 본디,,(주) 인스터 글로벌, 인스터 글로벌,2014-03-15,개봉영화,장편,미국,2,"22,939,500",993,공연,12세이상관람가,일반영화
7702,동아시아반일무장전선,김미례,감 픽쳐스,,아이 엠,2020-08-20,개봉영화,장편,한국,23,"7,845,500",992,다큐멘터리,15세이상관람가,독립/예술영화
7703,그대라는기억 연숙씨,심미희,드림채널,,"드림팩트엔터테인먼트,주식회사 블루필름웍스",2022-06-16,개봉영화,장편,한국,21,"9,319,500",990,다큐멘터리,전체관람가,독립/예술영화
7704,트레져 헌터: 비밀의 책,,,(주)소나무픽쳐스,소나무픽쳐스,2020-01-14,개봉영화,장편,중국,5,"4,657,000",990,멜로/로맨스,12세이상관람가,독립/예술영화
7705,산책하는 침략자,구로사와 기요시,,(주)영화공간,와이드 릴리즈,2018-08-16,개봉영화,장편,일본,15,"7,998,900",989,드라마,15세이상관람가,독립/예술영화
7706,로미오와 줄리엣,위르겐 플림,,(주)케빈앤컴퍼니,케빈앤컴퍼니,2018-05-20,개봉영화,장편,독일,11,"22,906,500",988,공연,12세이상관람가,일반영화
7707,설인,이사무엘,한국영화아카데미,,씨제이 씨지브이(CJ CGV),2013-03-14,개봉영화,장편,한국,6,"7,404,500",988,판타지,청소년관람불가,독립/예술영화
7708,소림퇴마: 악마사냥꾼,,,(주)소나무픽쳐스,소나무픽쳐스,2020-02-03,개봉영화,장편,중국,5,"4,771,000",988,액션,12세이상관람가,독립/예술영화
7709,욕망의 독: 중독,윤여창,(주)매니아22,,어뮤즈,2014-09-25,개봉영화,장편,한국,20,"6,135,000",988,스릴러,청소년관람불가,일반영화
7710,환상,이숭환,(주)케이알씨지,,(유)조이앤컨텐츠그룹,2014-10-30,개봉영화,장편,한국,19,"4,693,000",987,멜로/로맨스,청소년관람불가,일반영화
7711,투란도트,프랑코 제피렐리,,(주) 인스터 글로벌, 인스터 글로벌,2020-02-08,개봉영화,장편,미국,5,"25,821,500",986,공연,12세이상관람가,일반영화
7712,황야의 마니투,미카엘 헤르비그,콘스탄틴 필름 프로덕션,㈜영화사 백두대간,㈜영화사 백두대간,2005-10-28,개봉영화,장편,독일,0,0,986,코미디,12세관람가,일반영화
7713,목두기 비디오,윤준형,티엠오이엔터테인먼트,,동숭아트센터,2005-07-15,개봉영화,장편,한국,0,0,984,미스터리,12세관람가,일반영화
7714,우리가 말하지 않은 것,이시이 유야,,(주)디오시네마,디오시네마,2022-09-01,개봉영화,장편,일본,31,"9,462,400",984,드라마,15세이상관람가,독립/예술영화
7715,진주 조개 잡이,,,(주) 인스터 글로벌, 인스터 글로벌,2016-06-04,개봉영화,장편,미국,6,"22,564,500",984,공연,전체관람가,일반영화
7716,미스터 레오스 카락스,테사 루이즈-살로메,,오드,오드,2015-10-08,개봉영화,장편,프랑스,13,"7,939,500",983,다큐멘터리,청소년관람불가,독립/예술영화
7717,스타박'스 다방,이상우,영화사 온난전선,,드림팩트엔터테인먼트,2018-01-11,개봉영화,장편,한국,28,"6,194,000",983,코미디,15세이상관람가,독립/예술영화
7718,스텝 바이 스텝,"그랜드 콥스 마라드,메흐디 이디르",,(주)에스와이코마드,에스와이코마드,2018-10-11,개봉영화,장편,프랑스,16,"7,309,050",983,드라마,15세이상관람가,독립/예술영화
7719,어제 뭐 먹었어? -극장판,,,(주)도키엔터테인먼트,이놀미디어,2022-10-13,개봉영화,장편,일본,20,"9,709,595",983,드라마,12세이상관람가,일반영화
7720,무게,전규환,(주)트리필름,,넥스트엔터테인먼트월드(NEW),2013-11-07,개봉영화,장편,한국,2,"7,079,500",981,드라마,청소년관람불가,독립/예술영화
7721,악사들,김지곤,"반달,'탁주'조합",,㈜인디스토리,2014-12-04,개봉영화,장편,한국,11,"6,342,200",981,다큐멘터리,15세이상관람가,독립/예술영화
7722,오페라-아르미다 (메트로폴리탄),"게리 할버슨,메리 짐머만",메트로폴리탄 오페라,(주)에이치엠엔,㈜메가박스,2010-07-10,개봉영화,장편,미국,1,"19,437,171",981,공연,전체관람가,일반영화
7723,이지머니 2,바박 나자피,,(주)소나무픽쳐스,소나무픽쳐스,2016-05-19,개봉영화,장편,스웨덴,5,"4,900,000",980,액션,청소년관람불가,독립/예술영화
7724,투란도트 어둠의 왕국,김시우,(주)나인테일즈코리아,,주식회사 블루필름웍스,2022-08-18,개봉영화,장편,한국,18,"8,861,700",980,뮤지컬,12세이상관람가,독립/예술영화
7725,메리 위도우,앤드류 데이비스,,(주) 인스터 글로벌, 인스터 글로벌,2015-07-18,개봉영화,장편,미국,5,"23,871,500",978,공연,전체관람가,일반영화
7726,소피 숄의 마지막 날들,마르크 로테문트,배이어리셔런드펑크,(주)스폰지이엔티,스폰지이엔티,2006-06-22,개봉영화,장편,독일,0,0,978,전쟁,15세관람가,독립/예술영화
7727,어 굿 맨,마리-캐스틸 멘션-솨아,,(주)엔케이컨텐츠,디스테이션,2021-11-18,개봉영화,장편,프랑스,26,"9,028,500",978,드라마,15세이상관람가,독립/예술영화
7728,암고양이들,시라이시 카즈야,,(주)오렌지옐로우하임,"홀리가든,오렌지옐로우하임",2017-07-27,개봉영화,장편,일본,4,"6,138,000",974,드라마,청소년관람불가,독립/예술영화
7729,경계,장률,(주)지이십일엠,,스폰지이엔티,2007-11-08,개봉영화,장편,한국,0,0,973,드라마,청소년관람불가,독립/예술영화
7730,라 보엠,지안드레아 노세다,,(주)케빈앤컴퍼니,케빈앤컴퍼니,2017-10-08,개봉영화,장편,독일,11,"23,071,000",968,공연,전체관람가,일반영화
7731,용의 치과의사,츠루마키 카즈야,,(주)에스에스애니멘트,"삼지애니메이션,에이원엔터테인먼트",2017-10-19,개봉영화,장편,일본,33,"7,433,000",968,애니메이션,15세이상관람가,독립/예술영화
7732,아더왕의 전설,정성복,(주)패뷸러스,,패뷸러스,2016-11-09,개봉영화,장편,한국,5,"15,299,000",967,공연,전체관람가,일반영화
7733,신부와 편견,거린다 차다,Pathe Cinema,미디어 소소,미디어 소소,2005-04-02,개봉영화,장편,영국,0,0,964,멜로/로맨스,12세관람가,일반영화
7734,프랑스 다이어리,"레이몽 드파르동,클로딘 누가레",,찬란,찬란,2013-06-06,개봉영화,장편,프랑스,1,"7,321,000",964,다큐멘터리,12세이상관람가,독립/예술영화
7735,리틀 큐,나영창,,(주)모인그룹,미로스페이스,2020-01-09,개봉영화,장편,홍콩,37,"7,288,460",963,드라마,전체관람가,독립/예술영화
7736,열여섯의 봄,바이 슈에,,(주)엔케이컨텐츠,디스테이션,2019-11-07,개봉영화,장편,중국,15,"7,927,980",963,드라마,12세이상관람가,독립/예술영화
7737,나도 때론 포르노그라피의 주인공이고 싶다,장성수,(주)피터팬픽쳐스,,피터팬픽쳐스,2015-11-12,개봉영화,장편,한국,20,"6,148,000",961,멜로/로맨스,청소년관람불가,일반영화
7738,체 게바라 : 뉴맨,트리스탄 바우에르,,(주)피터팬픽쳐스,피터팬픽쳐스,2012-11-29,개봉영화,장편,쿠바,3,"6,157,000",961,다큐멘터리,15세이상관람가,독립/예술영화
7739,파스카,안선경,궁금단영화,,무브먼트,2015-07-09,개봉영화,장편,한국,11,"6,701,500",961,드라마,15세이상관람가,독립/예술영화
7740,해머 오브 갓,파렌 블랙번,,주식회사 모쿠슈라픽쳐스,다자인소프트,2020-11-25,개봉영화,장편,영국,42,"7,175,470",960,액션,청소년관람불가,독립/예술영화
7741,안드레아 보첼리: 러브 인 포르토피노,로버트 포스터,,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV),2013-05-08,개봉영화,장편,영국,14,"7,681,000",959,공연,전체관람가,일반영화
7742,한나를 위한 소나타,마르쿠스 로젠뮐러,,(주)컴퍼니엘,컴퍼니엘,2013-10-24,개봉영화,장편,독일,2,"6,118,000",959,드라마,12세이상관람가,독립/예술영화
7743,경고,,,(주)제이브로,태양미디어그룹,2021-10-20,개봉영화,장편,영국,42,"9,482,470",957,공포(호러),15세이상관람가,독립/예술영화
7744,데몬킹스,파스칼 모렐리,,(주)더블앤조이픽쳐스,주식회사 쇼미미디어앤트레이딩,2016-02-25,개봉영화,장편,프랑스,26,"6,610,400",957,애니메이션,전체관람가,독립/예술영화
7745,영건 탐정사무소,오영두,"키노망고스틴,킹레코드",,㈜인디스토리,2012-08-30,개봉영화,장편,한국,17,"7,177,000",957,SF,청소년관람불가,독립/예술영화
7746,디바이드,자비에 장,잉스팅크티브 필름,주식회사 루믹스미디어,예지림엔터테인먼트,2012-05-10,개봉영화,장편,미국,8,"7,293,000",954,공포(호러),청소년관람불가,일반영화
7747,모테키: 모태솔로 탈출기,오오네 히토시,,(주)엔케이컨텐츠,미디어데이,2013-09-26,개봉영화,장편,일본,6,"4,985,000",954,코미디,15세이상관람가,일반영화
7748,사돈의 팔촌,장현상,피도 안마른 녀석들,,서울독립영화제,2016-05-12,개봉영화,장편,한국,10,"6,938,500",954,멜로/로맨스,15세이상관람가,독립/예술영화
7749,나의 딸,사이몬 스톤,,(주)무브먼트 픽쳐스,THE 픽쳐스,2016-08-04,개봉영화,장편,호주,7,"6,113,200",953,드라마,청소년관람불가,독립/예술영화
7750,나이팅게일,필립 뮬,,㈜영화사 백두대간,㈜영화사 백두대간,2014-09-25,개봉영화,장편,중국,5,"6,908,000",951,가족,전체관람가,독립/예술영화
7751,늑대와 빨간 재킷,뱅상 파로노,,판씨네마(주),판씨네마,2021-02-03,개봉영화,장편,프랑스,74,"8,525,200",950,스릴러,청소년관람불가,독립/예술영화
7752,아홉수 로맨스,"이새별,신효진",스토리웨이브픽쳐스,,스튜디오 보난자,2021-02-24,개봉영화,장편,한국,24,"9,437,320",950,멜로/로맨스,12세이상관람가,독립/예술영화
7753,마음,알랭 레네,,스폰지,스폰지,2007-05-10,개봉영화,장편,프랑스,1,0,948,드라마,15세이상관람가,일반영화
7754,아일랜드 - 시간을 훔치는 섬,박진성,(주)고앤고필름,,(유)조이앤시네마,2015-11-26,개봉영화,장편,한국,21,"7,370,900",948,미스터리,15세이상관람가,독립/예술영화
7755,여덟 번의 감정,성지혜,문 영화사,,스폰지이엔티,2010-09-30,개봉영화,장편,한국,2,"6,605,714",948,드라마,15세이상관람가,독립/예술영화
7756,드랙퀸 가무단,제로 추,,CJ ENM,CJ ENM,2005-07-08,개봉영화,장편,대만,0,0,945,드라마,15세관람가,일반영화
7757,마린스키 발레 지젤 3D,발레리 게르기예프,,(주) 인스터 글로벌, 인스터 글로벌,2012-11-01,개봉영화,장편,러시아,3,"17,467,000",945,공연,전체관람가,일반영화
7758,일 트로바토레 잘츠부르크 페스티벌,다니엘레 가티,,(주)케빈앤컴퍼니,케빈앤컴퍼니,2015-07-25,개봉영화,장편,독일,6,"23,993,500",945,공연,전체관람가,일반영화
7759,다 큰 여자들,토미나가 마사노리,,(주)이모션픽처스,이모션픽처스,2009-10-08,개봉영화,장편,일본,2,"6,922,426",943,드라마,15세이상관람가,일반영화
7760,열아홉,우경희,K'arts,,리틀빅픽쳐스,2021-06-30,개봉영화,장편,한국,26,"7,982,800",943,드라마,15세이상관람가,독립/예술영화
7761,파도를 걷는 소년,최창환,(주)컬쳐플랫폼,,매치컷,2020-05-14,개봉영화,장편,한국,25,"7,954,220",943,드라마,15세이상관람가,독립/예술영화
7762,U.F.O.,공귀현,스파이럴 프로젝트,,㈜인디스토리,2012-05-24,개봉영화,장편,한국,11,"6,765,000",943,드라마,청소년관람불가,독립/예술영화
7763,노르웨이의 숲,노진수,(주)타임스토리 필름앤북스,,키노아이디엠씨,2010-09-30,개봉영화,장편,한국,8,"7,240,683",941,코미디,청소년관람불가,일반영화
7764,더 뮬: 죽음의 질주,가브리엘라 타글리아비니,,(주)에이블엔터테인먼트,에이블엔터테인먼트,2014-03-13,개봉영화,장편,미국,5,"4,910,000",940,스릴러,15세이상관람가,일반영화
7765,불빛 아래서,조이예환,창작집단 '너와',,모두를위한극장 공정영화협동조합,2019-08-29,개봉영화,장편,한국,13,"7,112,700",940,다큐멘터리,12세이상관람가,독립/예술영화
7766,블레이드 퍼피 워리어,"마크 쿠치어,롭 민코프,크리스 베일리",,롯데컬처웍스(주)롯데엔터테인먼트,롯데엔터테인먼트,2022-09-28,개봉영화,장편,미국,20,"4,700,000",940,애니메이션,전체관람가,일반영화
7767,전망 좋은 하우스 - 맛있는 섹스,미스터 엘,(주)케이알씨지,,케이알씨지,2014-02-20,개봉영화,장편,한국,5,"1,160,000",940,멜로/로맨스,청소년관람불가,일반영화
7768,오펄 드림,피터 카타네오,,데이지엔터테인먼트,영화사구안,2008-12-24,개봉영화,장편,호주,1,"6,395,948",939,드라마,전체관람가,독립/예술영화
7769,그대 너머에,박홍민,농부영화사,,농부영화사,2021-09-09,개봉영화,장편,한국,12,"8,082,600",937,멜로/로맨스,전체관람가,독립/예술영화
7770,서부의 아가씨,,,(주) 인스터 글로벌, 인스터 글로벌,2019-05-14,개봉영화,장편,미국,6,"21,378,000",937,공연,전체관람가,일반영화
7771,디셉션,아르노 데스플레생,,주식회사 루믹스미디어,드림팩트엔터테인먼트,2022-10-20,개봉영화,장편,프랑스,27,"8,057,499",935,멜로/로맨스,15세이상관람가,독립/예술영화
7772,리바운드,스티브 카,로버트 시몬즈 프로덕션,이십세기폭스코리아(주),이십세기폭스코리아,2006-03-31,개봉영화,장편,미국,0,0,934,코미디,전체관람가,일반영화
7773,하나안,박루슬란,"(주)영화사 자미,플라잉타이거픽처스",,㈜인디스토리,2012-10-11,개봉영화,장편,한국,12,"6,781,400",934,드라마,청소년관람불가,독립/예술영화
7774,밀크 오브 소로우-슬픈 모유,클로디아 로사,,㈜영화사 백두대간,㈜영화사 백두대간,2013-08-22,개봉영화,장편,스페인,1,"7,818,000",933,드라마,15세이상관람가,독립/예술영화
7775,요요현상,고두현,영화사 금요일,,영화배급협동조합 씨네소파,2021-01-14,개봉영화,장편,한국,27,"8,678,840",933,다큐멘터리,전체관람가,독립/예술영화
7776,유아 어글리 투,마크 누난,,씨네블루밍,주식회사 씨네룩스,2016-05-26,개봉영화,장편,아일랜드,14,"6,495,000",933,드라마,12세이상관람가,독립/예술영화
7777,송곳니,요르고스 란티모스,,(주)컴퍼니엘,컴퍼니엘,2012-01-05,개봉영화,장편,그리스,1,"6,772,800",932,코미디,청소년관람불가,독립/예술영화
7778,멤피스,크리스토퍼 애슐리,,(주) 인스터 글로벌, 인스터 글로벌,2013-05-23,개봉영화,장편,미국,5,"14,653,000",931,공연,12세이상관람가,일반영화
7779,솔로,이삭 크래빗,,(주)에이블엔터테인먼트,에이블엔터테인먼트,2014-03-20,개봉영화,장편,캐나다,5,"4,690,000",930,공포(호러),15세이상관람가,일반영화
7780,가면 무도회,,,(주)케빈앤컴퍼니,케빈앤컴퍼니,2017-03-05,개봉영화,장편,독일,10,"22,581,000",925,공연,12세이상관람가,일반영화
7781,오르페오와 에우리디체,온드레이 하벨카,,(주)케빈앤컴퍼니,케빈앤컴퍼니,2015-02-07,개봉영화,장편,독일,4,"19,686,500",924,공연,전체관람가,일반영화
7782,12피트,맷 에스칸다리,,(주)제이브로,라이크콘텐츠,2018-11-08,개봉영화,장편,미국,40,"7,711,350",924,스릴러,15세이상관람가,독립/예술영화
7783,꿀벌과 천둥,이시카와 케이,,(주)엔케이컨텐츠,디스테이션,2020-10-29,개봉영화,장편,일본,35,"8,270,600",923,드라마,전체관람가,독립/예술영화
7784,구직자들,황승재,주식회사인시즌,,이놀미디어,2020-11-12,개봉영화,장편,한국,29,"8,404,650",920,SF,전체관람가,독립/예술영화
7785,쌍성계: 고대전설의 부활,반안자,,(주)소나무픽쳐스,소나무픽쳐스,2014-03-27,개봉영화,장편,중국,5,"1,885,000",920,액션,15세이상관람가,독립/예술영화
7786,장 미쉘 바스키아: 더 레이디언트 차일드,탐라 데이비스,,해피송,"해피송,롯데엔터테인먼트",2020-12-09,개봉영화,장편,미국,18,"8,421,600",920,다큐멘터리,12세이상관람가,독립/예술영화
7787,피가로의 결혼,스벤-에릭 베히톨프,,(주)케빈앤컴퍼니,케빈앤컴퍼니,2016-05-22,개봉영화,장편,독일,9,"22,928,000",920,공연,전체관람가,독립/예술영화
7788,"굿모닝, 나잇",마르코 벨로치오,,(주)이모션픽처스,이모션픽처스,2006-12-01,개봉영화,장편,이탈리아,0,0,918,드라마,15세이상관람가,독립/예술영화
7789,바람의 소리,"진국부,고군서",,(유)조이앤컨텐츠그룹,팝파트너스,2013-06-13,개봉영화,장편,중국,5,"4,536,000",918,범죄,15세이상관람가,일반영화
7790,"이,기적인 남자",김재식,브릿지 프로덕션,,리틀빅픽쳐스,2018-10-25,개봉영화,장편,한국,14,"7,401,800",918,드라마,15세이상관람가,독립/예술영화
7791,천상고원,김응수,김응수필름,,이모션픽처스,2007-05-31,개봉영화,장편,한국,1,0,918,드라마,전체관람가,독립/예술영화
7792,작은새와 돼지씨,김새봄,레드펀트,,필름다빈,2022-08-25,개봉영화,장편,한국,9,"6,836,300",917,다큐멘터리,전체관람가,독립/예술영화
7793,경,김소영,영화사구경,,KT&G 상상마당 영화사업팀 컴퍼니에스에스,2010-04-29,개봉영화,장편,한국,4,"6,300,624",916,드라마,15세이상관람가,독립/예술영화
7794,젊은엄마 : 내 나이가 어때서,김일종,골든타이드픽처스(주),,골든타이드픽처스,2015-05-07,개봉영화,장편,한국,20,"4,515,000",916,드라마,청소년관람불가,일반영화
7795,라 파미에,장-폴 루브,,(주)에스와이코마드,에스와이코마드,2019-12-12,개봉영화,장편,프랑스,16,"6,251,280",914,드라마,12세이상관람가,독립/예술영화
7796,커밍 홈,막시밀리언 훌트,,(주)씨에이씨엔터테인먼트,(재)영화의전당,2015-05-28,개봉영화,장편,스웨덴,11,"5,531,000",911,드라마,12세이상관람가,독립/예술영화
7797,인 더 섀도우 오브 우먼,필립 가렐,,주식회사 더쿱,주식회사 더쿱,2016-01-28,개봉영화,장편,프랑스,7,"6,473,000",910,드라마,15세이상관람가,독립/예술영화
7798,장미의 기사,,,(주) 인스터 글로벌, 인스터 글로벌,2017-11-04,개봉영화,장편,미국,11,"20,427,000",910,공연,12세이상관람가,일반영화
7799,나를 닮은 얼굴,태미 추,뿌리의집,,영화사 진진,2010-09-30,개봉영화,장편,한국,2,"5,023,370",907,다큐멘터리,전체관람가,독립/예술영화
7800,리틀 조,예시카 하우스너,,주식회사 왓챠,주식회사 왓챠,2021-04-01,개봉영화,장편,오스트리아,22,"9,172,400",907,드라마,12세이상관람가,독립/예술영화
7801,동경 표류일기,에릭 쿠,,(주)영화사 진진,영화사 진진,2015-07-02,개봉영화,장편,싱가포르,5,"6,571,000",904,애니메이션,청소년관람불가,독립/예술영화
7802,천사는 바이러스,김성준,전주 영상위원회,,주식회사 씨엠닉스,2021-01-06,개봉영화,장편,한국,44,"6,344,710",904,드라마,15세이상관람가,독립/예술영화
7803,거룩한 소녀 마리아,디트리흐 브룽게만,,(주)컴퍼니엘,와이드 릴리즈,2014-10-23,개봉영화,장편,독일,6,"6,436,100",903,드라마,12세이상관람가,독립/예술영화
7804,윌러드,글렌 모건,뉴라인 시네마,㈜케이디미디어,㈜케이디미디어,2006-03-09,개봉영화,장편,미국,0,0,903,공포(호러),15세관람가,일반영화
7805,슬랙 베이: 바닷가 마을의 비밀,브루노 뒤몽,,(주)메인타이틀픽쳐스,에스와이코마드,2018-04-05,개봉영화,장편,프랑스,12,"6,576,600",901,미스터리,청소년관람불가,독립/예술영화
7806,영광의 날들,라시드 부샤렙,르 스튜디오 카날+,시네마밸리,프리비젼엔터테인먼트,2007-08-30,개봉영화,장편,프랑스,0,0,901,전쟁,12세이상관람가,독립/예술영화
7807,노랑머리 - 플라스틱 섹스,이세일,(주)케이알씨지,,케이알씨지,2013-08-01,개봉영화,장편,한국,1,"1,800,000",900,성인물(에로),청소년관람불가,일반영화
7808,왓니껴,이동삼,진이엔터테인먼트,,주식회사 마운틴픽쳐스,2014-08-21,개봉영화,장편,한국,5,"5,622,000",898,드라마,12세이상관람가,독립/예술영화
7809,겨울 이야기,신상옥,신프로덕션,,"와이드 릴리즈,시네마 뉴원",2023-01-18,개봉영화,장편,한국,22,"5,081,399",897,드라마,전체관람가,독립/예술영화
7810,좀비크러쉬: 헤이리,장현상,GATE6,,필름다빈,2021-06-30,개봉영화,장편,한국,23,"7,134,970",897,코미디,15세이상관람가,독립/예술영화
7811,비단꽃길,김정욱,주식회사 마운틴픽쳐스,,주식회사 마운틴픽쳐스,2013-10-17,개봉영화,장편,한국,8,"5,820,500",896,다큐멘터리,전체관람가,독립/예술영화
7812,션샤인 러브,조은성,"(주)티피에스컴퍼니,필름문",,"인벤트스톤,영화사오원",2015-09-17,개봉영화,장편,한국,17,"7,069,800",896,판타지,12세이상관람가,독립/예술영화
7813,아부쟁이,황승재,(주)해오름이앤티,,시네마 뉴원,2022-06-16,개봉영화,장편,한국,41,"8,617,000",896,액션,15세이상관람가,일반영화
7814,7공주 대리운전,이재훈,(주)유림엔터테인먼트,,나우콘텐츠,2015-05-28,개봉영화,장편,한국,20,"4,308,000",894,코미디,청소년관람불가,일반영화
7815,8인의 수상한 신사들,기타노 다케시,,(주)영화사 진진,영화사 진진,2017-06-08,개봉영화,장편,일본,7,"7,116,100",894,액션,15세이상관람가,독립/예술영화
7816,신비의 법,이마카케 이사무,,페퍼민트픽쳐스,페퍼민트픽쳐스,2012-11-29,개봉영화,장편,일본,2,"6,837,000",893,애니메이션,12세이상관람가,독립/예술영화
7817,더 콩그레스,아리 폴만,,"영화사 마농(주),(주)팝엔터테인먼트",팝엔터테인먼트,2014-06-05,개봉영화,장편,이스라엘,13,"6,249,000",892,애니메이션,15세이상관람가,독립/예술영화
7818,샤먼 로드,최상진,강 컨텐츠,,강 컨텐츠,2021-07-03,개봉영화,장편,한국,5,"4,152,000",890,다큐멘터리,12세이상관람가,독립/예술영화
7819,스타렛,션 베이커,,(주)매니아22,노바엔터테인먼트,2014-02-20,개봉영화,장편,미국,3,"6,216,000",889,드라마,청소년관람불가,독립/예술영화
7820,군다,빅토르 코사코프스키,,(주)영화사 진진,영화사 진진,2022-07-14,개봉영화,장편,미국,21,"7,840,000",888,다큐멘터리,전체관람가,독립/예술영화
7821,에브리씽 머스트 고,댄 러쉬,,(주)키노아이디엠씨,키노아이디엠씨,2012-07-12,개봉영화,장편,미국,7,"6,047,500",887,코미디,15세이상관람가,독립/예술영화
7822,"식물카페, 온정",최창환,매치컷(주),,매치컷,2021-06-24,개봉영화,장편,한국,19,"6,308,140",886,기타,전체관람가,독립/예술영화
7823,에듀케이션,김덕중,"(주)타이거시네마,DGC",,영화배급협동조합 씨네소파,2020-11-26,개봉영화,장편,한국,23,"7,510,670",886,드라마,12세이상관람가,독립/예술영화
7824,페티쉬,손수범,(주)스타피쉬픽쳐스,,영화사 조제,2010-11-25,개봉영화,장편,한국,3,"6,524,946",886,스릴러,청소년관람불가,독립/예술영화
7825,맛있는 인생,조성규,"(주)스폰지이엔티,(주)이든픽쳐스",,스폰지이엔티,2010-10-28,개봉영화,장편,한국,4,"6,129,233",885,드라마,15세이상관람가,독립/예술영화
7826,맞짱,차룡,(주)차룡영화사,,차룡영화사,2018-09-12,개봉영화,장편,한국,11,"2,237,000",885,액션,청소년관람불가,일반영화
7827,섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,잘만 킹,,(주)제이엠씨미디어,"팝엔터테인먼트,제이엠씨미디어",2013-09-05,개봉영화,장편,미국,18,"3,770,000",884,드라마,청소년관람불가,일반영화
7828,포겟 미 낫-엄마에게 쓰는 편지,신선희,(주)민치앤필름,,커넥트픽쳐스,2021-06-03,개봉영화,장편,한국,33,"7,777,110",884,다큐멘터리,12세이상관람가,독립/예술영화
7829,필스,J.S 베어드,,㈜코리아스크린,앤드플러스미디어웍스,2013-11-21,개봉영화,장편,영국,6,"6,434,000",883,범죄,청소년관람불가,일반영화
7830,달려라 장미,김응수,김응수필름,,이모션픽처스,2006-02-10,개봉영화,장편,한국,0,0,881,멜로/로맨스,18세관람가,일반영화
7831,더 봄버 : 최강폭격부대,비탈리 보로비요브,,(주)소나무픽쳐스,소나무픽쳐스,2015-12-17,개봉영화,장편,러시아,5,"4,420,000",880,전쟁,15세이상관람가,독립/예술영화
7832,세비야의 이발사,미켈레 마리오티,,(주) 인스터 글로벌, 인스터 글로벌,2015-06-06,개봉영화,장편,미국,4,"21,699,000",880,공연,전체관람가,일반영화
7833,1944,엘모 누가넨,,(주)소나무픽쳐스,소나무픽쳐스,2015-12-23,개봉영화,장편,에스토니아,5,"4,420,000",880,전쟁,15세이상관람가,독립/예술영화
7834,카발레리아 루스티카나 & 팔리아치,,,(주) 인스터 글로벌, 인스터 글로벌,2015-11-21,개봉영화,장편,미국,3,"20,914,500",879,공연,전체관람가,일반영화
7835,필그리미지,브렌든 멀다우니,,위드 라이언 픽쳐스,노바엔터테인먼트,2019-04-11,개봉영화,장편,아일랜드,20,"6,472,950",879,액션,15세이상관람가,독립/예술영화
7836,아르코 라이브 뮤지컬 인사이드 윌리엄,,한국문화예술위원회,,아이디어랩,2021-05-26,개봉영화,장편,한국,14,"15,602,500",878,공연,전체관람가,일반영화
7837,퍼스트 그레이더,저스틴 채드윅,,주식회사 루믹스미디어,골든타이드픽처스,2012-05-17,개봉영화,장편,영국,6,"6,197,000",878,드라마,12세이상관람가,독립/예술영화
7838,더 마더,,,(주)스튜디오디에이치엘,스튜디오디에이치엘,2022-02-10,개봉영화,장편,스페인,32,"8,817,300",877,스릴러,15세이상관람가,독립/예술영화
7839,시체들의 새벽: 컨테이젼,헥터 헤르난데즈 비센스,,(유)조이앤시네마,제이앤씨미디어그룹,2020-04-09,개봉영화,장편,불가리아,52,"7,651,860",875,공포(호러),청소년관람불가,일반영화
7840,"나의 끝, 당신의 시작",,,(주)마노엔터테인먼트,마노엔터테인먼트,2021-11-18,개봉영화,장편,독일,16,"7,494,200",874,드라마,15세이상관람가,독립/예술영화
7841,암살교실: 졸업편,하스미 에이이치로,,(주)에이원엔터테인먼트,에이원엔터테인먼트,2017-04-21,개봉영화,장편,일본,46,"6,699,500",874,액션,12세이상관람가,일반영화
7842,암전 2,"두기봉,나영창",,스크린조이,스크린조이,2014-02-27,개봉영화,장편,홍콩,5,"1,410,000",872,범죄,15세관람가,일반영화
7843,헨젤과 그레텔,에이드리언 노블,,(주)케빈앤컴퍼니,케빈앤컴퍼니,2016-04-17,개봉영화,장편,독일,8,"16,307,500",872,공연,전체관람가,일반영화
