순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
16337,스튜어디스 아내의 이중생활,쿠보데라 카즈토,,(주)영화사 사계절,영화사 사계절,2015-09-27,개봉영화,장편,일본,1,"9,000",1,멜로/로맨스,청소년관람불가,일반영화
16338,스튜어디스의 사생활,안도 히로시,,조이앤키노,조이앤키노,2015-06-18,개봉영화,장편,일본,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16339,스튜어디스의 황홀경 마사지,후지모리 아키나,,(주)도키엔터테인먼트,도키엔터테인먼트,2019-09-03,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16340,스트레인지 네이처,,,,주식회사 플릭스코,2020-10-29,개봉영화,장편,미국,1,"6,000",1,공포(호러),청소년관람불가,일반영화
16341,스트레칭 정사-손이 어디까지,,,(주)도키엔터테인먼트,도키엔터테인먼트,2020-03-02,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16342,스트리퍼-육체의 향연,카타오카 슈지,,(주)도키엔터테인먼트,도키엔터테인먼트,2015-08-05,개봉영화,장편,일본,1,"5,000",1,성인물(에로),청소년관람불가,일반영화
16343,스티븐 시걸의 살인면허,키오니 왁스먼,,(주)소나무픽쳐스,소나무픽쳐스,2015-09-13,개봉영화,장편,미국,1,"9,000",1,액션,청소년관람불가,일반영화
16344,스티븐 시걸의 제네럴 커맨더,"로스 W. 클락슨,필리페 마르티네즈",,(주)도키엔터테인먼트,도키엔터테인먼트,2019-09-26,개봉영화,장편,미국,1,"6,000",1,범죄,15세이상관람가,일반영화
16345,스티븐 시걸의 테이큰 파이널,마티외 웨슐러,,(주)도키엔터테인먼트,도키엔터테인먼트,2019-07-10,개봉영화,장편,홍콩,1,"6,000",1,액션,15세이상관람가,일반영화
16346,스틸 리메인즈,조쉬 멘도자,,(주)영화사 안다미로,영화사 안다미로,2018-05-11,개봉영화,장편,미국,1,"2,000",1,액션,15세이상관람가,일반영화
16347,스파이 서바이버 무삭제판,제임스 맥티그,,(주)드림팩트엔터테인먼트,드림팩트엔터테인먼트,2016-11-24,개봉영화,장편,미국,1,"4,000",1,액션,15세이상관람가,일반영화
16348,스파이: 외인부대 잠입작전,알렉세이 페옥티스토프,,(주)소나무픽쳐스,소나무픽쳐스,2017-08-21,개봉영화,장편,러시아,1,"5,000",1,액션,15세이상관람가,일반영화
16349,스파이: 타임 투 저스티스,데이브 맥 3세,,,영화사 안다미로,2021-05-24,개봉영화,장편,미국,1,"1,000",1,액션,15세이상관람가,일반영화
16350,스페니쉬 어페어,에밀리오 마르티네즈 라자로,,(주)모멘텀엔터테인먼트,모멘텀엔터테인먼트,2017-03-22,개봉영화,장편,스페인,1,"6,000",1,코미디,15세이상관람가,일반영화
