,영화명,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,감독
3827,나쁜 녀석들,와이드 릴리즈(주),2015-03-26,장편,기타,59,35561300,4936,범죄,15세관람가,일반영화,줄리어스 에이버리
3828,양치기들,CGV아트하우스,2016-06-02,장편,한국,56,39535300,4934,드라마,청소년관람불가,독립/예술영화,김진황
3831,5 투 7,㈜코리아스크린,2015-11-19,장편,미국,62,37072200,4921,코미디,15세관람가,독립/예술영화,빅터 레빈
3834,이장,㈜인디스토리,2020-03-25,장편,한국,82,38933040,4878,드라마,12세관람가,독립/예술영화,정승오
3836,걸,(주)리틀빅픽쳐스,2021-01-07,장편,독일,239,44184510,4872,드라마,15세관람가,독립/예술영화,루카스 돈트
3837,불량한 가족,(주)스톰픽쳐스코리아,2020-07-09,장편,한국,161,41519940,4872,코미디,12세관람가,독립/예술영화,장재일
3843,카운터스,㈜인디스토리,2018-08-15,장편,한국,51,37673900,4819,다큐멘터리,15세관람가,독립/예술영화,이일하
3845,리벤지,(주)팝엔터테인먼트,2020-05-06,장편,프랑스,143,40284300,4814,액션,청소년관람불가,독립/예술영화,코랄리 파르쟈
3861,팔로우 미,(주)디스테이션,2020-10-22,장편,미국,138,38775300,4715,스릴러,15세관람가,일반영화,기타
3872,프로디지,판씨네마(주),2019-04-04,장편,미국,123,39493020,4592,공포(호러),15세관람가,독립/예술영화,니콜라스 맥카시
3875,트라이앵글,와이드 릴리즈(주),2018-08-29,장편,영국,82,32766850,4558,공포(호러),15세관람가,독립/예술영화,크리스토퍼 스미스
3876,트라이앵글,CJ ENM,2009-11-19,장편,한국,54,34225859,4555,드라마,전체관람가,일반영화,지영수
3877,화이트 노이즈,씨제이 씨지브이(CJ CGV)(주),2022-12-07,장편,미국,62,36305700,4534,코미디,15세관람가,일반영화,노아 바움백
3879,아이를 위한 아이,(주)트리플픽쳐스,2022-07-21,장편,한국,51,38482300,4515,기타,12세관람가,독립/예술영화,이승환
3881,블랙 쉐도우,(주)스톰픽쳐스코리아,2017-07-13,장편,미국,144,33762500,4502,액션,15세관람가,일반영화,아마리아 올슨
3883,아무도 없다,판씨네마(주),2020-09-09,장편,미국,122,38901450,4478,스릴러,15세관람가,독립/예술영화,존 하이암스
3884,튼튼이의 모험,CGV아트하우스,2018-06-21,장편,한국,88,34307600,4476,코미디,15세관람가,독립/예술영화,고봉수
3887,세계일주,(주)나이너스엔터테인먼트,2015-03-26,장편,한국,56,32479400,4449,가족,12세관람가,독립/예술영화,이항배
3888,그녀는 거짓말을 너무 사랑해,(주)영화사 빅,2018-01-24,장편,일본,108,35446200,4448,멜로/로맨스,12세관람가,독립/예술영화,코이즈미 노리히로
3892,나만이 없는 거리,(주)박수엔터테인먼트,2016-08-17,장편,일본,63,33113000,4392,드라마,15세관람가,일반영화,히라카와 유이치로
3896,미스,예지림엔터테인먼트,2021-05-12,장편,프랑스,105,35870730,4365,코미디,15세관람가,독립/예술영화,기타
3897,에베레스트,(주)제이앤씨미디어그룹,2020-07-22,장편,중국,142,36419640,4356,액션,15세관람가,일반영화,이인항
3899,낮과 달,찬란,2022-10-20,장편,한국,52,35517098,4339,드라마,15세관람가,독립/예술영화,이영아
3900,고 피쉬!,(주)박수엔터테인먼트,2020-07-23,장편,미국,138,33952780,4338,애니메이션,전체관람가,일반영화,숀 패트릭 오렐리
3902,인투 더 미러,(주)팝엔터테인먼트,2021-02-17,장편,기타,219,38530340,4306,SF,15세관람가,일반영화,아이작 에즈반
3904,더 바,(주)영화사 그램,2017-06-15,장편,기타,84,32328100,4287,스릴러,15세관람가,독립/예술영화,알렉스 드 라 이글레시아
3905,더 하더 데이 폴,씨제이 씨지브이(CJ CGV)(주),2021-10-20,장편,미국,56,30487300,4286,액션,청소년관람불가,일반영화,기타
3906,미인어,(주)라이크콘텐츠,2017-02-22,장편,중국,69,31631200,4270,판타지,12세관람가,독립/예술영화,주성치
3908,담쟁이,(주)트리플픽쳐스,2020-10-28,장편,한국,93,33705130,4258,가족,15세관람가,독립/예술영화,한제이
3911,카고,와이드 릴리즈(주),2022-09-15,장편,미국,217,38870078,4231,애니메이션,전체관람가,일반영화,제임스 쿨렌 브레삭
3916,와일드 시티,와이드 릴리즈(주),2020-06-17,장편,영국,111,35310180,4168,액션,청소년관람불가,독립/예술영화,론 스캘펠로
3917,드래곤 빌리지,와이드 릴리즈(주),2019-12-12,장편,기타,82,27780900,4163,판타지,전체관람가,일반영화,기타
3921,부산행:익스텐디드,(주)넥스트엔터테인먼트월드(NEW),2020-07-01,장편,한국,88,32808500,4117,액션,15세관람가,일반영화,연상호
3923,페뷸러스,(주)싸이더스,2020-11-05,장편,기타,71,36572280,4109,코미디,15세관람가,독립/예술영화,멜라니 샤르본느
3925,디스트로이어,(주)라이크콘텐츠,2019-09-19,장편,미국,92,33350000,4080,범죄,15세관람가,독립/예술영화,캐린 쿠사마
3929,노크 노크,(주)팝엔터테인먼트,2015-10-22,장편,미국,72,33317500,4024,스릴러,청소년관람불가,일반영화,일라이 로스
3930,로그,(주)스톰픽쳐스코리아,2020-11-25,장편,미국,180,31203140,4012,액션,15세관람가,일반영화,M.J. 버세트
3937,퍼스트 러브,와이드 릴리즈(주),2020-12-17,장편,일본,79,33720500,3883,범죄,청소년관람불가,독립/예술영화,미이케 다카시
3938,첫번째 아이,(주)더쿱디스트리뷰션,2022-11-10,장편,한국,59,35330897,3851,드라마,12세관람가,독립/예술영화,허정재
3939,레이스,(주)영화사 빅,2016-05-25,장편,기타,62,28867900,3849,드라마,12세관람가,독립/예술영화,스티븐 홉킨스
3943,식구,(주)스톰픽쳐스코리아,2018-07-12,장편,한국,52,30175400,3816,드라마,15세관람가,독립/예술영화,임영훈
3944,내가 처음으로 사랑한 소녀,(주)박수엔터테인먼트,2022-04-27,장편,기타,68,32764370,3808,멜로/로맨스,15세관람가,독립/예술영화,기타
3945,워스,(주)홈초이스,2021-07-21,장편,미국,65,34040020,3782,드라마,12세관람가,독립/예술영화,사라 코랑겔로
3949,맨헌트,주식회사 풍경소리,2018-01-25,장편,중국,55,28457500,3738,액션,15세관람가,독립/예술영화,오우삼
3953,퍼미션,(주)에스와이코마드,2019-02-27,장편,미국,53,29192210,3685,코미디,청소년관람불가,독립/예술영화,브라이언 크라노
3955,적도,판씨네마(주),2015-05-28,장편,기타,71,27026500,3679,액션,15세관람가,일반영화,렁록만
3956,소피의 세계,찬란,2022-03-03,장편,한국,84,31288600,3663,드라마,12세관람가,독립/예술영화,이제한
3958,은하철도 999 - 극장판,(주)디스테이션,2022-10-05,장편,일본,56,37895568,3649,애니메이션,12세관람가,독립/예술영화,린 타로
3963,들리나요?,(주)트리플픽쳐스,2020-06-10,장편,한국,103,35911140,3598,다큐멘터리,전체관람가,독립/예술영화,김봉한
3964,퍼펙트 스트레인저,(주)삼백상회,2019-10-24,장편,기타,83,25369280,3583,코미디,15세관람가,독립/예술영화,파올로 제노베스
3966,빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021-01-14,장편,일본,98,33411000,3569,드라마,전체관람가,독립/예술영화,노구치 테루오
3967,스노우 화이트,(주)팝엔터테인먼트,2019-10-24,장편,프랑스,77,28614880,3554,드라마,청소년관람불가,독립/예술영화,앤 폰테인
3968,더 시크릿,TCO(주)더콘텐츠온,2021-01-21,장편,영국,72,24078370,3551,스릴러,15세관람가,독립/예술영화,유발 애들러
3976,인헤리턴스,(주)누리픽쳐스,2020-06-25,장편,미국,58,22257000,3434,스릴러,15세관람가,일반영화,기타
3986,비바,(주)팝엔터테인먼트,2016-10-13,장편,기타,71,25521500,3338,드라마,청소년관람불가,독립/예술영화,패디 브레스내치
3987,호프,(주)이놀미디어,2020-12-17,장편,기타,171,27884010,3330,드라마,12세관람가,독립/예술영화,마리아 소달
3989,비행,아이 엠,2020-03-19,장편,한국,128,28441440,3326,드라마,15세관람가,독립/예술영화,조성빈
3991,시라이,(주)디스테이션,2020-07-15,장편,일본,70,28571620,3305,공포(호러),15세관람가,독립/예술영화,기타
3993,맛있는 녀석들,(주)팝엔터테인먼트,2020-07-16,장편,중국,152,26045040,3274,애니메이션,전체관람가,독립/예술영화,순 하이펑
3996,킬 스위치,(주)삼백상회,2020-07-01,장편,미국,51,16260900,3230,SF,15세관람가,일반영화,기타
3998,스웨그,(주)영화사오원,2020-12-10,장편,한국,118,30300660,3214,드라마,15세관람가,독립/예술영화,임성관
3999,큐브,(주)디스테이션,2022-08-24,장편,일본,51,30326998,3210,스릴러,15세관람가,독립/예술영화,기타
4005,와일드 카드,(주)영화사 빅,2015-03-19,장편,미국,69,23712000,3109,범죄,청소년관람불가,일반영화,사이먼 웨스트
4007,샘,롯데컬처웍스(주)롯데엔터테인먼트,2018-11-29,장편,한국,68,24757750,3098,멜로/로맨스,12세관람가,독립/예술영화,황규일
4010,브라더,(주)박수엔터테인먼트,2021-10-07,장편,한국,131,25349450,3049,범죄,15세관람가,일반영화,신근호
4011,리벤져,(주)리틀빅픽쳐스,2018-12-06,장편,한국,57,22088100,3028,액션,15세관람가,일반영화,이승원
4012,4월은 너의 거짓말,(주)팝엔터테인먼트,2022-04-20,장편,일본,109,30639200,3025,멜로/로맨스,전체관람가,일반영화,신조 타케히코
4013,샷 콜러,(주)스톰픽쳐스코리아,2018-05-04,장편,미국,59,20491100,3021,범죄,청소년관람불가,독립/예술영화,릭 로먼 워
4015,태양의 소녀들,(주)이수C&E,2020-10-22,장편,프랑스,103,25580970,2971,드라마,15세관람가,독립/예술영화,에바 허슨
4016,나인스 라이프,(주)라이크콘텐츠,2017-09-07,장편,영국,74,22545500,2964,미스터리,15세관람가,일반영화,알렉산더 아야
4017,공수도,(주)그노스,2020-04-09,장편,한국,79,25089500,2950,액션,15세관람가,일반영화,채여준
4025,썰,(주)스마일이엔티,2021-06-03,장편,한국,104,24994780,2838,코미디,청소년관람불가,독립/예술영화,황승재
4027,바쿠만,(주)디스테이션,2016-04-21,장편,일본,73,22348700,2791,드라마,12세관람가,독립/예술영화,오오네 히토시
4029,쇼콜라,판씨네마(주),2017-03-09,장편,프랑스,52,20408000,2757,드라마,12세관람가,독립/예술영화,로쉬디 젬
4030,십계,(재)CBS,2021-12-02,장편,미국,81,24315040,2752,애니메이션,전체관람가,독립/예술영화,빌 보이스
4034,도미노,(주)영화사 빅,2020-06-11,장편,기타,113,24285360,2730,범죄,15세관람가,독립/예술영화,브라이언 드 팔마
4035,괴물들,(주)리틀빅픽쳐스,2018-03-08,장편,한국,56,22584500,2725,드라마,청소년관람불가,독립/예술영화,김백준
4037,리틀 뱀파이어,(주)디스테이션,2021-12-29,장편,프랑스,116,22761560,2698,애니메이션,전체관람가,일반영화,조안 스파
4038,사랑이 눈뜰 때,(주)이놀미디어,2020-08-26,장편,미국,92,20322070,2695,드라마,12세관람가,독립/예술영화,마이클 메일러
4040,속물들,(주)삼백상회,2019-12-12,장편,한국,95,20122240,2686,드라마,15세관람가,독립/예술영화,신아가
4041,더 요트,(주)블루라벨픽쳐스,2022-10-20,장편,미국,53,19273895,2660,스릴러,15세관람가,일반영화,기타
4044,고양이와 할아버지,(주)디스테이션,2020-04-23,장편,일본,71,21749340,2577,드라마,전체관람가,독립/예술영화,미츠아키 이와고
4046,악몽,(주)스톰픽쳐스코리아,2020-03-12,장편,한국,165,21953720,2553,미스터리,청소년관람불가,독립/예술영화,송정우
4052,인퍼머스,(주)디스테이션,2020-11-11,장편,미국,135,23058650,2499,범죄,청소년관람불가,독립/예술영화,기타
4053,열혈형사,(주)제이앤씨미디어그룹,2020-06-18,장편,한국,121,20539960,2492,코미디,12세관람가,일반영화,윤여창
4055,그리드,와이드 릴리즈(주),2020-10-15,장편,영국,66,21409500,2411,코미디,15세관람가,독립/예술영화,마이클 윈터바텀
4057,제이티 르로이,(주)영화사 빅,2021-01-21,장편,미국,93,18703700,2404,드라마,15세관람가,독립/예술영화,기타
4059,아기와 나,CGV아트하우스,2017-11-23,장편,한국,62,17949800,2356,드라마,15세관람가,독립/예술영화,손태겸
4062,얼론,(주)영화사 안다미로,2020-11-18,장편,미국,189,19474290,2294,액션,15세관람가,독립/예술영화,조니 마틴
4064,마터스,(주)디스테이션,2016-10-20,장편,미국,73,18720500,2287,공포(호러),청소년관람불가,독립/예술영화,마이클 고츠
4070,보이콰이어,THE 픽쳐스,2020-05-14,장편,미국,74,18509080,2220,드라마,전체관람가,독립/예술영화,프랑소아 지라드
4072,첫키스만 50번째,(주)영화사 그램,2020-03-26,장편,일본,117,18336560,2212,코미디,12세관람가,독립/예술영화,후쿠다 유이치
4074,실크 로드,(주)디스테이션,2021-06-09,장편,미국,106,18393710,2196,범죄,15세관람가,일반영화,기타
4078,도리안 그레이,(주)영화사 빅,2013-05-30,장편,영국,53,14780500,2153,드라마,청소년관람불가,일반영화,올리버 파커
4085,뮤지엄,주식회사 더쿱,2017-05-18,장편,일본,65,16312000,2056,범죄,청소년관람불가,독립/예술영화,오오토모 케이시
4088,헬 페스트,(주)삼백상회,2018-12-13,장편,미국,82,16378800,2047,공포(호러),15세관람가,일반영화,그레고리 플로킨
4089,초이스,(주)박수엔터테인먼트,2018-11-08,장편,미국,62,17280100,2046,멜로/로맨스,12세관람가,독립/예술영화,로스 캐츠
4095,땡큐 포 유어 서비스,(주)씨제이이엔엠,2017-12-07,장편,미국,72,14249000,1965,드라마,15세관람가,일반영화,제이슨 홀
4100,행맨,(주)박수엔터테인먼트,2019-01-23,장편,미국,63,14972890,1860,미스터리,15세관람가,일반영화,조니 마틴
4103,키퍼스,(주)이놀미디어,2021-05-12,장편,영국,97,16431340,1784,미스터리,15세관람가,독립/예술영화,기타
