,순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점,연도
81,238,마녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175322,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175322_P98_135944.jpg,2018,['박훈정'],"['김다미', '조민수', '박희순', '최우식']",8.22,2018
82,241,오! 브라더스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36720,https://ssl.pstatic.net/imgmovie/mdi/mit110/0367/C6720-00.jpg,2003,['김용화'],"['이정재', '이범수']",8.23,2003
83,241,오! 브라더스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36720,https://ssl.pstatic.net/imgmovie/mdi/mit110/0367/C6720-00.jpg,2003,['김용화'],"['이정재', '이범수']",8.23,2003
85,243,"장화, 홍련",https://movie.naver.com/movie/bi/mi/basic.nhn?code=36732,https://ssl.pstatic.net/imgmovie/mdi/mit110/0367/C6732-00.jpg,2003,['김지운'],"['임수정', '염정아', '김갑수', '문근영']",8.78,2003
87,248,감기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72522,https://ssl.pstatic.net/imgmovie/mdi/mit110/0725/72522_P53_133524.jpg,2013,['김성수'],"['장혁', '수애', '박민하']",6.92,2013
91,255,너는 내 운명,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39654,https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/C9654-01.jpg,2005,['박진표'],"['전도연', '황정민', '나문희']",9.08,2005
93,260,식객,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62167,https://ssl.pstatic.net/imgmovie/mdi/mit110/0621/62167_P01_102737.jpg,2007,['전윤수'],"['김강우', '임원희', '이하나']",8.48,2007
95,265,투모로우,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37758,https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/C7758-00.jpg,2004,['롤랜드 에머리히'],"['데니스 퀘이드', '제이크 질렌할', '이안 홈', '에미 로섬', '셀라 워드', '대쉬 미혹', '케네스 웰쉬']",8.66,2004
97,270,형,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142803,https://ssl.pstatic.net/imgmovie/mdi/mit110/1428/142803_P33_161710.jpg,2016,['권수경'],"['조정석', '도경수', '박신혜']",8.37,2016
99,280,솔트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50669,https://ssl.pstatic.net/imgmovie/mdi/mit110/0506/50669_P39_151600.jpg,2010,['필립 노이스'],['안젤리나 졸리'],7.78,2010
101,282,헬로우 고스트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75401,https://ssl.pstatic.net/imgmovie/mdi/mit110/0754/75401_P91_182311.jpg,2010,['김영탁'],"['차태현', '강예원', '이문수', '고창석', '장영남', '천보근']",8.88,2010
103,284,원티드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66834,https://ssl.pstatic.net/imgmovie/mdi/mit110/0668/F6834-00.jpg,2008,['티무르 베크맘베토브'],"['제임스 맥어보이', '모건 프리먼', '안젤리나 졸리']",8.27,2008
107,291,너의 결혼식,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140652,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140652_P38_143110.jpg,2018,['이석근'],"['박보영', '김영광']",8.43,2018
111,314,소원,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103535,https://ssl.pstatic.net/imgmovie/mdi/mit110/1035/103535_P28_133811.jpg,2013,['이준익'],"['설경구', '엄지원', '이레']",9.34,2013
113,325,위험한 상견례,https://movie.naver.com/movie/bi/mi/basic.nhn?code=77125,https://ssl.pstatic.net/imgmovie/mdi/mit110/0771/77125_P24_120635.jpg,2011,['김진영'],"['송새벽', '이시영', '백윤식', '김수미']",7.65,2011
115,326,아수라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44913,https://ssl.pstatic.net/imgmovie/mdi/mit110/0449/44913_P15_095938.jpg,2016,['김성수'],"['정우성', '황정민', '주지훈', '곽도원']",7.01,2016
119,344,우리 형,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38384,https://ssl.pstatic.net/imgmovie/mdi/mit110/0383/C8384-00.jpg,2004,['안권태'],"['원빈', '신하균', '김해숙', '이보영']",8.40,2004
121,348,블랙머니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189053,https://ssl.pstatic.net/imgmovie/mdi/mit110/1890/189053_P108_105429.jpg,2019,['정지영'],"['조진웅', '이하늬']",8.41,2019
124,365,블라인드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=79557,https://ssl.pstatic.net/imgmovie/mdi/mit110/0795/79557_P04_105145.jpg,2011,['안상훈'],"['김하늘', '유승호']",8.08,2011
129,373,스파이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118950,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118950_P23_140516.jpg,2015,['폴 페이그'],"['제이슨 스타뎀', '로즈 번', '멜리사 맥카시', '앨리슨 제니', '주드 로', '피터 세라피노윅', '미란다 하트']",8.82,2015
133,373,스파이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118950,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118950_P23_140516.jpg,2015,['폴 페이그'],"['제이슨 스타뎀', '로즈 번', '멜리사 맥카시', '앨리슨 제니', '주드 로', '피터 세라피노윅', '미란다 하트']",8.82,2015
135,391,위대한 유산,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36825,https://ssl.pstatic.net/imgmovie/mdi/mit110/0368/C6825-01.jpg,2003,['오상훈'],"['임창정', '김선아']",7.81,2003
137,395,박쥐,https://movie.naver.com/movie/bi/mi/basic.nhn?code=59845,https://ssl.pstatic.net/imgmovie/mdi/mit110/0598/59845_P00_124820.jpg,2009,['박찬욱'],"['송강호', '김옥빈']",6.34,2009
139,398,포세이돈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52552,https://ssl.pstatic.net/imgmovie/mdi/mit110/0525/E2552-01.jpg,2006,['볼프강 페터젠'],"['조쉬 루카스', '커트 러셀', '리차드 드레이퓨즈']",7.28,2006
141,409,이상한 나라의 앨리스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50163,https://ssl.pstatic.net/imgmovie/mdi/mit110/0501/50163_P46_092323.jpg,2010,['팀 버튼'],"['조니 뎁', '앤 해서웨이', '헬레나 본햄 카터', '크리스핀 글로버', '미아 와시코브스카']",7.56,2010
143,413,초능력자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73344,https://ssl.pstatic.net/imgmovie/mdi/mit110/0733/73344_P48_103251.jpg,2010,['김민석'],"['강동원', '고수', '정은채']",6.71,2010
145,414,내 사랑 내 곁에,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51076,https://ssl.pstatic.net/imgmovie/mdi/mit110/0510/51076_P00_103306.jpg,2009,['박진표'],"['하지원', '김명민']",7.04,2009
147,417,마이 웨이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71628,https://ssl.pstatic.net/imgmovie/mdi/mit110/0716/71628_P02_163941.jpg,2011,['강제규'],"['장동건', '오다기리 죠', '판빙빙']",7.20,2011
151,423,세븐 데이즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60753,https://ssl.pstatic.net/imgmovie/mdi/mit110/0607/60753_P47_152851.jpg,2007,['원신연'],"['김윤진', '김미숙', '박희순']",9.06,2007
153,426,이클립스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71499,https://ssl.pstatic.net/imgmovie/mdi/mit110/0714/71499_P163_182252.jpg,2010,['데이빗 슬레이드'],"['크리스틴 스튜어트', '로버트 패틴슨', '테일러 로트너']",7.37,2010
