,0,1,2,3,4,5,6,7
46,48,컨저링,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92823,https://ssl.pstatic.net/imgmovie/mdi/mit110/0928/92823_P16_143047.jpg,2013,['제임스 완'],"['베라 파미가', '매켄지 포이', '패트릭 윌슨', '조이 킹', '릴리 테일러', '론 리빙스턴']",7.86
47,49,원더 우먼,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125473,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125473_P20_092353.jpg,2017,['패티 젠킨스'],"['갤 가돗', '크리스 파인']",7.69
48,51,세븐 데이즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60753,https://ssl.pstatic.net/imgmovie/mdi/mit110/0607/60753_P47_152851.jpg,2007,['원신연'],"['김윤진', '김미숙', '박희순']",9.06
49,52,이클립스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71499,https://ssl.pstatic.net/imgmovie/mdi/mit110/0714/71499_P163_182252.jpg,2010,['데이빗 슬레이드'],"['크리스틴 스튜어트', '로버트 패틴슨', '테일러 로트너']",7.37
50,53,눈에는 눈 이에는 이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67785,https://ssl.pstatic.net/imgmovie/mdi/mit110/0677/F7785-01.jpg,2008,"['곽경택', '안권태']","['한석규', '차승원']",7.89
51,54,뷰티 인사이드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129050,https://ssl.pstatic.net/imgmovie/mdi/mit110/1290/129050_P112_100230.jpg,2015,['백종열'],"['한효주', '김대명', '도지한', '배성우', '박신혜', '이범수', '박서준', '김상호', '천우희', '우에노 주리', '이재준', '김민재', '이현우', '조달환', '이진욱', '홍다미', '서강준', '김희원', '이동욱', '고아성', '김주혁', '유연석']",7.79
52,55,소울,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184517,https://ssl.pstatic.net/imgmovie/mdi/mit110/1845/184517_P12_105825.jpg,2020,['피트 닥터'],"['제이미 폭스', '티나 페이', '다비드 딕스']",9.31
53,56,노아,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93933,https://ssl.pstatic.net/imgmovie/mdi/mit110/0939/93933_P08_112219.jpg,2014,['대런 아로노프스키'],"['러셀 크로우', '제니퍼 코넬리', '엠마 왓슨', '안소니 홉킨스']",6.06
54,57,루시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107960,https://ssl.pstatic.net/imgmovie/mdi/mit110/1079/107960_P16_162926.jpg,2014,['뤽 베송'],"['스칼릿 조핸슨', '모건 프리먼', '애널리 팁튼', '최민식']",7.13
55,59,코리아,https://movie.naver.com/movie/bi/mi/basic.nhn?code=81891,https://ssl.pstatic.net/imgmovie/mdi/mit110/0818/81891_P04_175312.jpg,2012,['문현성'],"['하지원', '배두나']",8.56
56,60,씽,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144938,https://ssl.pstatic.net/imgmovie/mdi/mit110/1449/144938_P22_135428.jpg,2016,['가스 제닝스'],"['매튜 맥커너히', '리즈 위더스푼', '스칼릿 조핸슨', '태런 에저튼', '토리 켈리', '닉 크롤', '세스 맥팔레인']",8.99
57,61,마다가스카의 펭귄,https://movie.naver.com/movie/bi/mi/basic.nhn?code=114276,https://ssl.pstatic.net/imgmovie/mdi/mit110/1142/114276_P04_111037.jpg,2014,"['에릭 다넬', '사이몬 J. 스미스']","['베네딕트 컴버배치', '존 말코비치', '톰 맥그라스', '크리스 밀러', '크리스토퍼 나이츠', '켄 정']",8.71
58,65,더 게임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66617,https://ssl.pstatic.net/imgmovie/mdi/mit110/0666/F6617-01.jpg,2007,['윤인호'],"['신하균', '변희봉', '이혜영', '손현주', '이은성']",7.42
59,66,어스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181414,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181414_P24_174349.jpg,2019,['조던 필'],"['엘리자베스 모스', '루피타 뇽', '야히아 압둘 마틴 2세', '애나 디옵', '윈스턴 듀크', '팀 헤이덱커']",6.70
