순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
34,굿바이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50724,https://ssl.pstatic.net/imgmovie/mdi/mit110/0507/50724_P46_171553.jpg,2008,['타키타 요지로'],"['모토키 마사히로', '히로스에 료코', '야마자키 츠토무', '요 키미코']",9.04
35,바디,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48298,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/D8298-01.jpg,2007,['파윈 푸리킷판야'],"['아락 아몬수파시리', '오니라 람윌라이', '크리티라 인폰위지트', '파사라와린 팀쿨']",3.57
36,신부들의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51566,https://ssl.pstatic.net/imgmovie/mdi/mit110/0515/51566_P31_170418.jpg,2009,['개리 위닉'],"['케이트 허드슨', '앤 해서웨이']",7.04
37,스타 워즈: 클론 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49821,https://ssl.pstatic.net/imgmovie/mdi/mit110/0498/D9821-00.jpg,2008,['데이브 필로니'],"['맷 랜터', '사무엘 L. 잭슨', '이안 아베크롬비', '코리 버튼', '톰 케인', '제임스 아놀드 테일러', '캐서린 타버']",7.51
38,블러드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64130,https://ssl.pstatic.net/imgmovie/mdi/mit110/0641/F4130-01.jpg,2009,['크리스 나혼'],"['전지현', '코유키']",4.94
39,바람,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70773,https://ssl.pstatic.net/imgmovie/mdi/mit110/0707/70773_P35_115045.jpg,2009,['이성한'],['정우'],9.28
40,타운,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72066,https://ssl.pstatic.net/imgmovie/mdi/mit110/0720/72066_P03_181335.jpg,2010,['벤 애플렉'],"['벤 애플렉', '존 햄', '레베카 홀', '블레이크 라이블리', '제레미 레너', '피트 포스틀스웨이트', '크리스 쿠퍼']",7.51
41,9: 나인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52526,https://ssl.pstatic.net/imgmovie/mdi/mit110/0525/52526_P15_101816.jpg,2009,['쉐인 액커'],"['일라이저 우드', '존 C. 라일리', '제니퍼 코넬리', '크리스핀 글로버', '마틴 랜도', '크리스토퍼 플러머']",7.76
42,둠스데이 - 지구 최후의 날,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65195,https://ssl.pstatic.net/imgmovie/mdi/mit110/0651/F5195-00.jpg,2008,['닐 마샬'],"['로나 미트라', '밥 호스킨스', '에드리안 레스터', '알렉산더 시디그', '데이비드 오하라', '말콤 맥도웰']",5.95
43,슈퍼미니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116327,https://ssl.pstatic.net/imgmovie/mdi/mit110/1163/116327_P00_100422.jpg,2014,"['토마스 자보', '헬레네 지라드']",,8.23
44,원챈스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113163,https://ssl.pstatic.net/imgmovie/mdi/mit110/1131/113163_P44_174922.jpg,2013,['데이빗 프랭클'],"['제임스 코든', '알렉산드라 로치', '콤 미니', '제미마 루퍼']",8.34
45,아메리칸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70396,https://ssl.pstatic.net/imgmovie/mdi/mit110/0703/70396_P16_220851.jpg,2010,['안톤 코르빈'],['조지 클루니'],6.49
46,헤드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75597,https://ssl.pstatic.net/imgmovie/mdi/mit110/0755/75597_P05_110125.jpg,2011,['조운'],"['박예진', '백윤식', '류덕환']",4.84
47,킬러들의 도시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66637,https://ssl.pstatic.net/imgmovie/mdi/mit110/0666/F6637-00.jpg,2008,['마틴 맥도나'],"['콜린 파렐', '브렌단 글리슨', '랄프 파인즈']",7.47
48,드래곤 블레이드: 천장웅사,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125443,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125443_P62_101542.jpg,2015,['이인항'],"['성룡', '존 쿠삭', '애드리언 브로디', '시원', '샤니 빈슨']",5.84
