순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
62,프레이 포 더 데블,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221146,https://ssl.pstatic.net/imgmovie/mdi/mit110/2211/221146_P16_133815.jpg,2022,['다니엘 스탬'],"['재클린 바이어스', '콜린 살몬', '버지니아 매드슨', '크리스티언 나바로']",6.74
63,돈비 어프레이드-어둠 속의 속삭임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69994,https://ssl.pstatic.net/imgmovie/mdi/mit110/0699/69994_P12_115616.jpg,2010,['트로이 닉시'],"['케이티 홈즈', '가이 피어스']",5.40
64,극장판 도라에몽:신 진구의 버스 오브 재팬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141675,https://ssl.pstatic.net/imgmovie/mdi/mit110/1416/141675_P16_110043.jpg,2016,['야쿠와 신노스케'],"['채민지', '김정아', '최낙윤', '이현주', '조현정', '곽규미', '김현욱', '김민정']",9.04
66,미트 페어런츠 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73340,https://ssl.pstatic.net/imgmovie/mdi/mit110/0733/73340_P04_164231.jpg,2010,['폴 웨이츠'],"['로버트 드 니로', '벤 스틸러', '오웬 윌슨', '더스틴 호프만', '바브라 스트라이샌드', '블리드 대너', '테리 폴로', '제시카 알바']",6.57
67,극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=78069,https://ssl.pstatic.net/imgmovie/mdi/mit110/0780/78069_P20_192322.jpg,2010,"['스기시마 쿠니히사', '오타카 요시노리']","['카나다 아키', '마에노 토모아키']",6.15
68,호텔 레이크,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179481,https://ssl.pstatic.net/imgmovie/mdi/mit110/1794/179481_P29_111101.jpg,2020,['윤은경'],"['이세영', '박지영', '박효주']",5.29
69,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149505,https://ssl.pstatic.net/imgmovie/mdi/mit110/1495/149505_P20_181604.jpg,2015,['다라 오코넬'],"['하성용', '정재헌', '엄상현', '윤승희', '김정은', '유동균', '김율', '한경화']",8.53
70,마일 22,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171499,https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171499_P38_160259.jpg,2018,['피터 버그'],"['마크 월버그', '로렌 코핸', '존 말코비치', '이코 우웨이스', '론다 로우지']",7.47
71,인보카머스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99792,https://ssl.pstatic.net/imgmovie/mdi/mit110/0997/99792_P03_100013.jpg,2014,['스콧 데릭슨'],"['올리비아 문', '에릭 바나', '에드가 라미레즈']",7.00
72,세상에서 고양이가 사라진다면,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150632,https://ssl.pstatic.net/imgmovie/mdi/mit110/1506/150632_P17_104518.jpg,2016,['나가이 아키라'],"['사토 타케루', '미야자키 아오이']",8.59
76,어거스트 : 가족의 초상,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97647,https://ssl.pstatic.net/imgmovie/mdi/mit110/0976/97647_P22_095945.jpg,2013,['존 웰스'],"['메릴 스트립', '줄리아 로버츠', '베네딕트 컴버배치', '이완 맥그리거']",7.84
77,하이힐을 신고 달리는 여자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=84846,https://ssl.pstatic.net/imgmovie/mdi/mit110/0848/84846_P14_103719.jpg,2011,['더글러스 맥그라스'],"['그렉 키니어', '피어스 브로스넌', '사라 제시카 파커']",7.75
81,달라스 바이어스 클럽,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100639,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100639_P25_130641.jpg,2013,['장 마크 발레'],"['매튜 맥커너히', '제니퍼 가너', '자레드 레토']",8.83
82,피노키오: 당나귀 섬의 비밀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99577,https://ssl.pstatic.net/imgmovie/mdi/mit110/0995/99577_P10_120204.jpg,2012,['엔조 달로'],['로버트 네이러'],7.03
