,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
702,열한시,김현석,(주)씨제이이엔엠,2013-11-28,장편,한국,512,6097792000,870785,스릴러,15세관람가,일반영화,2013,11,가을
703,1917,샘 멘데스,(주)스마일이엔티,2020-02-19,장편,미국,932,7872002760,870451,드라마,15세관람가,일반영화,2020,2,겨울
704,몬스터 대학교,댄 스캔론,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-09-12,장편,미국,381,5873833500,870065,애니메이션,전체관람가,일반영화,2013,9,가을
705,개구쟁이 스머프 2,라자 고스넬,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-08-01,장편,미국,478,5655415500,869805,애니메이션,전체관람가,일반영화,2013,8,여름
706,미확인 동영상 : 절대클릭금지,김태경,(주)쇼박스,2012-05-30,장편,한국,361,5939840500,867386,공포(호러),15세관람가,일반영화,2012,5,봄
707,오리엔트 특급 살인,케네스 브래너,이십세기폭스코리아(주),2017-11-29,장편,미국,707,6645385163,864757,드라마,12세관람가,일반영화,2017,11,가을
708,콰이어트 플레이스 2,존 크래신스키,롯데컬처웍스(주)롯데엔터테인먼트,2021-06-16,장편,미국,1137,8550116360,863339,스릴러,15세관람가,일반영화,2021,6,여름
709,엑스맨: 다크 피닉스,사이먼 킨버그,이십세기폭스코리아(주),2019-06-05,장편,미국,991,7649216640,862744,액션,12세관람가,일반영화,2019,6,여름
710,작은 아씨들,그레타 거윅,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2020-02-12,장편,미국,1105,7240616830,859072,드라마,전체관람가,일반영화,2020,2,겨울
711,레전드 오브 타잔,데이빗 예이츠,워너브러더스 코리아(주),2016-06-29,장편,미국,593,7196970717,858402,액션,12세관람가,일반영화,2016,6,여름
712,숙명,김해곤,CJ ENM,2008-03-20,장편,한국,341,5680873500,858215,드라마,청소년관람불가,일반영화,2008,3,봄
713,살인의뢰,손용호,씨네그루(주)다우기술,2015-03-12,장편,한국,646,6986456737,855980,범죄,청소년관람불가,일반영화,2015,3,봄
714,헝거게임: 모킹제이,프란시스 로렌스,롯데쇼핑㈜롯데엔터테인먼트,2014-11-20,장편,미국,630,6400058044,854377,어드벤처,15세관람가,일반영화,2014,11,가을
715,디스트릭트 9,닐 블롬캠프,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-10-15,장편,미국,320,6518492154,853859,SF,청소년관람불가,일반영화,2009,10,가을
716,맨 인 블랙: 인터내셔널,F. 게리 그레이,롯데컬처웍스(주)롯데엔터테인먼트,2019-06-12,장편,미국,1151,7455439570,851040,액션,12세관람가,일반영화,2019,6,여름
717,좋아해줘,박현진,(주)씨제이이엔엠,2016-02-17,장편,한국,637,6572774337,848148,멜로/로맨스,12세관람가,일반영화,2016,2,겨울
718,만추,김태용,CJ ENM,2011-02-17,장편,한국,444,6300514500,844103,멜로/로맨스,15세관람가,일반영화,2011,2,겨울
719,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,타카하시 와타루,(주)씨제이이엔엠,2022-09-28,장편,일본,873,8370741924,837647,애니메이션,전체관람가,일반영화,2022,9,가을
720,대립군,정윤철,이십세기폭스코리아(주),2017-05-31,장편,한국,809,6276963402,837500,드라마,15세관람가,일반영화,2017,5,봄
721,존 카터: 바숨 전쟁의 서막,앤드류 스탠튼,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-08,장편,미국,508,7218670500,837426,SF,12세관람가,일반영화,2012,3,봄
722,마린보이,윤종석,CJ ENM,2009-02-05,장편,한국,340,5565284169,837059,액션,15세관람가,일반영화,2009,2,겨울
723,랑종,반종 피산다나쿤,(주)쇼박스,2021-07-14,장편,한국,1403,8639576030,834338,공포(호러),청소년관람불가,일반영화,2021,7,여름
724,체포왕,임찬익,롯데쇼핑㈜롯데엔터테인먼트,2011-05-04,장편,한국,407,6146610500,831804,코미디,15세관람가,일반영화,2011,5,봄
725,손님,김광태,(주)씨제이이엔엠,2015-07-09,장편,한국,634,6385295880,827918,판타지,15세관람가,일반영화,2015,7,여름
726,인시디어스 3,리 워넬,유니버설픽쳐스인터내셔널 코리아(유),2015-07-09,장편,미국,409,6396650620,825517,공포(호러),15세관람가,일반영화,2015,7,여름
727,뽀로로 극장판 공룡섬 대모험,김현호,(주)넥스트엔터테인먼트월드(NEW),2017-12-07,장편,한국,803,6203897300,824079,애니메이션,전체관람가,일반영화,2017,12,겨울
728,남쪽으로 튀어,임순례,롯데쇼핑㈜롯데엔터테인먼트,2013-02-06,장편,한국,428,5907297500,821918,코미디,15세관람가,일반영화,2013,2,겨울
729,베이비 드라이버,에드가 라이트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-09-14,장편,영국,778,6688509214,821419,액션,15세관람가,일반영화,2017,9,가을
730,브리짓 존스의 베이비,샤론 맥과이어,유니버설픽쳐스인터내셔널 코리아(유),2016-09-28,장편,미국,509,6678585874,820995,코미디,15세관람가,일반영화,2016,9,가을
731,유체이탈자,윤재근,주식회사 에이비오엔터테인먼트,2021-11-24,장편,한국,1216,7941270790,818880,판타지,15세관람가,일반영화,2021,11,가을
732,레드슈즈,홍성호,(주)넥스트엔터테인먼트월드(NEW),2019-07-25,장편,한국,717,6102923190,817547,애니메이션,전체관람가,일반영화,2019,7,여름
733,틴틴 : 유니콘호의 비밀,스티븐 스필버그,롯데쇼핑㈜롯데엔터테인먼트,2011-12-07,장편,미국,644,6721820500,814023,애니메이션,전체관람가,일반영화,2011,12,겨울
734,나이브스 아웃,라이언 존슨,(주)올스타엔터테인먼트,2019-12-04,장편,미국,686,6833383090,810208,미스터리,12세관람가,일반영화,2019,12,겨울
735,하트 오브 더 씨,론 하워드,워너브러더스 코리아(주),2015-12-03,장편,미국,535,6779908023,809755,액션,12세관람가,일반영화,2015,12,겨울
736,모범시민,F. 게리 그레이,(주)시너지하우스 (시너지),2009-12-10,장편,미국,309,5933122225,807486,스릴러,15세관람가,일반영화,2009,12,겨울
737,써로게이트,조나단 모스토우,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-10-01,장편,미국,224,6020292355,806924,SF,15세관람가,일반영화,2009,10,가을
738,헝거게임: 더 파이널,프란시스 로렌스,롯데쇼핑㈜롯데엔터테인먼트,2015-11-18,장편,미국,661,6070679163,806709,액션,15세관람가,일반영화,2015,11,가을
739,킹스 스피치,톰 후퍼,(주)화앤담이엔티,2011-03-17,장편,영국,317,5963126500,806248,드라마,12세관람가,일반영화,2011,3,봄
740,스피드 레이서,라나 워쇼스키,워너브러더스 코리아(주),2008-05-08,장편,미국,339,5219874500,804631,액션,12세관람가,일반영화,2008,5,봄
741,하늘에서 음식이 내린다면 2,코디 카메론,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-21,장편,미국,545,5423213000,800062,애니메이션,전체관람가,일반영화,2013,11,가을
742,카트,부지영,(주)리틀빅픽쳐스,2014-11-13,장편,한국,544,5809735433,799275,드라마,12세관람가,일반영화,2014,11,가을
743,컨저링3: 악마가 시켰다,마이클 차베즈,워너브러더스 코리아(주),2021-06-03,장편,미국,1133,8023107360,799261,공포(호러),15세관람가,일반영화,2021,6,여름
744,A-특공대,조 카나한,이십세기폭스코리아(주),2010-06-10,장편,미국,330,5890424042,791173,액션,15세관람가,일반영화,2010,6,여름
745,화이트: 저주의 멜로디,김곡,(주)씨제이이엔엠,2011-06-09,장편,한국,305,5587166000,790954,공포(호러),15세관람가,일반영화,2011,6,여름
746,상의원,이원석,(주)쇼박스,2014-12-24,장편,한국,466,6202433964,790158,사극,15세관람가,일반영화,2014,12,겨울
747,잭 리처,크리스토퍼 맥쿼리,(주)씨제이이엔엠,2013-01-17,장편,미국,431,5758577000,784031,액션,15세관람가,일반영화,2013,1,겨울
748,블랙 아담,자움 콜렛 세라,워너브러더스 코리아(주),2022-10-19,장편,미국,1524,8040723608,779485,액션,12세관람가,일반영화,2022,10,가을
749,킹메이커,변성현,플러스엠 엔터테인먼트,2022-01-26,장편,한국,1185,7313720610,775583,드라마,15세관람가,일반영화,2022,1,겨울
750,관능의 법칙,권칠인,롯데쇼핑㈜롯데엔터테인먼트,2014-02-13,장편,한국,591,5808789500,773996,드라마,청소년관람불가,일반영화,2014,2,겨울
751,그랜드 부다페스트 호텔,웨스 앤더슨,(주)피터팬픽쳐스,2014-03-20,장편,미국,163,6012395982,773649,미스터리,청소년관람불가,독립/예술영화,2014,3,봄
752,푸른소금,이현승,(주)씨제이이엔엠,2011-08-31,장편,한국,476,5739824500,771699,액션,15세관람가,일반영화,2011,8,여름
753,나는 왕이로소이다,장규성,롯데쇼핑㈜롯데엔터테인먼트,2012-08-08,장편,한국,471,5317185404,768971,사극,12세관람가,일반영화,2012,8,여름
754,상류사회,변혁,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,장편,한국,867,6313416163,768442,드라마,청소년관람불가,일반영화,2018,8,여름
755,뽀로로 극장판 보물섬 대모험,김현호,(주)넥스트엔터테인먼트월드(NEW),2019-04-25,장편,한국,736,5886268900,766758,애니메이션,전체관람가,일반영화,2019,4,봄
756,레슬러,김대웅,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,장편,한국,957,6440492657,765963,드라마,15세관람가,일반영화,2018,5,봄
757,토르: 마법망치의 전설,거나 칼슨,롯데쇼핑㈜롯데엔터테인먼트,2012-02-09,장편,기타,383,5529185000,765315,애니메이션,전체관람가,일반영화,2012,2,겨울
758,레지던트 이블: 파멸의 날,폴 W.S. 앤더슨,유니버설픽쳐스인터내셔널 코리아(유),2017-01-25,장편,미국,599,6422202365,765259,액션,청소년관람불가,일반영화,2017,1,겨울
759,공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,롯데쇼핑㈜롯데엔터테인먼트,2017-03-29,장편,미국,807,6285970884,764072,SF,15세관람가,일반영화,2017,3,봄
760,리오 2,카를로스 살다나,이십세기폭스코리아(주),2014-05-01,장편,미국,598,5631146900,761404,애니메이션,전체관람가,일반영화,2014,5,봄
761,모던보이,정지우,CJ ENM,2008-10-02,장편,한국,373,4971421000,758473,드라마,12세관람가,일반영화,2008,10,가을
762,스플릿,최국희,오퍼스픽쳐스(유),2016-11-09,장편,한국,702,6097721539,757430,드라마,15세관람가,일반영화,2016,11,가을
763,볼트,바이론 하워드,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-12-31,장편,미국,299,4993959268,757337,애니메이션,전체관람가,일반영화,2008,12,겨울
764,캣츠,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2019-12-24,장편,미국,1143,6322357050,756232,뮤지컬,12세관람가,일반영화,2019,12,겨울
765,장화신은 고양이: 끝내주는 모험,조엘 크로포드,유니버설픽쳐스인터내셔널 코리아(유),2023-01-04,장편,미국,924,7152864087,755181,애니메이션,전체관람가,일반영화,2023,1,겨울
766,"안녕, 헤이즐",조쉬 분,이십세기폭스코리아(주),2014-08-13,장편,미국,323,5795507000,744387,드라마,12세관람가,일반영화,2014,8,여름
767,주유소 습격사건 2,김상진,(주)시네마서비스,2010-01-21,장편,한국,322,5466499511,742475,액션,15세관람가,일반영화,2010,1,겨울
768,시간 여행자의 아내,로베르트 슈벤트케,(주)일레븐엔터테인먼트,2009-10-28,장편,미국,300,5485456860,738963,멜로/로맨스,12세관람가,일반영화,2009,10,가을
769,자백,윤종석,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-26,장편,한국,1115,7352587230,738122,범죄,15세관람가,일반영화,2022,10,가을
770,김씨표류기,이해준,(주)시네마서비스,2009-05-14,장편,한국,288,4796220849,733931,코미디,12세관람가,일반영화,2009,5,봄
771,런던 해즈 폴른,바박 나자피,플러스엠 엔터테인먼트,2016-03-10,장편,미국,523,5908203979,731551,액션,15세관람가,일반영화,2016,3,봄
772,더 파이브,정연식,(주)씨제이이엔엠,2013-11-14,장편,한국,501,5343797000,731212,스릴러,청소년관람불가,일반영화,2013,11,가을
773,언차티드,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-02-16,장편,미국,1536,7116304100,730924,액션,12세관람가,일반영화,2022,2,겨울
774,순정만화,류장하,CJ ENM,2008-11-27,장편,한국,386,4674779333,730343,멜로/로맨스,12세관람가,일반영화,2008,11,가을
775,비스티 보이즈,윤종빈,롯데쇼핑㈜롯데엔터테인먼트,2008-04-30,장편,한국,278,4785372500,727409,드라마,청소년관람불가,독립/예술영화,2008,4,봄
776,푸시,폴 맥기건,롯데쇼핑㈜롯데엔터테인먼트,2009-03-19,장편,미국,258,4817364578,726998,SF,15세관람가,일반영화,2009,3,봄
777,슬픔보다 더 슬픈 이야기,원태연,(주)쇼박스,2009-03-11,장편,한국,353,4774850499,724107,멜로/로맨스,15세관람가,일반영화,2009,3,봄
778,스파이더맨: 뉴 유니버스,로드니 로스맨,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-12-12,장편,미국,722,6008476176,723450,애니메이션,12세관람가,일반영화,2018,12,겨울
779,물괴,허종호,롯데컬처웍스(주)롯데엔터테인먼트,2018-09-12,장편,한국,1183,6104164954,723414,액션,15세관람가,일반영화,2018,9,가을
780,미쓰백,이지원,(주)리틀빅픽쳐스,2018-10-11,장편,한국,638,6027243066,720558,드라마,15세관람가,일반영화,2018,10,가을
781,신데렐라,케네스 브래너,월트디즈니컴퍼니코리아(주),2015-03-19,장편,미국,531,5499767900,716386,멜로/로맨스,전체관람가,일반영화,2015,3,봄
782,기적,이장훈,롯데컬처웍스(주)롯데엔터테인먼트,2021-09-15,장편,한국,1198,6630962710,715434,드라마,12세관람가,일반영화,2021,9,가을
783,풍산개,전재홍,(주)넥스트엔터테인먼트월드(NEW),2011-06-23,장편,한국,286,5395019500,714102,드라마,청소년관람불가,일반영화,2011,6,여름
784,날씨의 아이,신카이 마코토,플러스엠 엔터테인먼트,2019-10-30,장편,일본,716,5845763050,712750,애니메이션,15세관람가,일반영화,2019,10,가을
785,고질라,가렛 에드워즈,워너브러더스 코리아(주),2014-05-15,장편,미국,610,5972847963,709734,액션,12세관람가,일반영화,2014,5,봄
786,마음이2,이정철,롯데쇼핑㈜롯데엔터테인먼트,2010-07-21,장편,한국,261,4705692210,707748,드라마,전체관람가,독립/예술영화,2010,7,여름
787,라스베가스에서만 생길 수 있는 일,톰 바우건,이십세기폭스코리아(주),2008-05-29,장편,미국,273,4604235334,704834,멜로/로맨스,15세관람가,일반영화,2008,5,봄
788,스위니 토드 : 어느 잔혹한 이발사 이야기,팀 버튼,워너브러더스 코리아(주),2008-01-17,장편,미국,246,4761820000,704058,뮤지컬,청소년관람불가,일반영화,2008,1,겨울
789,고질라 VS. 콩,아담 윈가드,워너브러더스 코리아(주),2021-03-25,장편,미국,1295,6772634130,703485,액션,12세관람가,일반영화,2021,3,봄
790,국가대표 2,김종현,플러스엠 엔터테인먼트,2016-08-10,장편,한국,562,5424324942,703024,드라마,12세관람가,일반영화,2016,8,여름
791,천일의 스캔들,저스틴 채드윅,유니버설픽쳐스인터내셔널 코리아(유),2008-03-20,장편,미국,131,4599546001,700095,사극,15세관람가,일반영화,2008,3,봄
792,내 깡패 같은 애인,김광식,롯데쇼핑㈜롯데엔터테인먼트,2010-05-20,장편,한국,248,5109441315,699973,드라마,15세관람가,독립/예술영화,2010,5,봄
793,트랜센던스,월리 피스터,롯데쇼핑㈜롯데엔터테인먼트,2014-05-14,장편,미국,417,5478201500,696412,SF,12세관람가,일반영화,2014,5,봄
794,님스 아일랜드,마크 레빈,롯데쇼핑㈜롯데엔터테인먼트,2008-07-17,장편,미국,266,4273735000,694728,코미디,전체관람가,일반영화,2008,7,여름
795,통증,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2011-09-07,장편,한국,317,5207167000,693101,멜로/로맨스,15세관람가,일반영화,2011,9,가을
796,인페르노,론 하워드,유니버설픽쳐스인터내셔널 코리아(유),2016-10-19,장편,미국,754,5656281303,689071,미스터리,15세관람가,일반영화,2016,10,가을
797,명탐정 피카츄,롭 레터맨,워너브러더스 코리아(주),2019-05-09,장편,미국,817,5730788546,686809,액션,전체관람가,일반영화,2019,5,봄
798,분노의 질주: 더 오리지널,저스틴 린,유니버설픽쳐스인터내셔널 코리아(유),2009-04-02,장편,미국,289,4598492639,685746,액션,15세관람가,일반영화,2009,4,봄
799,스텝 업 3D,존 추,(주)화앤담이엔티,2010-08-05,장편,미국,253,7462604919,682712,드라마,12세관람가,일반영화,2010,8,여름
800,스파이더위크가의 비밀,마크 S. 워터스,CJ ENM,2008-02-14,장편,미국,172,4151259500,682525,어드벤처,전체관람가,일반영화,2008,2,겨울
801,픽셀,크리스 콜럼버스,유니버설픽쳐스인터내셔널 코리아(유),2015-07-16,장편,미국,557,5390909947,681945,액션,12세관람가,일반영화,2015,7,여름
802,앵그리버드 더 무비,클레이 케이티스,유니버설픽쳐스인터내셔널 코리아(유),2016-05-19,장편,미국,661,5218111744,680606,애니메이션,전체관람가,일반영화,2016,5,봄
803,경관의 피,이규만,(주)에이스메이커무비웍스,2022-01-05,장편,한국,1187,6687389520,679503,범죄,15세관람가,일반영화,2022,1,겨울
804,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,(주)씨제이이엔엠,2018-07-25,장편,한국,762,5001247250,678091,애니메이션,전체관람가,일반영화,2018,7,여름
805,트롤,마이크 미첼,(주)씨제이이엔엠,2017-02-16,장편,미국,622,5011161500,675966,애니메이션,전체관람가,일반영화,2017,2,겨울
806,몬스터 vs 에이리언,롭 레터맨,CJ ENM,2009-04-23,장편,미국,324,4622178693,672285,애니메이션,전체관람가,일반영화,2009,4,봄
807,고양이: 죽음을 보는 두 개의 눈,변승욱,(주)넥스트엔터테인먼트월드(NEW),2011-07-07,장편,한국,304,4767098000,670295,공포(호러),15세관람가,일반영화,2011,7,여름
808,패신저스,모튼 틸덤,유니버설픽쳐스인터내셔널 코리아(유),2017-01-04,장편,미국,608,5467466918,668576,어드벤처,12세관람가,일반영화,2017,1,겨울
809,퍼스트맨,데이미언 셔젤,유니버설픽쳐스인터내셔널 코리아(유),2018-10-18,장편,미국,1190,6094765639,665364,SF,12세관람가,일반영화,2018,10,가을
810,하늘에서 음식이 내린다면,크리스 밀러,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-02-11,장편,미국,281,5500218152,665096,애니메이션,전체관람가,일반영화,2010,2,겨울
811,극장판 주술회전 0,박성후,(주)대교 미디어콘텐츠사업본부,2022-02-17,장편,일본,836,6611496830,662928,애니메이션,15세관람가,일반영화,2022,2,겨울
812,명탐정 코난 : 칠흑의 추적자,야마모토 타이치로,에이원엔터테인먼트,2009-07-29,장편,일본,200,4248881868,661550,애니메이션,전체관람가,일반영화,2009,7,여름
813,삼총사 3D,폴 W.S. 앤더슨,롯데쇼핑㈜롯데엔터테인먼트,2011-10-12,장편,독일,510,5710755500,657564,액션,12세관람가,일반영화,2011,10,가을
814,샤잠!,데이비드 F. 샌드버그,워너브러더스 코리아(주),2019-04-03,장편,미국,1148,5730673797,656492,액션,12세관람가,일반영화,2019,4,봄
815,실종,김성홍,(주)시너지하우스 (시너지),2009-03-19,장편,한국,257,4415413589,654587,범죄,청소년관람불가,일반영화,2009,3,봄
816,열정같은소리하고있네,정기훈,(주)넥스트엔터테인먼트월드(NEW),2015-11-25,장편,한국,566,4761399902,654407,드라마,15세관람가,일반영화,2015,11,가을
817,아이 엠 넘버 포,D.J. 카루소,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-02-24,장편,미국,284,4955215500,654386,액션,12세관람가,일반영화,2011,2,겨울
818,엔더스 게임,개빈 후드,롯데쇼핑㈜롯데엔터테인먼트,2013-12-31,장편,미국,460,4925056000,654212,SF,12세관람가,일반영화,2013,12,겨울
819,그날의 분위기,조규장,(주)쇼박스,2016-01-14,장편,한국,592,5142899612,652453,멜로/로맨스,15세관람가,일반영화,2016,1,겨울
820,여고괴담 5,이종용,롯데쇼핑㈜롯데엔터테인먼트,2009-06-18,장편,한국,318,4205826795,652097,공포(호러),15세관람가,일반영화,2009,6,여름
821,울학교 이티,박광춘,에스케이텔레콤(주),2008-09-11,장편,한국,298,4156170833,651439,드라마,15세관람가,일반영화,2008,9,가을
822,오션스,자끄 페렝,롯데쇼핑㈜롯데엔터테인먼트,2010-07-28,장편,프랑스,217,4473889375,650994,다큐멘터리,전체관람가,독립/예술영화,2010,7,여름
823,아빠는 딸,김형협,플러스엠 엔터테인먼트,2017-04-12,장편,한국,520,5047634395,646412,코미디,12세관람가,일반영화,2017,4,봄
824,사냥,이우철,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,장편,한국,696,4912658515,645922,액션,15세관람가,일반영화,2016,6,여름
825,눈먼자들의 도시,페르난도 메이렐레스,(주)싸이더스,2008-11-20,장편,기타,238,4356692000,645218,드라마,청소년관람불가,일반영화,2008,11,가을
826,리오,카를로스 살다나,이십세기폭스코리아(주),2011-07-27,장편,미국,333,5022007500,645191,애니메이션,전체관람가,일반영화,2011,7,여름
827,나를 찾아줘,김승우,워너브러더스 코리아(주),2019-11-27,장편,한국,875,5117014620,645082,스릴러,15세관람가,일반영화,2019,11,가을
828,명탐정 코난 : 침묵의 15분,시즈노 코분,(주)미디어데이,2011-08-03,장편,일본,275,4209588000,644216,애니메이션,전체관람가,일반영화,2011,8,여름
829,페임,케빈 탄차로엔,(주)다자인소프트,2009-09-24,장편,미국,328,4727133460,644163,뮤지컬,12세관람가,독립/예술영화,2009,9,가을
830,머니볼,베넷 밀러,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-17,장편,미국,385,4677562000,641099,드라마,12세관람가,일반영화,2011,11,가을
831,호튼,스티브 마티노,이십세기폭스코리아(주),2008-04-30,장편,미국,336,3802813334,638598,애니메이션,전체관람가,일반영화,2008,4,봄
832,광대들: 풍문조작단,김주호,워너브러더스 코리아(주),2019-08-21,장편,한국,806,5226776088,637021,사극,12세관람가,일반영화,2019,8,여름
833,스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,유니버설픽쳐스인터내셔널 코리아(유),2012-05-30,장편,미국,447,4646250000,636631,액션,12세관람가,일반영화,2012,5,봄
834,널 기다리며,모홍진,(주)넥스트엔터테인먼트월드(NEW),2016-03-10,장편,한국,551,5232611336,634953,스릴러,청소년관람불가,일반영화,2016,3,봄
835,플랜맨,성시흡,롯데쇼핑㈜롯데엔터테인먼트,2014-01-09,장편,한국,458,4528561558,632299,드라마,15세관람가,일반영화,2014,1,겨울
836,엔칸토: 마법의 세계,바이론 하워드,월트디즈니컴퍼니코리아 유한책임회사,2021-11-24,장편,미국,1102,5979022100,630762,애니메이션,전체관람가,일반영화,2021,11,가을
837,핸드폰,김한민,에스케이텔레콤(주),2009-02-19,장편,한국,356,4271780582,630049,스릴러,청소년관람불가,일반영화,2009,2,겨울
838,컨택트,드니 빌뇌브,유니버설픽쳐스인터내셔널 코리아(유),2017-02-02,장편,미국,605,5174020721,629322,SF,12세관람가,일반영화,2017,2,겨울
839,조선마술사,김대승,롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,장편,한국,608,4650016527,628576,드라마,12세관람가,일반영화,2015,12,겨울
840,다찌마와리,류승완,(주)쇼박스,2008-08-14,장편,한국,299,4131701167,628508,액션,12세관람가,일반영화,2008,8,여름
841,명탐정 코난: 천공의 난파선,야마모토 야스이치로,에이원엔터테인먼트,2010-07-21,장편,일본,234,4065925171,628423,애니메이션,전체관람가,일반영화,2010,7,여름
842,설리: 허드슨강의 기적,클린트 이스트우드,워너브러더스 코리아(주),2016-09-28,장편,미국,573,5234170754,627102,드라마,12세관람가,일반영화,2016,9,가을
843,지푸라기라도 잡고 싶은 짐승들,김용훈,플러스엠 엔터테인먼트,2020-02-19,장편,한국,996,5442138750,626815,스릴러,청소년관람불가,일반영화,2020,2,겨울
844,앨빈과 슈퍼밴드2,베티 토머스,이십세기폭스코리아(주),2009-12-30,장편,미국,237,4171956017,625900,가족,전체관람가,일반영화,2009,12,겨울
845,더 임파서블,후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,2013-01-17,장편,기타,408,4444581500,622572,액션,12세관람가,일반영화,2013,1,겨울
846,아더 크리스마스,베리 쿡,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-25,장편,미국,356,4779642000,622286,애니메이션,전체관람가,일반영화,2011,11,가을
847,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,씨네그루(주)다우기술,2014-12-24,장편,기타,479,4482452600,618598,애니메이션,전체관람가,독립/예술영화,2014,12,겨울
848,인 타임,앤드류 니콜,이십세기폭스코리아(주),2011-10-27,장편,미국,304,4579554500,616943,SF,12세관람가,일반영화,2011,10,가을
849,홍길동의 후예,정용기,에스케이텔레콤(주),2009-11-26,장편,한국,380,4293061087,616654,액션,12세관람가,일반영화,2009,11,가을
850,특종: 량첸살인기,노덕,롯데쇼핑㈜롯데엔터테인먼트,2015-10-22,장편,한국,776,4754763118,616481,스릴러,15세관람가,일반영화,2015,10,가을
851,잭 리처: 네버 고 백,에드워드 즈윅,롯데쇼핑㈜롯데엔터테인먼트,2016-11-30,장편,미국,667,4647326258,612328,액션,15세관람가,일반영화,2016,11,가을
852,미쓰GO,박철관,(주)넥스트엔터테인먼트월드(NEW),2012-06-21,장편,한국,440,4441859000,611685,액션,15세관람가,일반영화,2012,6,여름
853,서부전선,천성일,롯데쇼핑㈜롯데엔터테인먼트,2015-09-24,장편,한국,509,4751661400,609063,전쟁,12세관람가,일반영화,2015,9,가을
854,압꾸정,임진순,(주)쇼박스,2022-11-30,장편,한국,1229,5727172661,608639,코미디,12세관람가,일반영화,2022,11,가을
855,그린 존,폴 그린그래스,(주)싸이더스,2010-03-25,장편,미국,280,4534073117,606841,드라마,15세관람가,일반영화,2010,3,봄
856,헝거게임: 판엠의 불꽃,게리 로스,롯데쇼핑㈜롯데엔터테인먼트,2012-04-05,장편,미국,514,4470681000,606531,액션,15세관람가,일반영화,2012,4,봄
857,왓치맨,잭 스나이더,CJ ENM,2009-03-05,장편,미국,358,4175166338,606317,액션,청소년관람불가,일반영화,2009,3,봄
858,연애 빠진 로맨스,정가영,(주)씨제이이엔엠,2021-11-24,장편,한국,967,6148017790,606273,멜로/로맨스,15세관람가,일반영화,2021,11,가을
859,이층의 악당,손재곤,(주)싸이더스,2010-11-24,장편,한국,384,4332815318,605224,코미디,15세관람가,일반영화,2010,11,가을
860,피에타,김기덕,(주)넥스트엔터테인먼트월드(NEW),2012-09-06,장편,한국,291,4354008500,602967,드라마,청소년관람불가,독립/예술영화,2012,9,가을
861,미스터 주: 사라진 VIP,김태윤,플러스엠 엔터테인먼트,2020-01-22,장편,한국,692,5057108660,601675,코미디,12세관람가,일반영화,2020,1,겨울
862,다이노소어 어드벤처 3D,닐 나이팅게일,이십세기폭스코리아(주),2013-12-19,장편,미국,464,4860516500,599963,액션,전체관람가,일반영화,2013,12,겨울
863,반가운 살인자,김동욱,롯데쇼핑㈜롯데엔터테인먼트,2010-04-08,장편,한국,261,4347073175,599176,코미디,15세관람가,일반영화,2010,4,봄
864,우는 남자,이정범,(주)씨제이이엔엠,2014-06-04,장편,한국,508,4883740800,599050,액션,청소년관람불가,일반영화,2014,6,여름
865,콜롬비아나,올리비에 메가턴,(주)시너지하우스 (시너지),2011-08-31,장편,미국,397,4514940000,598373,액션,15세관람가,일반영화,2011,8,여름
866,타잔 3D,라인하드 클루스,(주)싸이더스,2014-01-09,장편,독일,527,4452845000,597142,애니메이션,전체관람가,일반영화,2014,1,겨울
867,레터스 투 줄리엣,게리 위닉,(주)넥스트엔터테인먼트월드(NEW),2010-10-06,장편,미국,284,4343347481,593630,멜로/로맨스,12세관람가,일반영화,2010,10,가을
