,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
1859,김광석,이상호,(주)무빙픽쳐스컴퍼니,2017-08-30,장편,한국,223,772483500,98231,다큐멘터리,15세관람가,독립/예술영화,2017,8,여름
1860,맥베스,저스틴 커젤,판씨네마(주),2015-12-03,장편,영국,141,744966853,98161,드라마,15세관람가,독립/예술영화,2015,12,겨울
1861,이웃집에 신이 산다,자코 반 도마엘,(주)엣나인필름,2015-12-24,장편,기타,73,790535650,97883,코미디,청소년관람불가,독립/예술영화,2015,12,겨울
1862,여중생A,이경섭,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,장편,한국,479,811686000,97849,드라마,12세관람가,일반영화,2018,6,여름
1863,9:나인,쉐인 액커,에스케이텔레콤(주),2009-09-09,장편,미국,186,704611404,97787,애니메이션,12세관람가,일반영화,2009,9,가을
1864,레이디 버드,그레타 거윅,유니버설픽쳐스인터내셔널 코리아(유),2018-04-04,장편,미국,344,794126700,97777,코미디,15세관람가,일반영화,2018,4,봄
1865,아내를 죽였다,김하라,(주)케이티알파,2019-12-11,장편,한국,556,793514560,97580,스릴러,15세관람가,독립/예술영화,2019,12,겨울
1866,인류멸망 보고서,김지운,롯데쇼핑㈜롯데엔터테인먼트,2012-04-11,옴니버스,한국,236,702418000,97555,SF,15세관람가,일반영화,2012,4,봄
1867,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,사카키바라 모토노리,(주)이수C&E,2020-09-30,장편,일본,591,780592310,97398,애니메이션,전체관람가,일반영화,2020,9,가을
1868,쓰리 빌보드,마틴 맥도나,이십세기폭스코리아(주),2018-03-15,장편,미국,110,796847700,97079,코미디,15세관람가,일반영화,2018,3,봄
1869,다크타워: 희망의 탑,니콜라이 아르셀,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-23,장편,미국,497,761759275,97017,액션,15세관람가,일반영화,2017,8,여름
1870,슈퍼 빼꼼: 스파이 대작전,임아론,플러스엠 엔터테인먼트,2017-05-03,장편,한국,358,691794900,97005,애니메이션,전체관람가,일반영화,2017,5,봄
1871,하치 이야기,라세 할스트롬,(주)프라임엔터테인먼트,2010-02-18,장편,미국,163,703309748,96683,드라마,전체관람가,일반영화,2010,2,겨울
1872,소피와 드래곤: 마법책의 비밀,마리나 네페도바,(주)씨제이이엔엠,2019-10-02,장편,기타,469,749609350,96495,애니메이션,전체관람가,일반영화,2019,10,가을
1873,나탈리,주경중,롯데쇼핑㈜롯데엔터테인먼트,2010-10-28,장편,한국,196,1131832453,96410,멜로/로맨스,청소년관람불가,일반영화,2010,10,가을
1874,바스티유 데이,제임스 왓킨스,롯데쇼핑㈜롯데엔터테인먼트,2016-10-13,장편,미국,422,764700600,96305,액션,15세관람가,일반영화,2016,10,가을
1875,천국의 우편배달부,이형민,CJ ENM,2009-11-12,장편,한국,118,644989646,96137,멜로/로맨스,전체관람가,일반영화,2009,11,가을
1876,577 프로젝트,이근우,필라멘트픽쳐스,2012-08-30,장편,한국,191,695765500,96079,코미디,15세관람가,일반영화,2012,8,여름
1877,기생령,고석진,롯데쇼핑㈜롯데엔터테인먼트,2011-08-05,장편,한국,207,746326000,96077,공포(호러),청소년관람불가,일반영화,2011,8,여름
1878,안테벨룸,제라드 부시,(주)올스타엔터테인먼트,2022-02-23,장편,미국,638,899691250,95983,미스터리,15세관람가,독립/예술영화,2022,2,겨울
1879,걷기왕,백승화,CGV아트하우스,2016-10-20,장편,한국,462,710905075,95542,드라마,12세관람가,일반영화,2016,10,가을
1880,무서운 이야기 3 : 화성에서 온 소녀,김곡,롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,옴니버스,한국,317,764967500,95415,공포(호러),15세관람가,일반영화,2016,6,여름
1881,소년은 울지 않는다,배형준,㈜스튜디오이쩜영,2008-11-06,장편,한국,198,599069000,94993,액션,15세관람가,독립/예술영화,2008,11,가을
1882,S러버,데이빗 맥킨지,(주)싸이더스,2009-09-17,장편,미국,203,728391699,94920,코미디,청소년관람불가,일반영화,2009,9,가을
1883,용의자 X의 헌신,니시타니 히로시,(주)넥스트엔터테인먼트월드(NEW),2009-04-09,장편,일본,144,636382007,94790,미스터리,12세관람가,일반영화,2009,4,봄
1884,일사각오,고문안,파이오니아21,2016-03-17,장편,한국,51,682581500,94767,드라마,12세관람가,일반영화,2016,3,봄
1885,사일런스,마틴 스코세이지,(주)키다리이엔티,2017-02-28,장편,미국,342,700818300,94750,드라마,15세관람가,독립/예술영화,2017,2,겨울
1886,초한지 - 천하대전,이인항,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2012-01-11,장편,중국,167,710375000,94652,액션,12세관람가,일반영화,2012,1,겨울
1887,인비저블 게스트,오리올 파울로,(주)더블앤조이픽쳐스,2017-09-21,장편,기타,232,758162200,94281,범죄,15세관람가,독립/예술영화,2017,9,가을
1888,"나, 다니엘 블레이크",켄 로치,(주)영화사 진진,2016-12-08,장편,영국,63,711080800,94266,드라마,12세관람가,독립/예술영화,2016,12,겨울
1889,나의 산티아고,줄리아 폰 하인츠,(주)영화사 진진,2016-07-14,장편,독일,88,721244232,94243,코미디,12세관람가,독립/예술영화,2016,7,여름
1890,마야2,노엘 클리어리,(주)영화사 빅,2018-02-01,장편,독일,429,670314200,94179,애니메이션,전체관람가,독립/예술영화,2018,2,겨울
1891,커다랗고 커다랗고 커다란 배,요르겐 레르담,예지림엔터테인먼트,2018-05-03,장편,기타,350,737815900,94151,애니메이션,전체관람가,독립/예술영화,2018,5,봄
1892,아이 엠 마더,피에르 모렐,(주)삼백상회,2019-04-11,장편,미국,213,774580700,94119,액션,15세관람가,일반영화,2019,4,봄
1893,여고괴담 여섯번째 이야기 : 모교,이미영,(주)케이티알파,2021-06-17,장편,한국,603,858750700,94030,미스터리,15세관람가,일반영화,2021,6,여름
